game_id,season,game_type,week,gameday,home_team,away_team,home_score,away_score,roof,surface,div_game,spread_line,total_line,temp,wind,result
2017_19_NO_MIN,2017,DIV,19,2018-01-14,MIN,NO,29,24,dome,sportturf,0,5.5,47.0,,,5
2017_19_TEN_NE,2017,DIV,19,2018-01-13,NE,TEN,35,14,outdoors,fieldturf,0,13.5,48.0,24.0,12.0,21
2017_20_MIN_PHI,2017,CON,20,2018-01-21,PHI,MIN,38,7,outdoors,grass,0,-3.0,39.0,47.0,5.0,31
2019_01_ATL_MIN,2019,REG,1,2019-09-08,MIN,ATL,28,12,dome,sportturf,0,3.5,47.0,,,16
2019_01_BAL_MIA,2019,REG,1,2019-09-08,MIA,BAL,10,59,outdoors,grass,0,-7.0,41.0,91.0,8.0,-49
2019_01_DEN_OAK,2019,REG,1,2019-09-09,OAK,DEN,24,16,outdoors,grass,1,-3.0,42.5,68.0,15.0,8
2019_01_DET_ARI,2019,REG,1,2019-09-08,ARI,DET,27,27,closed,grass,0,-2.5,45.5,,,0
2019_01_HOU_NO,2019,REG,1,2019-09-09,NO,HOU,30,28,dome,astroturf,0,6.5,52.0,,,2
2019_01_IND_LAC,2019,REG,1,2019-09-08,LAC,IND,30,24,outdoors,grass,0,6.0,44.5,77.0,10.0,6
2019_01_LA_CAR,2019,REG,1,2019-09-08,CAR,LA,27,30,outdoors,grass,0,-1.5,49.5,87.0,3.0,-3
2019_01_PIT_NE,2019,REG,1,2019-09-08,NE,PIT,33,3,outdoors,grass,0,5.5,49.0,66.0,2.0,30
2019_01_TEN_CLE,2019,REG,1,2019-09-08,CLE,TEN,13,43,outdoors,grass,0,5.5,44.0,71.0,10.0,-30
2019_02_ARI_BAL,2019,REG,2,2019-09-15,BAL,ARI,23,17,outdoors,grass,0,13.0,46.0,82.0,8.0,6
2019_02_IND_TEN,2019,REG,2,2019-09-15,TEN,IND,17,19,outdoors,grass,1,3.0,43.5,93.0,1.0,-2
2019_02_KC_OAK,2019,REG,2,2019-09-15,OAK,KC,10,28,outdoors,grass,1,-7.0,53.5,70.0,13.0,-18
2019_02_LAC_DET,2019,REG,2,2019-09-15,DET,LAC,13,10,dome,fieldturf,0,-1.0,47.0,,,3
2019_02_MIN_GB,2019,REG,2,2019-09-15,GB,MIN,21,16,outdoors,grass,1,3.0,43.0,72.0,5.0,5
2019_02_NO_LA,2019,REG,2,2019-09-15,LA,NO,27,9,outdoors,grass,0,2.0,52.5,85.0,4.0,18
2019_02_PHI_ATL,2019,REG,2,2019-09-15,ATL,PHI,24,20,open,fieldturf,0,-1.0,53.0,,,4
2019_02_SEA_PIT,2019,REG,2,2019-09-15,PIT,SEA,26,28,outdoors,grass,0,4.0,47.0,81.0,3.0,-2
2019_03_ATL_IND,2019,REG,3,2019-09-22,IND,ATL,27,24,closed,fieldturf,0,1.0,48.0,,,3
2019_03_BAL_KC,2019,REG,3,2019-09-22,KC,BAL,33,28,outdoors,astroturf,0,4.5,52.0,,,5
2019_03_CAR_ARI,2019,REG,3,2019-09-22,ARI,CAR,20,38,closed,grass,0,2.5,46.0,,,-18
2019_03_DET_PHI,2019,REG,3,2019-09-22,PHI,DET,24,27,outdoors,grass,0,4.0,45.0,84.0,7.0,-3
2019_03_HOU_LAC,2019,REG,3,2019-09-22,LAC,HOU,20,27,outdoors,grass,0,3.0,49.0,87.0,4.0,-7
2019_03_LA_CLE,2019,REG,3,2019-09-22,CLE,LA,13,20,outdoors,grass,0,-4.0,48.0,83.0,12.0,-7
2019_03_NO_SEA,2019,REG,3,2019-09-22,SEA,NO,27,33,outdoors,fieldturf,0,5.0,44.0,63.0,8.0,-6
2019_03_OAK_MIN,2019,REG,3,2019-09-22,MIN,OAK,34,14,dome,sportturf,0,8.5,43.0,,,20
2019_03_PIT_SF,2019,REG,3,2019-09-22,SF,PIT,24,20,outdoors,grass,0,6.0,44.5,79.0,3.0,4
2019_03_TEN_JAX,2019,REG,3,2019-09-19,JAX,TEN,20,7,outdoors,grass,1,-1.5,38.0,73.0,9.0,13
