game_id,temp_f,wind_mph
2019_17_ATL_TB,78.0,12.0
2019_17_LAC_KC,40.0,16.0
2019_17_NO_CAR,63.0,9.0
2019_17_OAK_DEN,31.0,6.0
2019_17_PIT_BAL,46.0,7.0
2019_18_TEN_NE,44.0,4.0
2019_19_MIN_SF,56.0,11.0
2019_19_TEN_BAL,69.0,12.0
2020_01_ARI_SF,66.0,6.0
2020_01_CLE_BAL,76.0,5.0
2020_01_LAC_CIN,83.0,6.0
2020_01_LV_CAR,81.0,5.0
2020_01_PIT_NYG,71.0,5.0
2020_01_TEN_DEN,79.0,10.0
2020_02_DEN_PIT,64.0,5.0
2020_02_DET_GB,66.0,12.0
2020_02_JAX_TEN,72.0,5.0
2020_02_LA_PHI,62.0,12.0
2020_03_HOU_PIT,79.0,6.0
2020_03_KC_BAL,73.0,8.0
2020_03_LA_BUF,79.0,16.0
2020_03_LV_NE,73.0,8.0
2020_04_ARI_CAR,68.0,8.0
2020_04_ATL_GB,53.0,9.0
2020_04_BAL_WAS,65.0,5.0
2020_04_LAC_TB,75.0,6.0
2020_05_ARI_NYJ,64.0,8.0
2020_05_BUF_TEN,73.0,3.0
2020_05_CIN_BAL,69.0,3.0
2020_05_LA_WAS,69.0,2.0
2020_05_LV_KC,80.0,16.0
2020_05_MIN_SEA,54.0,10.0
2020_05_PHI_PIT,70.0,4.0
2020_06_BAL_PHI,61.0,7.0
2020_06_CLE_PIT,61.0,9.0
2020_06_DET_JAX,78.0,10.0
2020_06_HOU_TEN,61.0,10.0
2020_06_LA_SF,86.0,10.0
2020_07_PIT_TEN,55.0,3.0
2020_08_ATL_CAR,76.0,8.0
2020_08_LAC_DEN,64.0,10.0
2020_08_LA_MIA,86.0,10.0
2020_08_LV_CLE,49.0,35.0
2020_08_MIN_GB,34.0,23.0
2020_08_NO_CHI,40.0,20.0
2020_08_PIT_BAL,52.0,7.0
2020_08_TEN_CIN,48.0,24.0
2020_09_CHI_TEN,77.0,14.0
2020_09_NO_TB,77.0,17.0
2020_10_BAL_NE,52.0,13.0
2020_10_CIN_PIT,52.0,21.0
2020_10_IND_TEN,56.0,6.0
2020_10_LAC_MIA,83.0,7.0
2020_10_MIN_CHI,44.0,11.0
2020_11_ARI_SEA,48.0,11.0
2020_11_DET_CAR,65.0,7.0
2020_11_LA_TB,69.0,5.0
2020_11_PIT_JAX,72.0,3.0
2020_11_TEN_BAL,53.0,6.0
2020_12_ARI_NE,52.0,8.0
2020_12_BAL_PIT,36.0,14.0
2020_12_LAC_BUF,48.0,7.0
2020_12_NO_DEN,38.0,6.0
2020_13_CLE_TEN,52.0,1.0
2020_13_DAL_BAL,38.0,9.0
2020_13_DET_CHI,35.0,5.0
2020_13_LV_NYJ,39.0,18.0
2020_13_WAS_PIT,34.0,10.0
2020_14_ARI_NYG,59.0,15.0
2020_14_BAL_CLE,34.0,18.0
2020_14_MIN_TB,78.0,5.0
2020_14_NO_PHI,57.0,10.0
2020_14_PIT_BUF,35.0,11.0
2020_14_TEN_JAX,69.0,2.0
2020_15_DET_TEN,46.0,5.0
2020_15_JAX_BAL,39.0,3.0
2020_15_PIT_CIN,43.0,10.0
2020_16_ATL_KC,49.0,8.0
2020_16_IND_PIT,37.0,6.0
2020_16_LA_SEA,45.0,2.0
2020_16_NYG_BAL,38.0,3.0
2020_16_TEN_GB,28.0,15.0
2020_17_ATL_TB,65.0,4.0
2020_17_BAL_CIN,39.0,10.0
2020_17_LAC_KC,35.0,6.0
2020_17_LV_DEN,53.0,10.0
2020_17_NO_CAR,57.0,2.0
2020_17_PIT_CLE,38.0,7.0
2020_18_BAL_TEN,33.0,1.0
2020_18_CLE_PIT,34.0,1.0
2020_18_LA_SEA,39.0,1.0
2020_19_BAL_BUF,34.0,13.0
2020_19_LA_GB,35.0,13.0
2021_01_ARI_TEN,82.0,8.0
2021_01_GB_NO,86.0,9.0
2021_01_LAC_WAS,81.0,4.0
2021_01_MIN_CIN,81.0,15.0
2021_01_PIT_BUF,73.0,17.0
2021_02_ATL_TB,85.0,0.0
2021_02_DET_GB,73.0,12.0
2021_02_KC_BAL,82.0,8.0
2021_02_LV_PIT,77.0,4.0
2021_02_NO_CAR,83.0,4.0
2021_02_TEN_SEA,62.0,14.0
2021_03_ARI_JAX,81.0,4.0
2021_03_ATL_NYG,69.0,13.0
2021_03_CIN_PIT,67.0,9.0
2021_03_IND_TEN,72.0,4.0
2021_03_LAC_KC,81.0,19.0
2021_03_NO_NE,73.0,11.0
2021_04_BAL_DEN,77.0,11.0
2021_04_DET_CHI,72.0,4.0
2021_04_PIT_GB,67.0,4.0
2021_04_TEN_NYJ,78.0,9.0
2021_05_DEN_PIT,71.0,9.0
2021_05_IND_BAL,69.0,6.0
2021_05_LA_SEA,56.0,8.0
2021_05_NO_WAS,70.0,12.0
2021_05_NYJ_ATL,63.0,8.0
2021_05_TEN_JAX,78.0,11.0
2021_06_ARI_CLE,58.0,23.0
2021_06_BUF_TEN,66.0,6.0
2021_06_LAC_BAL,63.0,15.0
2021_06_LA_NYG,61.0,13.0
2021_06_LV_DEN,76.0,8.0
2021_06_MIN_CAR,62.0,7.0
2021_06_SEA_PIT,49.0,6.0
2021_07_ATL_MIA,85.0,9.0
2021_07_CIN_BAL,61.0,6.0
2021_07_KC_TEN,74.0,14.0
2021_07_NO_SEA,54.0,16.0
2021_08_PIT_CLE,57.0,13.0
2021_09_ARI_SF,57.0,8.0
2021_09_CHI_PIT,55.0,7.0
2021_09_LAC_PHI,54.0,11.0
2021_09_LV_NYG,54.0,4.0
2021_09_MIN_BAL,56.0,8.0
2021_10_BAL_MIA,77.0,4.0
2021_10_DET_PIT,37.0,12.0
2021_10_LA_SF,59.0,0.0
2021_10_NO_TEN,53.0,12.0
2021_11_ARI_SEA,46.0,0.0
2021_11_BAL_CHI,46.0,9.0
2021_11_DET_CLE,42.0,7.0
2021_11_HOU_TEN,59.0,8.0
2021_11_NO_PHI,51.0,4.0
2021_12_ATL_JAX,61.0,4.0
2021_12_CLE_BAL,43.0,0.0
2021_12_LAC_DEN,62.0,0.0
2021_12_LA_GB,37.0,14.0
2021_12_MIN_SF,68.0,7.0
2021_12_PIT_CIN,43.0,12.0
2021_12_TEN_NE,33.0,6.0
2021_13_ARI_CHI,34.0,8.0
2021_13_BAL_PIT,50.0,7.0
2021_13_LAC_CIN,48.0,11.0
2021_14_ATL_CAR,48.0,9.0
2021_14_BAL_CLE,46.0,14.0
2021_14_DET_DEN,63.0,8.0
2021_14_JAX_TEN,45.0,0.0
2021_14_LV_KC,47.0,19.0
2021_14_NO_NYJ,46.0,13.0
2021_15_ATL_SF,46.0,0.0
2021_15_GB_BAL,43.0,11.0
2021_15_LV_CLE,40.0,8.0
2021_15_MIN_CHI,37.0,8.0
2021_15_NO_TB,75.0,0.0
2021_15_TEN_PIT,32.0,11.0
2021_16_BAL_CIN,52.0,0.0
2021_16_PIT_KC,60.0,22.0
2021_16_SF_TEN,48.0,7.0
2021_17_ATL_BUF,26.0,11.0
2021_17_CLE_PIT,25.0,12.0
2021_17_DET_SEA,37.0,0.0
2021_17_LA_BAL,59.0,6.0
2021_17_MIA_TEN,43.0,13.0
2021_17_MIN_GB,11.0,9.0
2021_19_LV_CIN,31.0,12.0
2021_19_PIT_KC,30.0,8.0
2021_20_CIN_TEN,35.0,0.0
2021_20_LA_TB,50.0,11.0
