player_id,player,position,team,is_rookie,draft_pick,adp_pos_rank,projection,sleeper,diff
00-0035228,Kyler Murray,QB,MIN,0,1.0,21.0,97.8,265.2,-167.4
00-0039923,J.J. McCarthy,QB,MIN,0,10.0,29.0,87.3,19.62,67.7
00-0036972,Mac Jones,QB,SF,0,15.0,,63.4,,
00-0040206,Riley Leonard,QB,IND,0,189.0,,55.3,,
00-0029604,Kirk Cousins,QB,LV,0,102.0,,50.4,,
00-0032268,Marcus Mariota,QB,WAS,0,2.0,,50.2,,
00-0039917,Michael Penix Jr.,QB,ATL,0,8.0,31.0,48.5,108.38,-59.9
00-0039164,Anthony Richardson,QB,IND,0,4.0,,46.3,,
00-0040234,Quinn Ewers,QB,MIA,0,231.0,,41.4,,
00-0035993,Tyler Huntley,QB,BAL,0,,,41.2,,
00-0033869,Mitchell Trubisky,QB,TEN,0,2.0,,37.9,,
00-0033319,Nick Mullens,QB,JAX,0,,,35.5,,
00-0036898,Davis Mills,QB,HOU,0,67.0,,34.7,,
00-0037012,Trey Lance,QB,LAC,0,3.0,,33.4,,
00-0040668,Shedeur Sanders,QB,CLE,0,144.0,30.0,32.6,97.12,-64.5
00-0039398,Joe Milton III,QB,DAL,0,193.0,,32.0,,
00-0027973,Andy Dalton,QB,PHI,0,35.0,,29.4,,
00-0032950,Carson Wentz,QB,MIN,0,2.0,,29.1,,
00-0038400,Tanner McKee,QB,PHI,0,188.0,,28.5,,
00-0039376,Spencer Rattler,QB,NO,0,150.0,,26.0,,
00-0035704,Drew Lock,QB,SEA,0,42.0,,25.8,,
00-0031237,Teddy Bridgewater,QB,DET,0,32.0,,25.5,,
00-0040398,Brady Cook,QB,NYJ,0,,,25.2,,
00-0040673,Jalen Milroe,QB,SEA,0,92.0,,24.7,,
00-0040704,Dillon Gabriel,QB,CLE,0,94.0,,24.0,,
00-0038128,Malik Willis,QB,MIA,0,86.0,18.0,23.0,252.78,-229.8
00-0037013,Zach Wilson,QB,NO,0,2.0,,22.9,,
00-0031503,Jameis Winston,QB,NYG,0,1.0,,20.7,,
00-0028118,Tyrod Taylor,QB,GB,0,180.0,,20.4,,
00-0035251,Will Grier,QB,CAR,0,100.0,,20.3,,
00-0033537,Deshaun Watson,QB,CLE,0,12.0,,19.7,,
00-0038550,Hendon Hooker,QB,TEN,0,68.0,,18.8,,
00-0038102,Kenny Pickett,QB,CAR,0,20.0,,15.1,,
00-0035289,Gardner Minshew,QB,ARI,0,178.0,,13.3,,
00-0038108,Bailey Zappe,QB,NYJ,0,137.0,,12.6,,
00-0037324,Chris Oladokun,QB,KC,0,241.0,,11.9,,
00-0039152,Will Levis,QB,TEN,0,33.0,,11.5,,
00-0034577,Kyle Allen,QB,BUF,0,,,9.2,,
00-0038579,Aidan O'Connell,QB,LV,0,135.0,,7.8,,
00-0038658,Adrian Martinez,QB,SF,0,,,7.6,,
00-0035282,Easton Stick,QB,IND,0,166.0,,7.3,,
00-0038391,Sean Clifford,QB,CIN,0,149.0,,7.2,,
00-0038416,Tyson Bagent,QB,CHI,0,,,7.1,,
00-0039577,Kedon Slovis,QB,ARI,0,,,6.2,,
00-0036879,Sam Ehlinger,QB,DEN,0,218.0,,4.9,,
00-0026300,Josh Johnson,QB,CIN,0,160.0,,4.5,,
00-0035264,Jarrett Stidham,QB,DEN,0,133.0,,4.5,,
00-0035100,Jake Browning,QB,TB,0,,,4.1,,
00-0037327,Skylar Thompson,QB,BAL,0,247.0,,4.1,,
00-0040494,Max Brosmer,QB,MIN,0,,,3.4,,
00-0032156,Trevor Siemian,QB,ATL,0,250.0,,2.2,,
00-0032434,Brandon Allen,QB,NYG,0,201.0,,1.5,,
00-0037077,Sam Howell,QB,DAL,0,144.0,,1.3,,
00-0028986,Case Keenum,QB,CHI,0,,,1.1,,
