season,player_id,player,pos,team,grp,group,is_rookie,norm_name,adp_half_ppr,adp_overall_rank,adp_pos_rank,pred,sleeper,y,model
2025,00-0037252,Greg Dulcich,TE,MIA,vet,veteran,0,greg dulcich,683.0,1521.0,293.0,12.9,3.0,49.8,lightgbm
2025,00-0035689,Dawson Knox,TE,BUF,vet,veteran,0,dawson knox,687.1,1591.0,305.0,48.8,46.2,85.7,lightgbm
2025,00-0033110,Tyler Higbee,TE,LA,vet,veteran,0,tyler higbee,269.5,270.0,40.0,37.9,73.0,58.6,lightgbm
2025,00-0034829,Mike Gesicki,TE,CIN,vet,veteran,0,mike gesicki,239.4,205.0,27.0,87.9,99.5,56.7,lightgbm
2025,00-0039066,Michael Mayer,TE,LV,vet,veteran,0,michael mayer,665.1,1298.0,252.0,21.0,51.0,56.3,lightgbm
2025,00-0033881,Evan Engram,TE,DEN,vet,veteran,0,evan engram,79.8,80.0,8.0,87.0,133.1,77.8,lightgbm
2025,00-0037112,Jake Tonges,TE,SF,vet,veteran,0,jake tonges,679.5,1461.0,281.0,1.1,36.0,76.3,lightgbm
2025,00-0035644,Noah Fant,TE,CIN,vet,veteran,0,noah fant,295.0,320.0,56.0,59.9,55.0,57.8,lightgbm
2025,00-0033858,Jonnu Smith,TE,PIT,vet,veteran,0,jonnu smith,157.2,144.0,17.0,122.3,99.3,66.2,lightgbm
2025,00-0038558,Darnell Washington,TE,PIT,vet,veteran,0,darnell washington,643.9,1125.0,213.0,43.4,25.7,57.9,lightgbm
2025,00-0036290,Cole Kmet,TE,CHI,vet,veteran,0,cole kmet,261.4,252.0,36.0,71.9,46.0,63.7,lightgbm
2025,00-0037838,Isaiah Likely,TE,BAL,vet,veteran,0,isaiah likely,198.2,170.0,21.0,84.7,84.5,48.2,lightgbm
2025,00-0035249,Josh Oliver,TE,MIN,vet,veteran,0,josh oliver,688.5,1617.0,312.0,31.2,23.3,47.5,lightgbm
2025,00-0038115,Daniel Bellinger,TE,NYG,vet,veteran,0,daniel bellinger,687.3,1595.0,308.0,23.1,22.9,50.1,lightgbm
2025,00-0039356,Ja'Tavion Sanders,TE,CAR,vet,veteran,0,jatavion sanders,258.5,244.0,33.0,44.5,93.3,39.5,lightgbm
2025,00-0034613,Tanner Hudson,TE,CIN,vet,veteran,0,tanner hudson,500.8,572.0,113.0,45.3,2.8,38.3,lightgbm
2025,00-0037005,Tommy Tremble,TE,CAR,vet,veteran,0,tommy tremble,697.0,1767.0,342.0,32.2,26.0,50.400000000000006,lightgbm
2025,00-0033357,Taysom Hill,TE,NO,vet,veteran,0,taysom hill,277.8,291.0,47.0,99.6,17.0,36.28,lightgbm
2025,00-0036754,Brock Wright,TE,DET,vet,veteran,0,brock wright,683.9,1536.0,295.0,30.7,18.0,29.8,lightgbm
2025,00-0039074,Davis Allen,TE,LA,vet,veteran,0,davis allen,626.3,1013.0,193.0,21.4,3.0,50.8,lightgbm
2025,00-0039041,Elijah Higgins,TE,ARI,vet,veteran,0,elijah higgins,692.0,1672.0,320.0,38.0,29.0,43.1,lightgbm
2025,00-0032392,Austin Hooper,TE,NE,vet,veteran,0,austin hooper,685.4,1560.0,300.0,56.7,43.0,48.8,lightgbm
2025,00-0037805,Jeremy Ruckert,TE,NYJ,vet,veteran,0,jeremy ruckert,699.0,1802.0,348.0,33.9,22.5,35.400000000000006,lightgbm
2025,00-0039144,Luke Musgrave,TE,GB,vet,veteran,0,luke musgrave,670.7,1354.0,263.0,21.4,34.2,37.2,lightgbm
2025,00-0036422,Adam Trautman,TE,DEN,vet,veteran,0,adam trautman,676.0,1413.0,276.0,32.4,23.5,35.5,lightgbm
2025,00-0038046,Charlie Kolar,TE,BAL,vet,veteran,0,charlie kolar,671.3,1364.0,266.0,15.4,6.4,31.2,lightgbm
2025,00-0036637,Noah Gray,TE,KC,vet,veteran,0,noah gray,273.9,281.0,46.0,88.9,65.0,28.3,lightgbm
2025,00-0038720,Julian Hill,TE,MIA,vet,veteran,0,julian hill,695.2,1736.0,337.0,15.1,25.0,23.5,lightgbm
2025,00-0037304,Connor Heyward,TE,PIT,vet,veteran,0,connor heyward,403.0,429.0,87.0,11.7,,25.9,lightgbm
2025,00-0034159,Will Dissly,TE,LAC,vet,veteran,0,will dissly,694.9,1723.0,332.0,42.5,50.5,15.2,lightgbm
2025,00-0037348,Tanner Conner,TE,MIA,vet,veteran,0,tanner conner,460.5,492.0,102.0,10.6,30.0,13.6,lightgbm
2025,00-0036628,John Bates,TE,WAS,vet,veteran,0,john bates,655.7,1213.0,229.0,12.8,17.4,21.8,lightgbm
2025,00-0035631,Drew Sample,TE,CIN,vet,veteran,0,drew sample,640.5,1097.0,207.0,23.4,20.7,24.4,lightgbm
2025,00-0039912,Ben Sinnott,TE,WAS,vet,veteran,0,ben sinnott,290.0,313.0,53.0,22.1,44.4,22.9,lightgbm
