gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
00-0039918,Caleb Williams,QB,CHI,2024,1,1,46.5,20.3,47.2,11.717071162908976,,1,22.0,,,,214.0,28.23081253518484,,0.2940239992263113,59.66666666666666,7.0,40.0,,,,27.0,71.0,,92.0,79.0
00-0039344,Jonathon Brooks,RB,CAR,2024,2,46,59.5,22.3,45.4,7.040741551747661,,46,21.0,,,,216.0,29.291666666666668,,0.2255546751188589,141.0,13.0,25.0,,,,63.0,33.0,,34.0,80.0
00-0039738,Blake Corum,RB,LAR,2024,3,83,42.8,33.4,39.1,3.2422432650601785,,83,23.0,4.53,35.5,,205.0,31.16673875432526,97.36235020407359,0.3687876728283379,89.93333333333334,23.0,91.0,61.0,61.0,,25.0,80.0,24.0,75.0,31.0
00-0039907,Ja'Lynn Polk,WR,NWE,2024,2,37,33.4,14.4,38.1,5.473068180651875,,37,22.0,4.52,37.5,129.0,203.0,26.77969600300244,97.26851696790115,0.0941052037794387,87.07692307692308,17.0,63.0,74.0,70.0,84.0,58.0,56.0,37.0,39.0,69.0
00-0039917,Michael Penix,QB,ATL,2024,1,8,50.1,12.7,37.8,11.121451320050573,,8,24.0,,,,216.0,27.72972972972973,,0.1568890142434071,13.266666666666667,18.0,94.0,,,,34.0,49.0,,52.0,16.0
00-0039912,Ben Sinnott,TE,WAS,2024,2,53,35.0,36.6,36.4,2.5640987580558523,,53,22.0,4.68,40.0,126.0,250.0,30.42763157894737,104.22852504553892,0.0570972082071981,61.72727272727273,15.0,49.0,45.0,97.0,90.0,55.0,72.0,52.0,49.0,84.0
00-0039811,MarShawn Lloyd,RB,GNB,2024,3,88,31.6,23.3,34.2,3.9054917154374698,,88,23.0,4.46,36.0,118.0,220.0,32.48477210670028,111.20216474658048,0.1919733523779766,98.72727272727272,27.0,91.0,31.0,68.0,30.0,74.0,97.0,86.0,25.0,40.0
00-0039916,Ricky Pearsall,WR,SFO,2024,1,31,30.2,18.5,32.2,6.319699024217893,,31,23.0,4.41,42.0,129.0,189.0,24.932820416588477,99.93956204954833,0.1414914298963739,81.58333333333333,13.0,94.0,28.0,98.0,84.0,26.0,11.0,49.0,69.0,60.0
00-0039391,Kimani Vidal,RB,LAC,2024,6,181,6.0,63.6,32.0,2.9341410266731787,,181,23.0,4.46,37.5,120.0,213.0,32.38300173010381,107.66391405009837,0.4581875027457642,130.5,68.0,91.0,31.0,79.0,43.0,50.0,96.0,73.0,94.0,72.0
00-0039901,Keon Coleman,WR,BUF,2024,2,33,35.8,12.0,31.1,6.624735809529909,,33,21.0,4.61,38.0,127.0,213.0,26.620266666666666,94.32045726391355,0.0540935672514619,52.41666666666666,15.0,21.0,95.0,74.0,75.0,80.0,51.0,24.0,13.0,21.0
00-0039915,Ladd McConkey,WR,LAC,2024,2,34,35.7,28.1,30.9,6.236249285514962,,34,22.0,4.39,36.0,124.0,186.0,25.22337962962963,100.15781899578903,0.0473068595551147,64.5,16.0,63.0,22.0,51.0,58.0,20.0,15.0,50.0,8.0,37.0
00-0039361,Bucky Irving,RB,TAM,2024,4,125,15.0,26.0,30.5,4.980625526428925,,125,22.0,4.55,29.5,115.0,192.0,28.35034656584751,89.59538453109731,,,43.0,71.0,67.0,7.0,9.0,5.0,9.0,7.0,,
00-0039875,Ray Davis,RB,BUF,2024,4,128,15.0,33.8,27.8,1.818986868645991,,128,24.0,,,,,,,0.0461206896551724,154.0,46.0,99.0,,,,,,,3.0,90.0
00-0039737,Tip Reiman,TE,ARI,2024,3,82,20.6,18.4,26.3,0.5831494035042688,,82,22.0,4.64,33.5,121.0,271.0,32.132400067465,116.93038087938177,0.0203897147448774,18.454545454545453,26.0,49.0,37.0,43.0,68.0,99.0,96.0,93.0,14.0,13.0
00-0039373,Audric Estime,RB,DEN,2024,5,147,23.2,45.5,25.9,3.477622875522539,,147,21.0,4.71,38.0,125.0,221.0,30.819877008530053,89.81288368998997,0.3844436813186813,130.5,53.0,25.0,99.0,82.0,79.0,79.0,70.0,8.0,81.0,72.0
00-0039920,Malachi Corley,WR,NYJ,2024,3,65,34.5,23.5,25.2,3.8185073026865437,,65,22.0,,,,215.0,29.983138266217022,,0.0938204357625845,83.25,28.0,63.0,,,,85.0,99.0,,38.0,62.0
00-0039732,Bo Nix,QB,DEN,2024,1,12,47.8,18.0,24.7,11.0942568180952,,12,24.0,,,,214.0,27.472972972972972,,0.0854484315260951,27.2,23.0,94.0,,,,27.0,43.0,,29.0,40.0
00-0039810,Jermaine Burton,WR,CIN,2024,3,80,20.9,11.9,24.1,1.490653999029263,,80,23.0,4.45,38.5,133.0,196.0,26.579475308641975,99.96455179214907,0.1510758234470562,65.25,35.0,94.0,46.0,80.0,94.0,41.0,50.0,49.0,72.0,38.0
00-0039890,Adonai Mitchell,WR,IND,2024,2,52,29.6,22.8,20.8,3.945616846477696,,52,21.0,4.34,39.5,136.0,205.0,26.31756756756757,115.5646314647894,0.134904912836767,58.15384615384615,23.0,21.0,10.0,88.0,99.0,64.0,42.0,95.0,65.0,28.0
00-0039363,Isaac Guerendo,RB,SFO,2024,4,129,15.9,40.0,20.6,5.033570421232682,,129,24.0,4.33,41.5,129.0,221.0,29.96971450617284,125.73919741084094,0.2478639950852984,78.35714285714286,47.0,99.0,3.0,99.0,90.0,79.0,50.0,99.0,41.0,21.0
00-0039356,Ja'Tavion Sanders,TE,CAR,2024,4,101,8.0,16.1,18.3,2.869968720062888,,101,21.0,4.69,,,245.0,29.81907894736842,101.27557303291522,0.0466719492868462,49.083333333333336,37.0,12.0,49.0,,,28.0,47.0,41.0,43.0,70.0
00-0039874,Jaylen Wright,RB,MIA,2024,4,120,16.7,33.4,17.7,3.667539937011025,,120,21.0,4.38,38.0,134.0,210.0,29.28585598095616,114.1176575246594,0.1709924030004553,98.91666666666669,40.0,25.0,9.0,82.0,99.0,41.0,32.0,90.0,19.0,41.0
00-0039384,Tyrone Tracy Jr.,RB,NYG,2024,5,166,22.1,18.9,17.7,4.479002640875597,,166,24.0,4.48,40.0,124.0,209.0,29.146399523903987,103.76818623953882,0.2800660958389664,77.45454545454545,62.0,99.0,41.0,95.0,74.0,37.0,28.0,54.0,51.0,20.0
00-0039739,Roman Wilson,WR,PIT,2024,3,84,24.0,20.3,17.2,,,84,23.0,4.39,,,185.0,25.799444554651856,99.6193360979622,0.170406427794211,56.285714285714285,37.0,94.0,22.0,,,18.0,25.0,48.0,80.0,25.0
00-0039855,Jalen McMillan,WR,TAM,2024,3,92,17.3,13.2,16.4,3.2806866052279173,,92,22.0,4.47,37.0,127.0,197.0,25.988177894539312,98.6884048469653,0.0540544351995487,80.57142857142857,40.0,63.0,56.0,66.0,75.0,43.0,33.0,42.0,13.0,58.0
00-0039853,Javon Baker,WR,NWE,2024,4,110,9.3,22.3,16.3,2.724374860728298,,110,22.0,4.54,37.0,121.0,202.0,26.647776318258586,95.09505932052586,0.0826908541194255,84.15384615384616,47.0,63.0,82.0,66.0,32.0,54.0,53.0,27.0,32.0,63.0
00-0039894,Xavier Worthy,WR,KAN,2024,1,28,32.0,10.2,15.7,6.042156813429439,,28,21.0,4.21,41.0,131.0,165.0,23.01031541360841,105.04746017176966,0.1212361331220285,69.15384615384616,12.0,21.0,0.0,96.0,89.0,2.0,2.0,69.0,57.0,45.0
00-0039796,Rasheen Ali,RB,BAL,2024,5,165,22.1,14.0,15.0,1.7960219221405231,,165,23.0,,,,206.0,28.728030152747472,,0.4422131563933631,115.25,62.0,91.0,,,,29.0,16.0,,92.0,56.0
00-0039794,Braelon Allen,RB,NYJ,2024,4,134,15.3,18.6,14.1,4.224317927287906,,134,20.0,,32.0,117.0,235.0,31.00112591480578,,0.3409009626560963,103.36363636363636,49.0,1.0,,22.0,21.0,98.0,76.0,,68.0,43.0
00-0039746,Will Shipley,RB,PHI,2024,4,127,15.0,13.8,13.5,3.1058673051389505,,127,22.0,,,,206.0,28.728030152747472,,0.167756357246227,88.75,45.0,71.0,,,,29.0,16.0,,17.0,30.0
00-0039792,Devontez Walker,WR,BAL,2024,4,113,9.3,11.4,11.5,0.9946837312473114,,113,23.0,4.36,40.5,134.0,193.0,24.777027027027028,106.81723885592413,0.047842401500938,76.5,48.0,94.0,14.0,93.0,95.0,34.0,9.0,76.0,9.0,54.0
00-0039747,Ainias Smith,WR,PHI,2024,5,152,11.0,15.6,10.4,1.434399014141739,,152,23.0,,,,190.0,28.0550304557866,,0.0832272748119611,61.41666666666666,60.0,94.0,,,,29.0,85.0,,33.0,32.0
00-0039359,Cade Stover,TE,HOU,2024,4,123,6.9,16.4,10.3,1.93359611702381,,123,24.0,4.65,34.5,117.0,247.0,30.0625,105.66110236105104,0.1117706627596311,63.888888888888886,46.0,97.0,39.0,57.0,39.0,40.0,58.0,60.0,79.0,86.0
00-0039355,Luke McCaffrey,WR,WAS,2024,3,100,13.9,12.8,9.1,2.2921167899282584,,100,23.0,4.46,36.0,121.0,198.0,25.41891891891892,100.08194827192243,0.1762985753090526,83.15384615384616,42.0,94.0,51.0,51.0,32.0,45.0,19.0,50.0,81.0,61.0
00-0039393,Jase McClellan,RB,ATL,2024,6,186,4.9,19.6,9.0,3.79190116741405,,186,22.0,,,,221.0,31.70673469387755,,0.1838315362005583,79.07692307692308,71.0,71.0,,,,79.0,89.0,,22.0,21.0
00-0039847,Theo Johnson,TE,NYG,2024,4,107,7.7,7.4,8.4,0.9166797352305935,,107,23.0,,,,,,,0.091812156788487,28.0,40.0,89.0,,,,,,,71.0,30.0
00-0039405,Jawhar Jordan,RB,HOU,2024,6,205,4.1,16.0,8.3,,,205,25.0,4.56,,,193.0,27.689591836734692,89.27460432222395,0.2993431312319833,105.6923076923077,79.0,100.0,72.0,,,6.0,4.0,6.0,57.0,45.0
00-0039379,Jamari Thrash,WR,CLE,2024,5,156,11.1,10.1,8.2,1.6971025616258257,,156,23.0,4.46,34.0,120.0,188.0,25.494598765432098,95.02730441980513,0.0859033126978876,72.16666666666667,60.0,94.0,51.0,24.0,23.0,24.0,20.0,26.0,35.0,50.0
00-0039385,Keilan Robinson,RB,JAX,2024,5,167,22.1,12.4,8.0,2.1406514233496376,,167,24.0,4.42,33.0,125.0,191.0,29.038278546712803,100.08621957253739,0.0501782884310618,17.77777777777778,63.0,99.0,20.0,30.0,79.0,4.0,27.0,38.0,4.0,2.0
00-0039868,Troy Franklin,WR,DEN,2024,4,102,9.7,25.8,7.9,3.3125058369960225,,102,21.0,4.41,39.0,124.0,176.0,22.594594594594593,93.06541227894448,0.0922368947579031,106.3846153846154,43.0,21.0,28.0,83.0,58.0,6.0,1.0,21.0,37.0,89.0
00-0039437,Cornelius Johnson,WR,LAC,2024,7,253,2.2,11.0,7.8,,,253,23.0,4.44,37.5,127.0,212.0,26.49528888888889,109.10231759276564,0.0638902450309359,46.0,98.0,94.0,43.0,70.0,75.0,78.0,46.0,81.0,18.0,16.0
00-0039754,Devin Culp,TE,TAM,2024,7,246,1.7,15.4,7.8,1.966028412758922,,246,24.0,4.47,,,231.0,28.869866666666667,115.72092141953799,0.0131152164715836,16.90909090909091,93.0,97.0,3.0,,,2.0,12.0,91.0,7.0,10.0
00-0039798,Isaiah Davis,RB,NYJ,2024,5,173,20.0,14.3,7.5,1.9149874909859594,,173,22.0,,,,,,,0.2880800414007245,125.76923076923076,65.0,71.0,,,,,,,53.0,66.0
00-0039420,Jaheim Bell,TE,NWE,2024,7,231,1.1,17.9,6.4,0.5667435170832831,,231,23.0,4.61,35.0,124.0,241.0,30.93918918918919,106.71939061316041,0.0577153668484937,50.5,92.0,89.0,22.0,66.0,83.0,13.0,86.0,66.0,50.0,71.0
00-0039793,AJ Barner,TE,SEA,2024,4,121,6.9,12.1,6.4,3.7357750225615876,,121,22.0,,,,251.0,29.002794214332678,,0.0210553018772196,24.9,45.0,49.0,,,,63.0,17.0,,15.0,22.0
00-0039816,Anthony Gould,WR,IND,2024,5,142,11.4,9.5,6.2,1.59138400987832,,142,23.0,4.39,39.5,129.0,174.0,26.45371972318339,93.69602422186715,0.0675897249043541,67.45454545454545,58.0,94.0,22.0,88.0,84.0,5.0,45.0,22.0,21.0,43.0
00-0039398,Joe Milton,QB,NWE,2024,6,193,1.5,11.0,5.9,6.8201107318884295,,193,24.0,,35.0,121.0,235.0,27.863889357395852,,0.2207623361372732,41.91666666666666,78.0,94.0,,85.0,88.0,93.0,57.0,,75.0,61.0
00-0039824,Jared Wiley,TE,KAN,2024,4,131,7.1,8.2,5.8,1.3708867076318618,,131,23.0,4.62,37.0,118.0,249.0,28.771696252465482,109.31038918062856,0.1293575821930158,43.41666666666666,49.0,89.0,28.0,85.0,48.0,50.0,10.0,77.0,84.0,59.0
00-0039814,Erick All,TE,CIN,2024,4,115,7.4,8.1,5.6,3.0468575563332427,,115,23.0,,,,252.0,30.67105263157895,,0.1190594918047003,42.71428571428572,42.0,89.0,,,,68.0,79.0,,81.0,57.0
00-0039376,Spencer Rattler,QB,NOR,2024,5,150,5.3,4.4,5.5,6.576399339164081,,150,23.0,4.95,32.0,108.0,211.0,28.613618827160494,70.28969441586582,0.1729874562490488,33.416666666666664,64.0,76.0,86.0,56.0,16.0,14.0,83.0,8.0,62.0,51.0
00-0039397,Tejhaun Palmer,WR,ARI,2024,6,191,1.7,18.9,5.5,,,191,24.0,,,,,,,0.0682166581502299,66.75,76.0,99.0,,,,,,,21.0,40.0
00-0039392,Jha'Quan Jackson,WR,TEN,2024,6,182,2.1,9.7,5.0,1.0298644919271385,,182,24.0,4.42,32.0,118.0,188.0,27.759714345725687,98.51418471014152,0.1143947773934282,54.44444444444444,70.0,99.0,34.0,8.0,15.0,24.0,78.0,40.0,53.0,23.0
00-0039365,Jacob Cowing,WR,SFO,2024,4,135,8.9,13.5,4.9,2.1080129039219675,,135,23.0,4.38,36.0,119.0,168.0,25.541522491349482,91.29412601972753,0.1315247889447857,46.0,55.0,94.0,17.0,51.0,19.0,3.0,21.0,17.0,63.0,16.0
00-0039797,Jordan Travis,QB,NYJ,2024,5,171,4.1,9.6,4.9,,,171,24.0,,,,200.0,26.383936948770877,,0.1569512015332448,30.0,70.0,94.0,,,,2.0,12.0,,53.0,45.0
00-0039407,Dylan Laube,RB,LVR,2024,6,208,4.1,16.6,4.7,1.8961877959142572,,208,24.0,,,,,,,0.4342140233884217,161.0,80.0,99.0,,,,,,,91.0,93.0
00-0039884,Tahj Washington,WR,MIA,2024,7,241,1.5,27.5,4.2,,,241,23.0,,,,,,,0.0745977191063896,73.46153846153847,95.0,94.0,,,,,,,25.0,52.0
00-0039415,Brenden Rice,WR,LAC,2024,7,225,1.4,14.1,4.1,,,225,22.0,4.5,36.5,119.0,208.0,26.7027027027027,101.44795000762079,0.0507733166692704,59.09090909090909,89.0,63.0,68.0,59.0,19.0,70.0,54.0,56.0,11.0,29.0
00-0039386,Bub Means,WR,NOR,2024,5,170,10.1,13.0,4.1,1.9181290055985327,,170,23.0,4.43,39.5,122.0,212.0,27.96697316569713,110.09078075109203,,,66.0,94.0,39.0,88.0,39.0,78.0,83.0,83.0,,
00-0039410,Ryan Flournoy,WR,DAL,2024,6,216,1.5,11.6,3.9,0.8241499894827884,,216,24.0,,,,,,,0.1863023391668518,93.22222222222224,85.0,99.0,,,,,,,84.0,75.0
00-0039399,Tanner McLachlan,TE,CIN,2024,6,194,1.3,9.2,3.9,,,194,25.0,4.61,35.0,117.0,244.0,28.93101703491314,108.04784775772258,0.0677601572253192,40.55555555555556,79.0,99.0,22.0,66.0,39.0,22.0,15.0,73.0,60.0,53.0
00-0039236,Johnny Wilson,WR,PHI,2024,6,185,1.9,11.9,3.8,0.8335828518497639,,185,23.0,4.52,37.0,128.0,231.0,26.691814595660748,110.68486413588752,0.0530615755073959,68.55555555555556,72.0,94.0,74.0,66.0,79.0,98.0,54.0,85.0,12.0,45.0
00-0039751,Jordan Whittington,WR,LAR,2024,6,213,1.5,8.3,3.5,2.1065101774467863,,213,23.0,,,,205.0,27.043535372490147,,0.0521196513470681,41.66666666666666,85.0,94.0,,,,64.0,63.0,,11.0,11.0
00-0039238,Michael Pratt,QB,GNB,2024,7,245,2.3,10.3,3.2,,,245,22.0,,36.0,114.0,217.0,27.120177777777776,,0.1246826985172349,37.72727272727273,96.0,40.0,,95.0,54.0,43.0,31.0,,40.0,58.0
00-0039424,Devaughn Vele,WR,DEN,2024,7,235,1.3,5.7,3.0,2.878286242743396,,235,26.0,4.47,36.0,126.0,203.0,24.707236842105264,101.6941430656546,0.1099957145918148,56.0,92.0,100.0,56.0,51.0,70.0,58.0,9.0,57.0,50.0,25.0
00-0039880,Malik Washington,WR,MIA,2024,6,184,1.9,16.1,3.0,2.693964194593605,,184,23.0,4.47,42.5,126.0,191.0,28.202688510817055,95.68266662827601,0.2583452779104953,115.08333333333331,71.0,94.0,56.0,99.0,70.0,30.0,86.0,30.0,96.0,93.0
00-0039394,Casey Washington,WR,ATL,2024,6,187,1.8,10.7,2.7,0.8995484513785801,,187,23.0,,,,,,,0.0649859381277621,53.91666666666666,74.0,94.0,,,,,,,19.0,22.0
00-0039801,Devin Leary,QB,BAL,2024,6,218,1.4,5.0,2.4,,,218,24.0,,,,215.0,28.36273221992869,,0.1307970500638207,11.846153846153848,86.0,94.0,,,,31.0,75.0,,41.0,13.0
