gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
00-0040584,Gunnar Helm,TE,TEN,2025,4,120,7.1,9.4,9.3,1.7640697738975013,,120,23.0,4.84,30.0,,241.0,28.575307809074044,87.83459268011387,0.0976218080494149,45.75,44.0,89.0,90.0,9.0,,13.0,6.0,6.0,75.0,63.0
00-0040154,Tai Felton,WR,MIN,2025,3,102,12.5,15.8,8.8,2.687479158113614,,102,22.0,4.37,39.5,130.0,183.0,24.14130230812535,100.35877174776616,0.2738707609005414,95.75,43.0,63.0,15.0,88.0,86.0,15.0,4.0,52.0,96.0,79.0
00-0040206,Riley Leonard,QB,IND,2025,6,189,1.5,18.4,8.4,6.580564204511674,,189,22.0,,,,216.0,26.289473684210527,,0.2341808701021732,63.53333333333333,76.0,40.0,,,,34.0,11.0,,79.0,82.0
00-0040704,Dillon Gabriel,QB,CLE,2025,3,94,8.4,9.2,8.3,7.0549638500986696,,94,24.0,,,,205.0,28.5885736956953,,0.1690085525220576,24.357142857142858,46.0,94.0,,,,6.0,80.0,,58.0,34.0
00-0040164,Jaylin Lane,WR,WAS,2025,4,128,8.5,14.3,8.2,1.482762249730274,,128,23.0,4.34,40.0,132.0,191.0,27.40265306122449,107.67241273060866,0.1139357806359414,48.41666666666666,52.0,94.0,10.0,90.0,91.0,30.0,72.0,78.0,52.0,18.0
00-0040241,Dominic Lovett,WR,DET,2025,7,244,1.6,18.7,8.0,1.8758683008518353,,244,22.0,4.4,33.5,120.0,185.0,26.541836734693877,98.71678847073285,0.0509314647068877,42.57142857142857,96.0,63.0,24.0,20.0,23.0,18.0,49.0,43.0,11.0,13.0
00-0040194,Jackson Hawes,TE,BUF,2025,5,173,6.4,6.6,7.8,1.455185894003893,,173,24.0,4.82,34.5,121.0,253.0,29.998144712430427,93.74807609864736,0.0175076315316933,19.5,71.0,97.0,86.0,57.0,68.0,75.0,55.0,15.0,10.0,16.0
00-0040646,Jalen Royals,WR,KAN,2025,4,133,8.5,30.0,7.6,2.4845124628947834,,133,22.0,4.42,,,205.0,27.799961419753085,107.42238226371815,0.0673560648406931,103.28571428571428,54.0,63.0,34.0,,,64.0,79.0,78.0,20.0,85.0
00-0040172,Jordan Watkins,WR,SFO,2025,4,138,9.1,14.1,7.5,0.8258093194204927,,138,23.0,,,,,,,0.1579795918367347,84.18181818181819,56.0,94.0,,,,,,,76.0,64.0
00-0040582,Arian Smith,WR,NYJ,2025,4,110,9.3,10.0,7.3,3.0819753485820134,,110,23.0,4.36,38.0,127.0,179.0,24.274112654320987,99.06883810989855,0.117606033708051,57.85714285714285,47.0,94.0,14.0,74.0,75.0,10.0,5.0,45.0,54.0,27.0
00-0040187,Mitchell Evans,TE,CAR,2025,5,163,7.8,8.5,7.2,1.8782532878168312,,163,22.0,4.74,31.0,115.0,258.0,30.590993422162253,102.22010787298441,0.0559565806551209,27.923076923076923,64.0,49.0,68.0,18.0,25.0,89.0,77.0,43.0,48.0,29.0
00-0040021,Phil Mafah,RB,DAL,2025,7,239,4.3,20.8,6.8,3.1144511280494678,,239,22.0,,,,234.0,30.869206230061927,,0.2332216563923881,87.07692307692308,93.0,71.0,,,,98.0,72.0,,36.0,27.0
00-0040648,Tory Horton,WR,SEA,2025,5,166,10.7,18.7,6.6,2.0345352931907845,,166,22.0,4.41,37.5,,196.0,24.495644444444444,103.64102731064271,0.0344451062140162,69.4,65.0,63.0,28.0,70.0,,41.0,7.0,65.0,4.0,46.0
00-0040218,Jimmy Horn,WR,CAR,2025,6,208,1.5,12.4,5.9,1.736814589152552,,208,22.0,4.46,38.0,128.0,174.0,26.45371972318339,87.95080302684092,0.0304996127033307,35.0,83.0,63.0,51.0,74.0,79.0,5.0,45.0,10.0,4.0,6.0
00-0040244,Moliki Matavao,TE,NOR,2025,7,248,2.2,7.5,5.9,1.4828844315146965,,248,22.0,4.81,32.5,114.0,260.0,30.042735042735043,97.14557834455174,0.0802800119154006,49.0,95.0,49.0,85.0,30.0,18.0,91.0,56.0,31.0,67.0,69.0
00-0040590,Konata Mumpfield,WR,LAR,2025,7,242,1.5,10.1,5.6,2.0158760811984497,,242,22.0,4.59,36.0,124.0,186.0,25.938901011704026,83.80929699298603,0.1450847812983201,66.91666666666667,95.0,63.0,91.0,51.0,58.0,20.0,31.0,4.0,70.0,41.0
00-0040215,Gavin Bartholomew,TE,MIN,2025,6,202,1.2,12.7,5.6,,,202,22.0,4.7,,,246.0,29.16815651880587,100.82626302825942,0.0303614015776921,25.46153846153846,82.0,49.0,56.0,,,34.0,23.0,39.0,24.0,23.0
00-0040649,Robbie Ouzts,TE,SEA,2025,5,175,6.3,7.6,5.5,2.527607782173374,,175,23.0,4.91,34.0,119.0,274.0,34.24391111111111,94.28760188058781,0.0057730470864152,9.142857142857142,73.0,89.0,97.0,50.0,51.0,99.0,100.0,16.0,4.0,1.0
00-0040075,LaJohntay Wester,WR,BAL,2025,6,203,1.5,18.1,5.4,2.214980790358252,,203,23.0,4.46,32.0,121.0,163.0,23.385510204081633,82.3906947895119,0.0824941905499612,65.53846153846153,80.0,94.0,51.0,8.0,32.0,1.0,2.0,3.0,31.0,39.0
00-0040668,Shedeur Sanders,QB,CLE,2025,5,144,4.6,10.2,5.3,6.065531214580769,,144,23.0,,,,212.0,27.216216216216218,,0.3243770978569584,42.53846153846154,62.0,76.0,,,,17.0,35.0,,93.0,62.0
00-0040250,Luke Lachey,TE,HOU,2025,7,255,2.0,6.4,4.9,,,255,24.0,,35.0,120.0,251.0,29.002794214332678,,0.0190166975881261,18.22222222222222,99.0,97.0,,66.0,60.0,63.0,17.0,,12.0,12.0
