player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0038738,Hunter Luepke,RB,DAL,BAL,2026,3,0.9974024417132665,00-0038738,11510,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,3.0,3.0,1.21,none,,,,0.0,1.6638666791798145,0.47626840886936306,,,,,12.0,24.75,1.0
00-0038794,Jaleel McLaughlin,RB,CLE,CAR,2026,3,0.9190405745783151,00-0038794,11439,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,3.0,3.0,1.59,none,,,,3.592242329527384,1.0125165439597998,0.14080927227538353,,,,,29.0,19.5,1.0
00-0035594,Travis Homer,RB,PIT,CIN,2026,3,0.7839467659034105,00-0035594,6012,sleeper_gsis,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,8.0,4.0,0.46,none,,,,6.23823087732089,0.14993036823259515,0.11791124600425944,,,,,10.0,19.5,1.0
00-0039299,George Holani,RB,SEA,WAS,2026,3,0.7485897008101322,00-0039299,12048,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,3.0,3.0,6.72,none,,,,5.4947640367333,0.20050382582589868,0.10630661067868936,,,,,16.0,23.75,1.0
00-0037304,Connor Heyward,RB,LV,NO,2026,3,0.7322709262936956,00-0037304,8181,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,3.0,3.0,0.74,none,,,,3.0583394916821005,0.7140943957634521,0.043614733114988126,,,,,31.0,20.5,1.0
00-0040198,Ollie Gordon,RB,MIA,KC,2026,3,0.6393079129113958,00-0040198,12495,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,3.0,3.0,1.93,none,,,,4.204578788141458,0.0,0.011043308186133655,,,,,26.0,17.25,1.0
00-0038685,Chris Brooks,RB,GB,ATL,2026,3,0.6309293450919632,00-0038685,11370,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,2.0,2.0,5.9,none,,,,2.1234003148358678,1.9632871594374195,0.2569392883753095,,,,,24.0,25.5,1.0
00-0039364,Sione Vaki,RB,DET,NYJ,2026,3,0.6194496829430214,00-0039364,11729,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,2.0,2.0,2.1,none,,,,1.6663227206097355,0.0,0.0,,,,,18.0,27.25,1.0
sleeper:13277,CJ Donaldson,RB,NO,LV,2026,3,0.6125484104984549,,13277,synthetic_sleeper,2026_03_LV_NO,2026-09-27 16:25:00-04:00,4.0,3.0,1.29,none,,,,2.923053624356455,0.31505780270100947,0.09547799857014556,,,,,8.0,23.5,1.0
00-0036893,Najee Harris,RB,NYG,TEN,2026,3,0.6123881523083421,00-0036893,7528,historical_crosswalk,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,3.0,3.0,3.56,none,,,,2.8806206142901734,1.578691630265016,0.037701576132799466,,,,,9.0,21.75,1.0
