season,team,wiki_article,nominal_oc,oc_candidates,n_oc_named,oc_status,oc_raw,actual_play_caller,play_caller_status,hc_is_playcaller
2018,NYJ,2018 New York Jets season,Jeremy Bates,Jeremy Bates,1,named,*Offensive coordinator/quarterbacks – [[Jeremy Bates (American football),,unknown_no_source,
2018,PHI,2018 Philadelphia Eagles season,Mike Groh,Mike Groh,1,named,* Offensive coordinator – [[Mike Groh,,unknown_no_source,
2018,PIT,2018 Pittsburgh Steelers season,Randy Fichtner,Randy Fichtner,1,named,* Offensive coordinator/quarterbacks – [[Randy Fichtner,,unknown_no_source,
2018,SEA,2018 Seattle Seahawks season,Brian Schottenheimer,Brian Schottenheimer,1,named,*Offensive coordinator – [[Brian Schottenheimer,,unknown_no_source,
2018,SF,2018 San Francisco 49ers season,,,0,none_listed,,,unknown_no_source,
2018,TB,2018 Tampa Bay Buccaneers season,Todd Monken,Todd Monken,1,named,* Offensive coordinator – [[Todd Monken,,unknown_no_source,
2018,TEN,2018 Tennessee Titans season,Matt LaFleur,Matt LaFleur,1,named,*Offensive coordinator – [[Matt LaFleur,,unknown_no_source,
2018,WAS,2018 Washington Redskins season,Matt Cavanaugh,Matt Cavanaugh,1,named,*Offensive coordinator – [[Matt Cavanaugh,,unknown_no_source,
2019,ARI,2019 Arizona Cardinals season,,,0,none_listed,,,unknown_no_source,
2019,ATL,2019 Atlanta Falcons season,Dirk Koetter,Dirk Koetter,1,named,*Offensive coordinator – [[Dirk Koetter,,unknown_no_source,
