season,team,week,game_id,head_coach,hc_person_id,pc_person_id
2023,MIN,17,2023_17_GB_MIN,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2023,NE,17,2023_17_NE_BUF,Bill Belichick,bill_belichick,bill_obrien
2023,NO,17,2023_17_NO_TB,Dennis Allen,dennis_allen,pete_carmichael
2023,NYG,17,2023_17_LA_NYG,Brian Daboll,brian_daboll,mike_kafka
2023,NYJ,17,2023_17_NYJ_CLE,Robert Saleh,robert_saleh,nathaniel_hackett
2023,PHI,17,2023_17_ARI_PHI,Nick Sirianni,nick_sirianni,brian_johnson
2023,PIT,17,2023_17_PIT_SEA,Mike Tomlin,mike_tomlin,matt_canada
2023,SEA,17,2023_17_PIT_SEA,Pete Carroll,pete_carroll,shane_waldron
2023,SF,17,2023_17_SF_WAS,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2023,TB,17,2023_17_NO_TB,Todd Bowles,todd_bowles,dave_canales
2023,TEN,17,2023_17_TEN_HOU,Mike Vrabel,mike_vrabel,tim_kelly
2023,WAS,17,2023_17_SF_WAS,Ron Rivera,ron_rivera,eric_bieniemy
2023,ARI,18,2023_18_SEA_ARI,Jonathan Gannon,jonathan_gannon,drew_petzing
2023,ATL,18,2023_18_ATL_NO,Arthur Smith,arthur_smith,arthur_smith
2023,BAL,18,2023_18_PIT_BAL,John Harbaugh,john_harbaugh,todd_monken
2023,BUF,18,2023_18_BUF_MIA,Sean McDermott,sean_mcdermott,ken_dorsey
2023,CAR,18,2023_18_TB_CAR,Chris Tabor,chris_tabor,frank_reich
2023,CHI,18,2023_18_CHI_GB,Matt Eberflus,matt_eberflus,luke_getsy
2023,CIN,18,2023_18_CLE_CIN,Zac Taylor,zac_taylor,zac_taylor
2023,CLE,18,2023_18_CLE_CIN,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2023,DAL,18,2023_18_DAL_WAS,Mike McCarthy,mike_mccarthy,mike_mccarthy
2023,DEN,18,2023_18_DEN_LV,Sean Payton,sean_payton,sean_payton
2023,DET,18,2023_18_MIN_DET,Dan Campbell,dan_campbell,ben_johnson
2023,GB,18,2023_18_CHI_GB,Matt LaFleur,matt_lafleur,matt_lafleur
2023,HOU,18,2023_18_HOU_IND,DeMeco Ryans,demeco_ryans,bobby_slowik
2023,IND,18,2023_18_HOU_IND,Shane Steichen,shane_steichen,shane_steichen
2023,JAX,18,2023_18_JAX_TEN,Doug Pederson,doug_pederson,doug_pederson
2023,KC,18,2023_18_KC_LAC,Andy Reid,andy_reid,andy_reid
2023,LA,18,2023_18_LA_SF,Sean McVay,sean_mcvay,sean_mcvay
