season,team,plays,games,epa_play,success_rate,yards_play,explosive_rate,pass_rate,plays_per_game,proe,neutral_pass_rate,early_down_pass_rate,redzone_pass_rate,drive_scoring_points_per_drive_proxy,n_drives,redzone_td_rate,seconds_per_play
2000,NYJ,1050,16,-0.06337501335155818,0.3950381679389313,5.059047619047619,0.0761904761904762,0.6247619047619047,65.625,,0.581986143187067,0.587360594795539,0.5472972972972973,1.5024630541871922,205,0.5555555555555556,
2000,PHI,1005,16,-0.0052246136290388,0.4019900497512438,4.907462686567164,0.07661691542288557,0.6736318407960199,62.8125,,0.6916488222698073,0.6152849740932642,0.6484375,1.7379679144385027,188,0.5208333333333334,
2000,PIT,996,16,-0.05617582156496507,0.37889447236180906,4.678714859437751,0.09136546184738956,0.5190763052208835,62.25,,0.5564516129032258,0.44152431011826543,0.33557046979865773,1.5368421052631578,191,0.48,
2000,SEA,944,16,-0.05088491670740572,0.4014830508474576,4.889830508474576,0.06673728813559322,0.6048728813559322,59.0,,0.5694117647058824,0.5537190082644629,0.5390625,1.5363128491620113,180,0.6222222222222222,
2000,SF,1000,16,0.09931081600452132,0.43,5.961,0.1,0.648,62.5,,0.6268656716417911,0.5956354300385109,0.6125,2.0662983425414363,183,0.6129032258064516,
2000,TB,940,16,-0.02329572791234986,0.39574468085106385,4.8138297872340425,0.07765957446808511,0.5457446808510639,58.75,,0.5253164556962026,0.4801641586867305,0.4411764705882353,1.7777777777777777,192,0.5918367346938775,
2000,TEN,1021,16,-0.04020232624461111,0.395690499510284,5.095004897159647,0.08031341821743389,0.5122428991185113,63.8125,,0.5183044315992292,0.4369426751592357,0.44966442953020136,1.5729166666666667,193,0.47368421052631576,
2000,WAS,1017,16,-0.02314448987182137,0.4110127826941986,5.2507374631268435,0.0855457227138643,0.5860373647984267,63.5625,,0.5757009345794393,0.5275689223057645,0.40145985401459855,1.486910994764398,195,0.5102040816326531,
2001,ARI,952,16,-0.03518877447276246,0.38865546218487396,5.151260504201681,0.08823529411764706,0.6050420168067226,59.5,,0.5359342915811088,0.5413839891451832,0.5,1.4388888888888889,180,0.45454545454545453,
2001,ATL,987,16,-0.06768064902105969,0.38703140830800403,5.137791286727457,0.08915906788247213,0.5866261398176292,61.6875,,0.5218253968253969,0.5312084993359893,0.4296875,1.5133689839572193,187,0.44,
2001,BAL,1077,16,-0.11656397354985307,0.38347260909935005,4.757660167130919,0.0882079851439183,0.5608170844939647,67.3125,,0.5293005671077504,0.4856115107913669,0.38235294117647056,1.4504950495049505,202,0.44642857142857145,
2001,BUF,1008,16,-0.07204077763938915,0.38591269841269843,5.096230158730159,0.07837301587301587,0.6299603174603174,63.0,,0.527542372881356,0.5501955671447197,0.638095238095238,1.3135135135135134,185,0.5,
2001,CAR,963,16,-0.2097777980301019,0.35202492211838005,4.419522326064382,0.07372793354101766,0.6573208722741433,60.1875,,0.6,0.5975103734439834,0.553030303030303,1.1111111111111112,198,0.5,
2001,CHI,1015,16,-0.06946441432550318,0.3891625615763547,4.626600985221675,0.07881773399014778,0.5379310344827586,63.4375,,0.5659655831739961,0.4669260700389105,0.5666666666666667,1.5384615384615385,195,0.46511627906976744,
2001,CIN,1071,16,-0.09792548748698869,0.38375350140056025,4.481792717086835,0.0718954248366013,0.6003734827264239,66.9375,,0.5384615384615384,0.5341614906832298,0.5555555555555556,1.0769230769230769,195,0.4318181818181818,
2001,CLE,934,16,-0.12988898458197712,0.35867237687366166,4.445396145610278,0.07387580299785867,0.576017130620985,58.375,,0.5726315789473684,0.5063291139240507,0.5625,1.3010204081632653,196,0.43478260869565216,
2001,DAL,950,16,-0.13976292790277844,0.3568421052631579,4.633684210526316,0.10421052631578948,0.4863157894736842,59.375,,0.4444444444444444,0.41307371349095967,0.4444444444444444,1.1702127659574468,188,0.3469387755102041,
2001,DEN,1034,16,-0.050541359023215056,0.41876208897485495,4.658607350096712,0.06479690522243714,0.5599613152804642,64.625,,0.5318275154004107,0.5118012422360249,0.47468354430379744,1.6615384615384616,195,0.5178571428571429,
2001,DET,1025,16,-0.13076847572423594,0.3795121951219512,4.873170731707317,0.08195121951219513,0.6848780487804879,64.0625,,0.5949367088607594,0.631578947368421,0.5867768595041323,1.2925531914893618,188,0.5714285714285714,
2001,GB,940,16,0.03286411272583328,0.4117021276595745,5.8138297872340425,0.09893617021276596,0.575531914893617,58.75,,0.5807860262008734,0.519674355495251,0.5581395348837209,1.8963730569948187,193,0.5510204081632653,
