season,team,prior_qb_id,prior_qb_epa_play,prior_qb_cpoe,qb_returns,ret_qb_attempt_share,ret_rb_carry_share,ret_wrte_target_share,relocated,vacated_rush_share,vacated_target_share,ret_skill_fantasy_share,prior_epa_play,prior_success_rate,prior_points_per_drive,prior_plays,prior_pass_rate,prior_ol_sack_rate
2021,ATL,00-0026143,0.08764774869211357,1.232825204804169,1.0,1.0,0.4613259668508287,1.0,0.0,0.5386740331491713,0.0,0.7306629834254144,0.0215659012014187,0.4324577861163227,2.380952380952381,1066.0,0.6416510318949343,0.0611028315946348
2021,BAL,00-0034796,0.1391562316176703,1.0266599453185214,1.0,0.960919540229885,1.0,0.9575757575757575,0.0,0.0,0.042424242424242475,0.9787878787878788,0.1180314410962638,0.4564994882292733,2.7425149700598803,977.0,0.4964176049129989,0.073394495412844
2021,BUF,00-0034857,0.26797308936361136,6.593045333984994,1.0,1.0,0.9655172413793104,1.0,0.0,0.03448275862068961,0.0,0.9827586206896552,0.1652329732249082,0.5029821073558648,3.106918238993711,1006.0,0.6481113320079522,0.0432692307692307
2021,CAR,00-0031237,0.05557675918702553,4.038647408170233,1.0,1.0,1.0,0.9854368932038835,0.0,0.0,0.014563106796116498,0.9927184466019418,0.0035073295598068,0.45,2.367741935483871,980.0,0.6346938775510204,0.0614334470989761
2021,CHI,00-0029567,-0.1349518846790033,1.66319087396896,1.0,0.9938271604938271,1.0,0.9626556016597511,0.0,0.0,0.03734439834024894,0.9813278008298756,-0.0286893394259573,0.4354995150339476,2.198830409356725,1031.0,0.6479146459747818,0.0553846153846153
2021,CIN,00-0036442,0.07909284767647888,2.100735074099229,1.0,0.9345047923322684,1.0,1.0,0.0,0.0,0.0,1.0,-0.0487980128057282,0.4359223300970873,1.976744186046512,1030.0,0.6300970873786408,0.0766773162939297
2021,CLE,00-0034855,0.15445853507298446,2.796528555831109,1.0,1.0,0.9790697674418605,0.9948186528497409,0.0,0.020930232558139528,0.005181347150259086,0.9869442101458007,0.0871589834025992,0.4656031904287138,2.59748427672956,1003.0,0.5453639082751744,0.0497131931166348
2021,DAL,00-0027973,-0.04259713221427842,-0.4074783820026326,1.0,0.9985294117647059,1.0,1.0,0.0,0.0,0.0,1.0,-0.0407902287288173,0.4561085972850678,2.335227272727273,1105.0,0.6389140271493212,0.064516129032258
2021,DEN,00-0035704,-0.10042353293854317,-5.543332781310372,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.1038848686668666,0.3877952755905511,1.9672131147540983,1016.0,0.6013779527559056,0.05414551607445
2021,DET,00-0026498,0.09988281025347116,-1.0241450924499362,1.0,1.0,0.3560371517027864,0.9292035398230089,0.0,0.6439628482972136,0.07079646017699115,0.6426203457628976,-0.0049676915653407,0.4427402862985685,2.458333333333333,978.0,0.6492842535787321,0.0677419354838709
