season,team,week,plays,games,epa_sum,epa_n,succ_sum,succ_n,yds_sum,yds_n,expl_sum,expl_n,pass_sum,neu_pass,neu_n,ear_pass,ear_n,rz_pass,rz_n,proe_sum,proe_n,adot_sum,adot_n,gap_sum,gap_n,drive_pts,drives,rz_td,rz_drives,car_tot,car_RB,car_WR,car_TE,car_QB,tgt_tot,tgt_RB,tgt_WR,tgt_TE,tgt_QB,rzo_tot,rzo_RB,rzo_WR,rzo_TE,rzo_QB
2013,ATL,17,68,1,-4.811569179705659,68,27.0,68,308.0,68,6.0,68,49.0,29.0,40.0,34.0,51,7.0,8.0,411.66757494211197,68,295.0,40,1631.0,54,27.0,11,1.0,3.0,19,13,0.0,0.0,1.0,40,8.0,26,4.0,0.0,5.0,3.0,1.0,0.0,0.0
2013,BAL,1,87,1,-3.0334576442054892,87,30.0,87,393.0,87,8.0,87,66.0,26.0,41.0,44.0,64,10.0,14.0,684.4970315694809,87,511.0,62,1654.0,70,27.0,17,3.0,5.0,21,21,0.0,0.0,0.0,61,12.0,28,17.0,0.0,14.0,7.0,3.0,2.0,0.0
2013,BAL,2,68,1,-0.6501058234776149,68,28.0,68,299.0,68,4.0,68,36.0,23.0,41.0,21.0,52,1.0,4.0,-333.2160409539938,68,303.0,33,1481.0,56,20.0,12,2.0,2.0,33,32,0.0,0.0,1.0,33,4.0,24,3.0,0.0,4.0,3.0,1.0,0.0,0.0
2013,BAL,3,57,1,0.7595980072680142,57,19.0,57,236.0,57,5.0,57,26.0,13.0,22.0,14.0,41,2.0,6.0,-13.554524630308151,57,177.0,24,1516.0,49,16.0,8,1.0,2.0,31,28,0.0,0.0,0.0,24,2.0,13,7.0,0.0,6.0,4.0,1.0,1.0,0.0
2013,BAL,4,63,1,-16.71020632887825,63,17.0,63,345.0,63,7.0,63,54.0,18.0,23.0,37.0,46,9.0,10.0,925.383049249649,63,632.0,50,1098.0,46,20.0,17,1.0,4.0,9,9,0.0,0.0,0.0,49,2.0,33,12.0,0.0,8.0,3.0,3.0,1.0,0.0
2013,BAL,5,73,1,-2.1640991624050336,73,31.0,73,385.0,73,5.0,73,35.0,24.0,51.0,22.0,57,4.0,8.0,-566.6540786623955,73,314.0,32,1878.0,59,33.0,14,2.0,3.0,39,38,0.0,0.0,1.0,32,7.0,21,2.0,0.0,8.0,5.0,3.0,0.0,0.0
2013,BAL,6,61,1,-8.692350423058143,61,17.0,61,360.0,61,8.0,61,40.0,26.0,40.0,27.0,45,6.0,11.0,-144.0007597208023,61,342.0,34,1200.0,45,17.0,14,2.0,4.0,22,20,1.0,0.0,1.0,34,6.0,19,7.0,0.0,11.0,5.0,4.0,1.0,1.0
2013,BAL,7,61,1,8.127739748005641,61,27.0,61,287.0,61,3.0,61,36.0,19.0,35.0,24.0,46,6.0,12.0,33.05257856845856,61,280.0,34,1481.0,53,16.0,7,1.0,3.0,26,21,0.0,0.0,2.0,34,6.0,21,6.0,0.0,12.0,4.0,3.0,2.0,1.0
2013,BAL,9,67,1,-2.984521526298167,67,23.0,67,278.0,67,2.0,67,48.0,21.0,30.0,34.0,50,5.0,6.0,334.17335748672485,67,414.0,40,1428.0,54,17.0,12,2.0,2.0,21,17,0.0,0.0,3.0,41,4.0,33,4.0,0.0,6.0,0.0,5.0,0.0,0.0
2013,BAL,10,71,1,-21.622170758954347,71,20.0,71,189.0,71,1.0,71,42.0,5.0,10.0,28.0,55,4.0,7.0,577.2934705018997,71,326.0,36,1476.0,56,20.0,15,2.0,3.0,30,26,0.0,0.0,2.0,36,9.0,21,6.0,0.0,7.0,2.0,3.0,1.0,0.0
2013,BAL,11,75,1,-5.104785359121517,75,30.0,75,317.0,75,3.0,75,38.0,21.0,44.0,22.0,55,3.0,10.0,-458.57448130846024,75,205.0,31,1928.0,64,27.0,11,2.0,3.0,41,35,1.0,0.0,4.0,31,5.0,18,7.0,0.0,10.0,7.0,2.0,1.0,0.0
2013,BAL,12,62,1,-9.377339094482048,62,19.0,62,312.0,62,5.0,62,31.0,21.0,37.0,21.0,49,5.0,8.0,102.605040371418,62,304.0,27,1565.0,48,19.0,13,0.0,3.0,31,27,0.0,0.0,4.0,27,1.0,15,9.0,1.0,8.0,4.0,3.0,1.0,0.0
2013,BAL,13,59,1,4.215716348644988,59,20.0,59,313.0,59,4.0,59,38.0,8.0,13.0,26.0,43,5.0,9.0,327.93854773044586,59,320.0,35,1513.0,50,22.0,8,1.0,3.0,22,21,0.0,0.0,1.0,35,10.0,21,4.0,0.0,8.0,6.0,2.0,0.0,0.0
2013,BAL,14,78,1,-12.64027326242649,78,32.0,78,325.0,78,4.0,78,52.0,27.0,43.0,34.0,59,6.0,11.0,308.90195816755295,78,418.0,49,1543.0,59,21.0,15,3.0,3.0,27,24,1.0,0.0,1.0,49,7.0,24,16.0,0.0,11.0,5.0,1.0,4.0,0.0
2013,BAL,15,60,1,-7.426905812648695,60,18.0,60,305.0,60,9.0,60,41.0,23.0,38.0,29.0,46,5.0,7.0,298.5672026872635,60,435.0,38,1314.0,47,18.0,12,0.0,3.0,21,19,0.0,0.0,2.0,38,4.0,27,7.0,0.0,7.0,4.0,3.0,0.0,0.0
2013,BAL,16,73,1,-29.16163403522979,73,28.0,73,359.0,73,3.0,73,48.0,5.0,10.0,32.0,56,3.0,8.0,-79.38228994607925,73,417.0,42,1404.0,59,24.0,14,1.0,3.0,27,23,0.0,0.0,4.0,42,9.0,20,12.0,0.0,8.0,5.0,0.0,2.0,1.0
2013,BAL,17,66,1,-21.47303320799717,66,25.0,66,222.0,66,1.0,66,52.0,18.0,30.0,37.0,49,9.0,12.0,654.6865716576576,66,383.0,50,1278.0,52,23.0,14,1.0,4.0,14,13,0.0,0.0,1.0,48,12.0,25,11.0,0.0,12.0,5.0,6.0,1.0,0.0
