season,posteam,drives,ppd_buggy,ppd_fixed,rz,rztd_buggy,rztd_fixed,ppd_delta,rz_rate_buggy,rz_rate_fixed,rz_delta,rank_buggy,rank_fixed,rank_moved
2018,LAC,174,2.6264367816091956,2.3448275862068964,72,51,48,-0.28160919540229923,0.7083333333333334,0.6666666666666666,-0.04166666666666674,4.0,5.0,1.0
2018,LV,181,1.7624309392265194,1.5303867403314917,53,30,28,-0.2320441988950277,0.5660377358490566,0.5283018867924528,-0.037735849056603765,28.0,28.0,0.0
2018,MIA,188,1.8138297872340425,1.553191489361702,53,37,33,-0.2606382978723405,0.6981132075471698,0.6226415094339622,-0.07547169811320753,26.0,27.0,1.0
2018,MIN,191,2.1047120418848166,1.774869109947644,66,42,39,-0.32984293193717273,0.6363636363636364,0.5909090909090909,-0.045454545454545414,18.0,24.0,6.0
2018,NE,188,2.367021276595745,2.25531914893617,76,51,48,-0.11170212765957466,0.6710526315789473,0.631578947368421,-0.03947368421052633,9.0,8.0,1.0
2018,NO,170,3.0058823529411764,2.9235294117647057,82,60,59,-0.08235294117647074,0.7317073170731707,0.7195121951219512,-0.012195121951219523,2.0,2.0,0.0
2018,NYG,184,2.0815217391304346,1.9293478260869565,68,39,36,-0.15217391304347805,0.5735294117647058,0.5294117647058824,-0.044117647058823484,19.0,18.0,1.0
2018,NYJ,205,1.751219512195122,1.5121951219512195,62,34,30,-0.23902439024390243,0.5483870967741935,0.4838709677419355,-0.06451612903225801,29.0,29.0,0.0
2018,PHI,176,2.1136363636363638,2.0738636363636362,66,41,41,-0.039772727272727515,0.6212121212121212,0.6212121212121212,0.0,16.0,12.0,4.0
2018,PIT,188,2.377659574468085,2.1914893617021276,70,55,52,-0.18617021276595747,0.7857142857142857,0.7428571428571429,-0.042857142857142816,8.0,10.0,2.0
2018,SEA,183,2.4644808743169397,2.273224043715847,73,52,50,-0.1912568306010929,0.7123287671232876,0.684931506849315,-0.0273972602739726,7.0,7.0,0.0
2018,SF,183,2.0382513661202184,1.8469945355191257,67,36,34,-0.19125683060109266,0.5373134328358209,0.5074626865671642,-0.02985074626865669,22.0,20.0,2.0
2018,TB,188,2.2819148936170213,2.095744680851064,76,49,48,-0.18617021276595747,0.6447368421052632,0.631578947368421,-0.013157894736842146,11.0,11.0,0.0
2018,TEN,169,1.9112426035502958,1.78698224852071,57,33,32,-0.12426035502958577,0.5789473684210527,0.5614035087719298,-0.01754385964912286,23.0,23.0,0.0
2018,WAS,174,1.7758620689655173,1.5747126436781609,50,30,28,-0.20114942528735646,0.6,0.56,-0.039999999999999925,27.0,26.0,1.0
2022,ARI,192,1.8229166666666667,1.6041666666666667,56,36,32,-0.21875,0.6428571428571429,0.5714285714285714,-0.07142857142857151,24.0,25.0,1.0
2022,ATL,174,2.0804597701149423,1.9597701149425288,64,38,35,-0.12068965517241348,0.59375,0.546875,-0.046875,14.0,15.0,1.0
2022,BAL,184,1.934782608695652,1.8967391304347827,66,34,34,-0.0380434782608694,0.5151515151515151,0.5151515151515151,0.0,19.0,17.0,2.0
2022,BUF,174,2.6264367816091956,2.545977011494253,86,53,52,-0.08045977011494276,0.6162790697674418,0.6046511627906976,-0.011627906976744207,3.0,2.0,1.0
2022,CAR,194,1.8969072164948453,1.7164948453608246,56,35,32,-0.18041237113402064,0.625,0.5714285714285714,-0.0535714285714286,21.0,20.0,1.0
2022,CHI,181,1.9613259668508287,1.8453038674033149,61,37,37,-0.11602209944751385,0.6065573770491803,0.6065573770491803,0.0,18.0,19.0,1.0
2022,CIN,179,2.435754189944134,2.3184357541899443,70,50,49,-0.11731843575418965,0.7142857142857143,0.7,-0.014285714285714346,7.0,5.0,2.0
2022,CLE,185,2.0054054054054054,1.854054054054054,68,41,38,-0.15135135135135136,0.6029411764705882,0.5588235294117647,-0.044117647058823484,17.0,18.0,1.0
2022,DAL,198,2.48989898989899,2.2777777777777777,72,55,52,-0.21212121212121238,0.7638888888888888,0.7222222222222222,-0.04166666666666663,5.0,6.0,1.0
2022,DEN,201,1.5472636815920398,1.4427860696517414,47,29,29,-0.10447761194029836,0.6170212765957447,0.6170212765957447,0.0,32.0,30.0,2.0
2022,DET,181,2.591160220994475,2.3977900552486187,79,54,52,-0.19337016574585641,0.6835443037974683,0.6582278481012658,-0.025316455696202556,4.0,4.0,0.0
2022,GB,181,2.116022099447514,1.9613259668508287,71,42,40,-0.15469613259668513,0.5915492957746479,0.5633802816901409,-0.028169014084507005,13.0,14.0,1.0
2022,HOU,200,1.73,1.415,55,29,28,-0.31499999999999995,0.5272727272727272,0.509090909090909,-0.018181818181818188,25.0,31.0,6.0
2022,IND,200,1.65,1.37,55,28,25,-0.2799999999999998,0.509090909090909,0.45454545454545453,-0.05454545454545451,29.0,32.0,3.0
2022,JAX,186,2.1774193548387095,2.0268817204301075,72,44,41,-0.15053763440860202,0.6111111111111112,0.5694444444444444,-0.04166666666666674,12.0,12.0,0.0
2022,KC,184,2.7119565217391304,2.635869565217391,83,60,58,-0.07608695652173925,0.7228915662650602,0.6987951807228916,-0.02409638554216864,1.0,1.0,0.0
2022,LA,179,1.8659217877094971,1.670391061452514,52,32,31,-0.1955307262569832,0.6153846153846154,0.5961538461538461,-0.019230769230769273,23.0,22.0,1.0
2022,LAC,191,2.0785340314136125,2.005235602094241,73,43,41,-0.07329842931937147,0.589041095890411,0.5616438356164384,-0.0273972602739726,15.0,13.0,2.0
2022,LV,177,2.3954802259887007,2.15819209039548,66,40,38,-0.2372881355932206,0.6060606060606061,0.5757575757575758,-0.030303030303030276,8.0,8.0,0.0
2022,MIA,184,2.2282608695652173,2.0380434782608696,66,46,43,-0.19021739130434767,0.696969696969697,0.6515151515151515,-0.045454545454545525,9.0,11.0,2.0
2022,MIN,203,2.2118226600985222,2.0738916256157633,75,50,49,-0.1379310344827589,0.6666666666666666,0.6533333333333333,-0.013333333333333308,11.0,9.0,2.0
2022,NE,200,1.915,1.565,65,39,31,-0.3500000000000001,0.6,0.47692307692307695,-0.12307692307692303,20.0,26.0,6.0
2022,NO,188,1.8936170212765957,1.7074468085106382,63,37,36,-0.18617021276595747,0.5873015873015873,0.5714285714285714,-0.015873015873015928,22.0,21.0,1.0
2022,NYG,182,2.0054945054945055,1.9285714285714286,58,40,38,-0.07692307692307687,0.6896551724137931,0.6551724137931034,-0.034482758620689724,16.0,16.0,0.0
2022,NYJ,196,1.5561224489795917,1.4489795918367347,58,29,28,-0.10714285714285698,0.5,0.4827586206896552,-0.017241379310344807,31.0,29.0,2.0
2022,PHI,188,2.648936170212766,2.4627659574468086,81,59,57,-0.18617021276595747,0.7283950617283951,0.7037037037037037,-0.024691358024691357,2.0,3.0,1.0
2022,PIT,183,1.7049180327868851,1.6284153005464481,55,29,28,-0.07650273224043702,0.5272727272727272,0.509090909090909,-0.018181818181818188,26.0,23.0,3.0
2022,SEA,190,2.221052631578947,2.0736842105263156,75,44,42,-0.1473684210526316,0.5866666666666667,0.56,-0.026666666666666616,10.0,10.0,0.0
2022,SF,189,2.4444444444444446,2.259259259259259,84,54,50,-0.18518518518518556,0.6428571428571429,0.5952380952380952,-0.04761904761904767,6.0,7.0,1.0
2022,TB,196,1.653061224489796,1.6173469387755102,60,32,31,-0.03571428571428581,0.5333333333333333,0.5166666666666667,-0.016666666666666607,28.0,24.0,4.0
2022,TEN,192,1.625,1.515625,53,34,33,-0.109375,0.6415094339622641,0.6226415094339622,-0.018867924528301883,30.0,28.0,2.0
2022,WAS,199,1.6683417085427135,1.5276381909547738,59,35,33,-0.14070351758793964,0.5932203389830508,0.559322033898305,-0.03389830508474578,27.0,27.0,0.0
2025,ARI,177,2.1412429378531073,1.9435028248587571,70,40,38,-0.19774011299435013,0.5714285714285714,0.5428571428571428,-0.02857142857142858,21.0,24.0,3.0
2025,ATL,187,2.0106951871657754,1.86096256684492,58,38,36,-0.14973262032085555,0.6551724137931034,0.6206896551724138,-0.03448275862068961,25.0,25.0,0.0
2025,BAL,180,2.4055555555555554,2.2888888888888888,79,48,46,-0.1166666666666667,0.6075949367088608,0.5822784810126582,-0.025316455696202556,11.0,11.0,0.0
2025,BUF,177,2.774011299435028,2.694915254237288,85,62,60,-0.07909604519774005,0.7294117647058823,0.7058823529411765,-0.0235294117647058,4.0,3.0,1.0
2025,CAR,168,1.9702380952380953,1.8035714285714286,57,34,33,-0.16666666666666674,0.5964912280701754,0.5789473684210527,-0.01754385964912275,27.0,26.0,1.0
2025,CHI,190,2.4,2.289473684210526,72,48,46,-0.1105263157894738,0.6666666666666666,0.6388888888888888,-0.02777777777777779,12.0,10.0,2.0
