season,team,person_id,role,games,team_games,exposure
2020,BUF,brian_daboll,caller,16,16,1.0
2020,CAR,joe_brady,caller,16,16,1.0
2020,CHI,bill_lazor,caller,6,16,0.375
2020,CHI,matt_nagy,caller,10,16,0.625
2020,CIN,zac_taylor,caller,16,16,1.0
2020,CLE,kevin_stefanski,caller,16,16,1.0
2020,DAL,kellen_moore,caller,16,16,1.0
2020,DEN,pat_shurmur,caller,16,16,1.0
2020,DET,darrell_bevell,caller,16,16,1.0
2020,GB,matt_lafleur,caller,16,16,1.0
2020,HOU,tim_kelly,caller,16,16,1.0
2020,IND,frank_reich,caller,16,16,1.0
2020,JAX,jay_gruden,caller,16,16,1.0
2020,KC,andy_reid,caller,16,16,1.0
2020,LA,sean_mcvay,caller,16,16,1.0
2020,LAC,shane_steichen,caller,16,16,1.0
2020,LV,jon_gruden,caller,16,16,1.0
2020,MIA,chan_gailey,caller,16,16,1.0
2020,MIN,gary_kubiak,caller,16,16,1.0
2020,NE,josh_mcdaniels,caller,16,16,1.0
2020,NO,sean_payton,caller,16,16,1.0
2020,NYG,jason_garrett,caller,16,16,1.0
2020,NYJ,adam_gase,caller,16,16,1.0
2020,PHI,doug_pederson,caller,16,16,1.0
2020,PIT,randy_fichtner,caller,16,16,1.0
2020,SEA,brian_schottenheimer,caller,16,16,1.0
2020,SF,kyle_shanahan,caller,16,16,1.0
2020,TB,byron_leftwich,caller,16,16,1.0
2020,TEN,arthur_smith,caller,16,16,1.0
2020,WAS,scott_turner,caller,16,16,1.0
2021,ARI,kliff_kingsbury,caller,17,17,1.0
2021,ATL,arthur_smith,caller,17,17,1.0
2021,BAL,greg_roman,caller,17,17,1.0
2021,BUF,brian_daboll,caller,17,17,1.0
2021,CAR,joe_brady,caller,17,17,1.0
2021,CHI,matt_nagy,caller,17,17,1.0
2021,CIN,zac_taylor,caller,17,17,1.0
2021,CLE,kevin_stefanski,caller,17,17,1.0
2021,DAL,kellen_moore,caller,17,17,1.0
2021,DEN,pat_shurmur,caller,17,17,1.0
2021,GB,matt_lafleur,caller,17,17,1.0
2021,HOU,tim_kelly,caller,17,17,1.0
2021,IND,frank_reich,caller,17,17,1.0
2021,JAX,darrell_bevell,caller,17,17,1.0
2021,KC,andy_reid,caller,17,17,1.0
2021,LA,sean_mcvay,caller,17,17,1.0
2021,LAC,joe_lombardi,caller,17,17,1.0
2021,LV,jon_gruden,caller,17,17,1.0
2021,MIN,klint_kubiak,caller,17,17,1.0
2021,NE,josh_mcdaniels,caller,17,17,1.0
2021,NO,sean_payton,caller,17,17,1.0
2021,NYG,jason_garrett,caller,17,17,1.0
2021,NYJ,mike_lafleur,caller,17,17,1.0
2021,PHI,nick_sirianni,caller,17,17,1.0
2021,PIT,matt_canada,caller,17,17,1.0
2021,SEA,shane_waldron,caller,17,17,1.0
2021,SF,kyle_shanahan,caller,17,17,1.0
2021,TB,byron_leftwich,caller,17,17,1.0
2021,TEN,todd_downing,caller,17,17,1.0
2021,WAS,scott_turner,caller,17,17,1.0
2022,ARI,kliff_kingsbury,caller,17,17,1.0
2022,ATL,arthur_smith,caller,17,17,1.0
2022,BAL,greg_roman,caller,17,17,1.0
2022,BUF,ken_dorsey,caller,16,16,1.0
2022,CAR,ben_mcadoo,caller,17,17,1.0
2022,CHI,luke_getsy,caller,17,17,1.0
2022,CIN,zac_taylor,caller,16,16,1.0
2022,CLE,kevin_stefanski,caller,17,17,1.0
2022,DAL,kellen_moore,caller,17,17,1.0
2022,DEN,nathaniel_hackett,caller,17,17,1.0
2022,DET,ben_johnson,caller,17,17,1.0
2022,GB,matt_lafleur,caller,17,17,1.0
2022,HOU,pep_hamilton,caller,17,17,1.0
2022,IND,frank_reich,caller,17,17,1.0
2022,JAX,doug_pederson,caller,17,17,1.0
2022,KC,andy_reid,caller,17,17,1.0
2022,LA,sean_mcvay,caller,17,17,1.0
2022,LAC,joe_lombardi,caller,17,17,1.0
2022,LV,josh_mcdaniels,caller,17,17,1.0
2022,MIA,mike_mcdaniel,caller,17,17,1.0
2022,MIN,kevin_oconnell,caller,17,17,1.0
2022,NO,pete_carmichael,caller,17,17,1.0
2022,NYG,mike_kafka,caller,17,17,1.0
2022,NYJ,mike_lafleur,caller,17,17,1.0
2022,PIT,matt_canada,caller,17,17,1.0
2022,SEA,shane_waldron,caller,17,17,1.0
2022,SF,kyle_shanahan,caller,17,17,1.0
2022,TB,byron_leftwich,caller,17,17,1.0
2022,TEN,todd_downing,caller,17,17,1.0
2022,WAS,scott_turner,caller,17,17,1.0
2023,ARI,drew_petzing,caller,17,17,1.0
2023,ATL,arthur_smith,caller,17,17,1.0
2023,BAL,todd_monken,caller,17,17,1.0
2023,BUF,ken_dorsey,caller,17,17,1.0
2023,CAR,frank_reich,caller,17,17,1.0
2023,CHI,luke_getsy,caller,17,17,1.0
2023,CIN,zac_taylor,caller,17,17,1.0
2023,CLE,kevin_stefanski,caller,17,17,1.0
2023,DAL,mike_mccarthy,caller,17,17,1.0
2023,DEN,sean_payton,caller,17,17,1.0
2023,DET,ben_johnson,caller,17,17,1.0
2023,GB,matt_lafleur,caller,17,17,1.0
2023,HOU,bobby_slowik,caller,17,17,1.0
2023,IND,shane_steichen,caller,17,17,1.0
2023,JAX,doug_pederson,caller,17,17,1.0
2023,KC,andy_reid,caller,17,17,1.0
2023,LA,sean_mcvay,caller,17,17,1.0
2023,LAC,kellen_moore,caller,17,17,1.0
2023,LV,josh_mcdaniels,caller,17,17,1.0
2023,MIA,mike_mcdaniel,caller,17,17,1.0
