season,week,team,head_coach,game_id
1999,12,MIN,Dennis Green,1999_12_SD_MIN
1999,12,NE,Pete Carroll,1999_12_NE_BUF
1999,12,NO,Mike Ditka,1999_12_NO_STL
1999,12,NYG,Jim Fassel,1999_12_ARI_NYG
1999,12,NYJ,Bill Parcells,1999_12_NYJ_IND
1999,12,PHI,Andy Reid,1999_12_PHI_WAS
1999,12,PIT,Bill Cowher,1999_12_CIN_PIT
1999,12,SEA,Mike Holmgren,1999_12_TB_SEA
1999,12,SF,Steve Mariucci,1999_12_GB_SF
1999,12,TB,Tony Dungy,1999_12_TB_SEA
1999,12,TEN,Jeff Fisher,1999_12_TEN_CLE
1999,12,WAS,Norv Turner,1999_12_PHI_WAS
1999,13,ARI,Vince Tobin,1999_13_PHI_ARI
1999,13,ATL,Dan Reeves,1999_13_NO_ATL
1999,13,BAL,Brian Billick,1999_13_TEN_BAL
1999,13,CAR,George Seifert,1999_13_STL_CAR
1999,13,CHI,Dick Jauron,1999_13_GB_CHI
1999,13,CIN,Bruce Coslet,1999_13_SF_CIN
1999,13,CLE,Chris Palmer,1999_13_CLE_SD
1999,13,DAL,Chan Gailey,1999_13_DAL_NE
1999,13,DEN,Mike Shanahan,1999_13_KC_DEN
1999,13,DET,Bobby Ross,1999_13_WAS_DET
1999,13,GB,Ray Rhodes,1999_13_GB_CHI
1999,13,IND,Jim Mora,1999_13_IND_MIA
1999,13,JAX,Tom Coughlin,1999_13_PIT_JAX
1999,13,KC,Gunther Cunningham,1999_13_KC_DEN
1999,13,LA,Dick Vermeil,1999_13_STL_CAR
1999,13,LAC,Mike Riley,1999_13_CLE_SD
1999,13,LV,Jon Gruden,1999_13_SEA_OAK
1999,13,MIA,Jimmy Johnson,1999_13_IND_MIA
1999,13,MIN,Dennis Green,1999_13_MIN_TB
1999,13,NE,Pete Carroll,1999_13_DAL_NE
1999,13,NO,Mike Ditka,1999_13_NO_ATL
1999,13,NYG,Jim Fassel,1999_13_NYJ_NYG
1999,13,NYJ,Bill Parcells,1999_13_NYJ_NYG
1999,13,PHI,Andy Reid,1999_13_PHI_ARI
1999,13,PIT,Bill Cowher,1999_13_PIT_JAX
1999,13,SEA,Mike Holmgren,1999_13_SEA_OAK
1999,13,SF,Steve Mariucci,1999_13_SF_CIN
1999,13,TB,Tony Dungy,1999_13_MIN_TB
1999,13,TEN,Jeff Fisher,1999_13_TEN_BAL
1999,13,WAS,Norv Turner,1999_13_WAS_DET
1999,14,ARI,Vince Tobin,1999_14_ARI_WAS
1999,14,ATL,Dan Reeves,1999_14_ATL_SF
1999,14,BAL,Brian Billick,1999_14_BAL_PIT
1999,14,BUF,Wade Phillips,1999_14_NYG_BUF
1999,14,CAR,George Seifert,1999_14_CAR_GB
1999,14,CIN,Bruce Coslet,1999_14_CLE_CIN
1999,14,CLE,Chris Palmer,1999_14_CLE_CIN
1999,14,DAL,Chan Gailey,1999_14_PHI_DAL
1999,14,DEN,Mike Shanahan,1999_14_DEN_JAX
1999,14,DET,Bobby Ross,1999_14_DET_TB
1999,14,GB,Ray Rhodes,1999_14_CAR_GB
1999,14,IND,Jim Mora,1999_14_NE_IND
1999,14,JAX,Tom Coughlin,1999_14_DEN_JAX
1999,14,KC,Gunther Cunningham,1999_14_MIN_KC
1999,14,LA,Dick Vermeil,1999_14_STL_NO
1999,14,LAC,Mike Riley,1999_14_SD_SEA
1999,14,LV,Jon Gruden,1999_14_OAK_TEN
1999,14,MIA,Jimmy Johnson,1999_14_MIA_NYJ
1999,14,MIN,Dennis Green,1999_14_MIN_KC
1999,14,NE,Pete Carroll,1999_14_NE_IND
1999,14,NO,Mike Ditka,1999_14_STL_NO
1999,14,NYG,Jim Fassel,1999_14_NYG_BUF
1999,14,NYJ,Bill Parcells,1999_14_MIA_NYJ
1999,14,PHI,Andy Reid,1999_14_PHI_DAL
1999,14,PIT,Bill Cowher,1999_14_BAL_PIT
1999,14,SEA,Mike Holmgren,1999_14_SD_SEA
1999,14,SF,Steve Mariucci,1999_14_ATL_SF
1999,14,TB,Tony Dungy,1999_14_DET_TB
1999,14,TEN,Jeff Fisher,1999_14_OAK_TEN
1999,14,WAS,Norv Turner,1999_14_ARI_WAS
1999,15,ARI,Vince Tobin,1999_15_BUF_ARI
1999,15,ATL,Dan Reeves,1999_15_ATL_TEN
1999,15,BAL,Brian Billick,1999_15_NO_BAL
1999,15,BUF,Wade Phillips,1999_15_BUF_ARI
1999,15,CAR,George Seifert,1999_15_SF_CAR
1999,15,CHI,Dick Jauron,1999_15_DET_CHI
1999,15,CLE,Chris Palmer,1999_15_JAX_CLE
1999,15,DAL,Chan Gailey,1999_15_NYJ_DAL
1999,15,DEN,Mike Shanahan,1999_15_SEA_DEN
1999,15,DET,Bobby Ross,1999_15_DET_CHI
1999,15,GB,Ray Rhodes,1999_15_GB_MIN
1999,15,IND,Jim Mora,1999_15_WAS_IND
1999,15,JAX,Tom Coughlin,1999_15_JAX_CLE
1999,15,KC,Gunther Cunningham,1999_15_PIT_KC
1999,15,LA,Dick Vermeil,1999_15_NYG_STL
1999,15,LAC,Mike Riley,1999_15_SD_MIA
1999,15,LV,Jon Gruden,1999_15_TB_OAK
1999,15,MIA,Jimmy Johnson,1999_15_SD_MIA
1999,15,MIN,Dennis Green,1999_15_GB_MIN
1999,15,NE,Pete Carroll,1999_15_NE_PHI
1999,15,NO,Mike Ditka,1999_15_NO_BAL
1999,15,NYG,Jim Fassel,1999_15_NYG_STL
1999,15,NYJ,Bill Parcells,1999_15_NYJ_DAL
1999,15,PHI,Andy Reid,1999_15_NE_PHI
1999,15,PIT,Bill Cowher,1999_15_PIT_KC
1999,15,SEA,Mike Holmgren,1999_15_SEA_DEN
1999,15,SF,Steve Mariucci,1999_15_SF_CAR
1999,15,TB,Tony Dungy,1999_15_TB_OAK
1999,15,TEN,Jeff Fisher,1999_15_ATL_TEN
1999,15,WAS,Norv Turner,1999_15_WAS_IND
1999,16,ARI,Vince Tobin,1999_16_ARI_ATL
1999,16,ATL,Dan Reeves,1999_16_ARI_ATL
1999,16,BAL,Brian Billick,1999_16_CIN_BAL
1999,16,BUF,Wade Phillips,1999_16_BUF_NE
1999,16,CAR,George Seifert,1999_16_CAR_PIT
1999,16,CHI,Dick Jauron,1999_16_CHI_STL
1999,16,CIN,Bruce Coslet,1999_16_CIN_BAL
1999,16,CLE,Chris Palmer,1999_16_IND_CLE
1999,16,DAL,Chan Gailey,1999_16_DAL_NO
1999,16,DEN,Mike Shanahan,1999_16_DEN_DET
