player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees
Davante Adams,WR,LA,140.2799277812428,20.0,26.0,6.0,,,,rookie,,12.0,33.686516084873375,27.0,0.0
Terry McLaurin,WR,WAS,88.0135684581588,54.0,27.0,-27.0,,,,,returning from injury,7.0,30.96235455167693,22.0,0.0
Carnell Tate,WR,TEN,54.58506947747021,58.0,28.0,-30.0,,,,,,0.0,,31.0,1.0
Christian Watson,WR,GB,92.57050059999135,49.0,29.0,-20.0,,,,,,4.0,27.307323750855577,25.0,0.0
Jordyn Tyson,WR,NO,49.89329076526192,61.0,30.0,-31.0,,,,,,0.0,,36.0,1.0
Brian Thomas Jr.,WR,JAX,143.89962529519318,18.0,31.0,13.0,BUY,HIGH,,,,2.0,23.89869952087611,32.0,0.0
DJ Moore,WR,BUF,102.99850056116827,41.0,32.0,-9.0,FADE,HIGH,age cliff,,,8.0,29.38261464750171,34.0,1.0
Alec Pierce,WR,IND,129.69665718140965,27.0,33.0,6.0,BUY,MEDIUM,,,,4.0,26.33264887063655,28.0,1.0
Parker Washington,WR,JAX,92.96098499851554,47.0,34.0,-13.0,,,,,,3.0,24.449007529089663,26.0,0.0
Courtland Sutton,WR,DEN,129.13381057514417,28.0,35.0,7.0,,,,new signing,,8.0,30.89390828199863,40.0,0.0
Marvin Harrison Jr.,WR,ARI,115.90530703734554,33.0,36.0,3.0,,,,,,2.0,24.057494866529773,35.0,1.0
DK Metcalf,WR,PIT,131.11684737542953,25.0,37.0,12.0,,,,new signing,,7.0,28.71457905544148,33.0,1.0
Michael Wilson,WR,ARI,108.50381560617879,36.0,38.0,2.0,,,,,,3.0,26.521560574948666,37.0,1.0
Makai Lemon,WR,PHI,64.36845287261939,57.0,39.0,-18.0,,,,,,0.0,,42.0,1.0
Jakobi Meyers,WR,JAX,108.07882868710544,37.0,40.0,3.0,,,,,,7.0,29.80971937029432,43.0,0.0
Ricky Pearsall,WR,SF,91.78096329338067,51.0,41.0,-10.0,,,,,,2.0,25.976728268309376,38.0,0.0
Chris Godwin Jr.,WR,TB,117.19958553125709,32.0,42.0,10.0,,,,,returning from injury,9.0,30.510609171800137,39.0,1.0
Michael Pittman,WR,PIT,114.9657510210787,34.0,43.0,9.0,,,,rookie,,6.0,28.90622861054073,50.0,0.0
Wan'Dale Robinson,WR,TEN,137.7891024801346,22.0,44.0,22.0,,,,returning starter,,4.0,25.65366187542779,54.0,0.0
Quentin Johnston,WR,LAC,130.26396481038674,26.0,45.0,19.0,BUY,HIGH,,,,3.0,24.985626283367555,46.0,0.0
Romeo Doubs,WR,NE,114.90822001062999,35.0,46.0,11.0,,,,new signing,,4.0,26.38466803559206,41.0,1.0
Jordan Addison,WR,MIN,118.39972110741742,30.0,47.0,17.0,,,,new signing,,3.0,24.594113620807665,47.0,0.0
Khalil Shakir,WR,BUF,101.58571272208786,44.0,48.0,4.0,,,,,,4.0,26.576317590691307,53.0,0.0
Travis Hunter,WR,JAX,104.52188441351926,40.0,49.0,9.0,,,,,returning from injury,1.0,23.290896646132783,61.0,0.0
K.C. Concepcion,WR,CLE,51.05711473309973,59.0,50.0,-9.0,,,,,,0.0,,56.0,1.0
Jalen Coker,WR,CAR,70.17430783885672,56.0,51.0,-5.0,,,,,,2.0,24.83778234086242,49.0,0.0
Josh Downs,WR,IND,97.25269076854597,45.0,52.0,7.0,BUY,MEDIUM,,,,3.0,25.05407255304586,52.0,0.0
Matthew Golden,WR,GB,91.20183175236996,53.0,53.0,0.0,,,,,,1.0,23.08555783709788,51.0,
Jayden Reed,WR,GB,92.61168471504358,48.0,54.0,6.0,,,,,returning from injury,3.0,26.34360027378508,44.0,1.0
Xavier Worthy,WR,KC,105.52754790065322,39.0,55.0,16.0,,,,returning starter,,2.0,23.34839151266256,48.0,1.0
Jauan Jennings,WR,MIN,95.94885524278106,46.0,56.0,10.0,BUY,HIGH,,,,5.0,29.144421629021217,59.0,0.0
Denzel Boston,WR,CLE,50.006422557557826,60.0,57.0,-3.0,,,,,,0.0,,57.0,0.0
Jayden Higgins,WR,HOU,91.47892972329012,52.0,58.0,6.0,BUY,MEDIUM,,,,1.0,23.71252566735113,45.0,1.0
Omar Cooper,WR,NYJ,42.547625841124976,63.0,59.0,-4.0,,,,,,0.0,,55.0,0.0
Antonio Williams,WR,WAS,44.34017986980801,62.0,60.0,-2.0,,,,,,0.0,,62.0,1.0
Jerry Jeudy,WR,CLE,92.34895107785931,50.0,61.0,11.0,,,,rookie,,6.0,27.35660506502396,60.0,1.0
Rashid Shaheed,WR,SEA,101.89022335768422,43.0,62.0,19.0,BUY,HIGH,,,,4.0,28.00273785078713,58.0,1.0
Adonai Mitchell,WR,NYJ,70.68335446504929,55.0,63.0,8.0,,,,returning starter,,2.0,23.89869952087611,63.0,0.0
