player_id,player,position,espn_id,espn_adp,espn_pos_rank,refreshed_at,adp_source,adp_matched
00-0039040,De'Von Achane,RB,4429160,13.11,6,2026-09-07,fresh,True
00-0032764,Derrick Henry,RB,3043078,16.47,8,2026-09-07,fresh,True
00-0040162,Dylan Sampson,RB,5081397,169.79,55,2026-09-07,fresh,True
JOH224817,Emmett Johnson,RB,4832955,169.92,56,2026-09-07,fresh,True
00-0037197,Isiah Pacheco,RB,4361529,166.3,51,2026-09-07,fresh,True
00-0036158,J.K. Dobbins,RB,4241985,111.33,34,2026-09-07,fresh,True
00-0040242,Jacory Croskey-Merritt,RB,4575131,137.11,41,2026-09-07,fresh,True
PRI206342,Jadarian Price,RB,4685512,65.72,24,2026-09-07,fresh,True
00-0039139,Jahmyr Gibbs,RB,4429795,1.32,1,2026-09-07,fresh,True
00-0033553,James Conner,RB,3045147,170.01,57,2026-09-07,fresh,True
00-0037248,James Cook,RB,4379399,10.08,5,2026-09-07,fresh,True
00-0036997,Javonte Williams,RB,4361579,32.37,14,2026-09-07,fresh,True
00-0037228,Jaylen Warren,RB,4569987,85.2,27,2026-09-07,fresh,True
LOV121782,Jeremiyah Love,RB,4870808,25.34,13,2026-09-07,fresh,True
COL293648,Jonah Coleman,RB,4702555,162.84,47,2026-09-07,fresh,True
00-0036223,Jonathan Taylor,RB,4242335,6.18,3,2026-09-07,fresh,True
00-0039344,Jonathon Brooks,RB,4678008,104.37,33,2026-09-07,fresh,True
00-0037525,Jordan Mason,RB,4360569,140.29,42,2026-09-07,fresh,True
00-0035700,Josh Jacobs,RB,4047365,100.45,31,2026-09-07,fresh,True
00-0038454,Keaton Mitchell,RB,4596334,169.43,53,2026-09-07,fresh,True
00-0038134,Kenneth Walker,RB,4567048,24.37,12,2026-09-07,fresh,True
00-0036919,Kenny Gainwell,RB,4371733,99.71,30,2026-09-07,fresh,True
00-0039391,Kimani Vidal,RB,4430968,171.0,59,2026-09-07,fresh,True
00-0040236,Kyle Monangai,RB,4608686,124.95,37,2026-09-07,fresh,True
00-0037840,Kyren Williams,RB,4430737,34.47,15,2026-09-07,fresh,True
00-0039811,MarShawn Lloyd,RB,4429023,102.22,32,2026-09-07,fresh,True
WAS797326,Mike Washington,RB,4686658,162.77,46,2026-09-07,fresh,True
00-0040666,Omarion Hampton,RB,4685382,17.68,9,2026-09-07,fresh,True
00-0040784,Quinshon Judkins,RB,4685702,47.62,19,2026-09-07,fresh,True
00-0040730,RJ Harvey,RB,4568490,128.17,39,2026-09-07,fresh,True
00-0037256,Rachaad White,RB,4697815,128.88,40,2026-09-07,fresh,True
00-0036875,Rhamondre Stevenson,RB,4569173,76.89,26,2026-09-07,fresh,True
00-0036139,Rico Dowdle,RB,4038815,96.72,29,2026-09-07,fresh,True
00-0034844,Saquon Barkley,RB,3929630,14.08,7,2026-09-07,fresh,True
00-0038555,Tank Bigsby,RB,4429013,169.72,54,2026-09-07,fresh,True
00-0035261,Tony Pollard,RB,3916148,85.87,28,2026-09-07,fresh,True
00-0036973,Travis Etienne,RB,4239996,39.22,17,2026-09-07,fresh,True
