player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees,actual_rank,actual_total,injured
Puka Nacua,WR,LA,176.44876543103243,7.0,6.0,-1.0,,,,,,2,24.26009582477755,6.0,0.0,1.0,310.5,False
Nico Collins,WR,HOU,145.95262656813813,23.0,7.0,-16.0,,,,,,4,26.455852156057496,4.0,0.0,9.0,190.7,False
Drake London,WR,ATL,169.92663258734618,11.0,8.0,-3.0,,,,,,3,24.10677618069815,8.0,0.0,15.0,167.9,False
A.J. Brown,WR,PHI,175.63122052030982,8.0,9.0,1.0,,,,,,6,28.17248459958932,11.0,0.0,13.0,181.3,False
Brian Thomas Jr.,WR,JAX,182.29556286579248,6.0,10.0,4.0,,,,,,1,22.899383983572896,7.0,1.0,35.0,114.8,False
Ladd McConkey,WR,LAC,174.03786570167944,10.0,11.0,1.0,,,,,,1,23.805612594113622,12.0,0.0,25.0,147.9,False
Tyreek Hill,WR,MIA,157.60992343249035,15.0,12.0,-3.0,,,,,,9,31.50444900752909,10.0,0.0,65.0,43.0,True
Tee Higgins,WR,CIN,156.66976107060742,16.0,13.0,-3.0,,,,,,5,26.62012320328542,18.0,1.0,12.0,182.10000000000002,False
Jaxon Smith-Njigba,WR,SEA,164.96860254767643,13.0,14.0,1.0,,,,,,2,23.54551676933607,22.0,0.0,2.0,300.4,False
Marvin Harrison Jr.,WR,ARI,154.51612838746544,18.0,15.0,-3.0,,,,,,1,23.05817932922656,14.0,0.0,40.0,107.30000000000001,False
Mike Evans,WR,TB,141.69635757158525,26.0,16.0,-10.0,FADE,HIGH,age cliff,,,11,32.030116358658454,17.0,1.0,53.0,69.80000000000001,True
Terry McLaurin,WR,WAS,154.50064768218016,19.0,17.0,-2.0,,,,,,6,29.96303901437372,15.0,0.0,44.0,95.19999999999999,True
Garrett Wilson,WR,NYJ,174.30283652002336,9.0,18.0,9.0,BUY,HIGH,,,,3,25.111567419575632,12.0,1.0,48.0,81.5,True
Davante Adams,WR,LA,169.28855764768568,12.0,19.0,7.0,BUY,MEDIUM,,,,11,32.68720054757016,19.0,0.0,8.0,192.9,False
DK Metcalf,WR,PIT,136.7845821534417,30.0,20.0,-10.0,FADE,HIGH,declining,,,6,27.71526351813826,15.0,0.0,23.0,157.7,False
Courtland Sutton,WR,DEN,150.07205300551448,21.0,21.0,0.0,,,,,,7,29.894592744695416,24.0,,11.0,182.70000000000002,False
DJ Moore,WR,CHI,164.19914701101177,14.0,22.0,8.0,,,,rookie,,7,28.383299110198493,25.0,0.0,26.0,147.18,False
Tetairoa McMillan,WR,CAR,94.1350695998497,53.0,23.0,-30.0,,,,,,0,22.409308692676248,20.0,0.0,14.0,178.4,False
DeVonta Smith,WR,PHI,154.26141004792606,20.0,24.0,4.0,,,,,,4,26.798083504449007,30.0,0.0,19.0,163.30000000000004,False
Xavier Worthy,WR,KC,134.16722519582717,32.0,25.0,-7.0,,,,,,1,22.349075975359344,28.0,1.0,46.0,88.9,False
Jameson Williams,WR,DET,130.25889880785823,35.0,26.0,-9.0,,,,,,3,24.435318275154003,21.0,0.0,10.0,187.4,False
Zay Flowers,WR,BAL,149.1888853639971,22.0,27.0,5.0,BUY,MEDIUM,,,,2,24.971937029431896,36.0,0.0,7.0,200.3,False
George Pickens,WR,DAL,137.8798181130117,29.0,28.0,-1.0,,,,,,3,24.49555099247091,23.0,0.0,5.0,245.40000000000003,False
Rashee Rice,WR,KC,139.6335767761178,28.0,29.0,1.0,,,,,,2,25.36071184120465,35.0,0.0,34.0,123.6,True
Calvin Ridley,WR,TEN,132.3904012246412,34.0,30.0,-4.0,,,,,,7,30.699520876112253,26.0,0.0,67.0,38.800000000000004,True
Travis Hunter,WR,JAX,85.87893898150217,58.0,31.0,-27.0,,,,,,0,22.29158110882957,32.0,1.0,59.0,49.800000000000004,True
Jaylen Waddle,WR,MIA,107.64379660323743,44.0,32.0,-12.0,FADE,HIGH,declining,,,4,26.767967145790557,29.0,0.0,21.0,162.12,False
Jerry Jeudy,WR,CLE,135.61040031009836,31.0,33.0,2.0,,,,,,5,26.357289527720734,27.0,1.0,43.0,95.7,False
Chris Olave,WR,NO,120.31368144703876,40.0,34.0,-6.0,,,,,returning from injury,3,25.180013689253936,31.0,0.0,6.0,218.0,False
Rome Odunze,WR,CHI,143.97011869398375,24.0,35.0,11.0,,,,rookie,,1,23.247091033538677,39.0,0.0,33.0,124.10000000000002,False
Deebo Samuel Sr.,WR,WAS,118.02796426551306,42.0,36.0,-6.0,FADE,MEDIUM,age cliff,,,6,29.6290212183436,33.0,0.0,24.0,152.2,False
Ricky Pearsall,WR,SF,97.12264436241405,50.0,37.0,-13.0,,,,,,1,24.97741273100616,37.0,0.0,52.0,70.60000000000001,True
Emeka Egbuka,WR,TB,76.02243420364333,61.0,38.0,-23.0,,,,,,0,22.882956878850106,38.0,0.0,17.0,164.2,False
Matthew Golden,WR,GB,90.1783089843662,56.0,39.0,-17.0,,,,,,0,22.086242299794662,34.0,0.0,57.0,55.5,False
