player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Adam Trautman,TE,DEN,1.8571985992881386,16.235931763509395,30.153349729327445,-64.4637504337349,224.0,55.0,276.0,1414.0,221.0,23.5,28.56947296372348,5,1.868421052631579,19.0
Rashid Shaheed,WR,SEA,6.0836037805967536,11.042498358247702,67.17818475946916,-65.65568612269215,225.0,75.0,52.0,123.0,-23.0,142.3,27.00342231348392,3,6.052380952380952,21.0
Tetairoa McMillan,WR,CAR,4.591209023369866,14.625491342211097,67.14868782157744,-65.68518306058387,226.0,76.0,23.0,56.0,-53.0,189.2,22.409308692676248,0,9.911111111111111,18.0
Christian Kirk,WR,HOU,5.375447646852236,12.485478178954567,67.11503429688626,-65.71883658527504,227.0,77.0,57.0,137.0,-20.0,116.9,28.78576317590691,7,2.9266666666666667,15.0
Jayden Higgins,WR,HOU,4.597561782735586,14.581305001445507,67.03845061705712,-65.79542026510418,228.0,78.0,51.0,119.0,-27.0,128.6,22.713210130047912,0,5.7368421052631575,19.0
Mo Alie-Cox,TE,IND,1.7273731705093076,16.027145446238325,27.684861043682506,-66.93223911937984,229.0,56.0,141.0,724.0,85.0,3.0,31.95071868583162,7,1.423529411764706,17.0
Tyler Lockett,WR,LV,4.283609109468276,15.346876953501361,65.74002191990718,-67.09384896225413,230.0,79.0,79.0,204.0,0.0,77.5,32.92539356605065,10,3.0058823529411764,17.0
Johnny Mundt,TE,JAX,1.6895455075044556,16.171581159492632,27.322622297264473,-67.29447786579787,231.0,57.0,214.0,1130.0,157.0,22.6,30.77344284736482,7,0.9176470588235296,17.0
Charlie Kolar,TE,BAL,1.8027284903602658,15.038132748511075,27.109670347560645,-67.5074298155017,232.0,58.0,266.0,1364.0,208.0,6.4,26.55715263518138,3,1.8352941176470587,17.0
Bryce Young,QB,CAR,12.849040631227261,12.202642894702862,156.79225436239372,-67.6829920354358,233.0,24.0,25.0,186.0,1.0,268.22,24.10403832991102,2,12.82588235294118,17.0
Elijah Higgins,TE,ARI,1.6561957041232525,16.049001286801253,26.580286986668785,-68.03681317639357,234.0,59.0,320.0,1674.0,261.0,29.0,24.84599589322382,2,2.5352941176470587,17.0
Zamir White,RB,LV,4.964057059795076,8.685030376628958,43.11298635563967,-68.18715319046115,235.0,73.0,376.0,1548.0,303.0,43.6,25.95482546201232,3,1.52,5.0
Isaiah Davis,RB,NYJ,5.10814654896047,8.364777727209656,42.728510480067406,-68.57162906603341,236.0,74.0,386.0,1601.0,312.0,28.4,23.526351813826142,1,3.79375,16.0
Tyler Higbee,TE,LA,2.458137218539797,10.526165491998086,25.87475916438977,-68.74234099867257,237.0,60.0,40.0,270.0,-20.0,73.0,32.6652977412731,9,4.507692307692308,13.0
Ray-Ray McCloud,WR,NYG,4.196544281145244,15.236189174214488,63.93934254549689,-68.89452833666442,238.0,80.0,527.0,1309.0,447.0,56.8,28.878850102669404,7,1.7333333333333334,6.0
Sean Tucker,RB,TB,4.066060152770988,10.402792761756121,42.298381126111025,-69.00175841998978,239.0,75.0,256.0,1066.0,181.0,57.5,23.852156057494867,2,5.826666666666667,15.0
Oronde Gadsden II,TE,LAC,2.2285836790554905,11.406139631588129,25.41953662398531,-69.19756353907704,240.0,61.0,50.0,304.0,-11.0,48.0,22.187542778918548,0,6.68125,16.0
Greg Dulcich,TE,MIA,1.991951232976433,12.754496458360402,25.40633494622455,-69.2107652168378,241.0,62.0,292.0,1522.0,230.0,3.0,25.43463381245722,3,4.98,10.0
Ben Sinnott,TE,WAS,1.4707689587717552,16.80479175614657,24.715966073563866,-69.90113408949848,242.0,63.0,53.0,313.0,-10.0,44.4,23.21697467488022,1,1.43125,16.0
Jonathan Mingo,WR,DAL,4.036111254290867,15.590904902664615,62.9266267422233,-69.907244139938,243.0,81.0,547.0,1360.0,466.0,,24.366872005475702,2,0.5,6.0
Kendre Miller,RB,NO,5.155494390133483,8.027724681701926,41.38688956205038,-69.91324998405042,244.0,76.0,66.0,193.0,-10.0,58.6,23.225188227241617,2,4.4,7.0
Jeremy Ruckert,TE,NYJ,1.4857486380510112,16.535919353028092,24.568219657682846,-70.0488805053795,245.0,64.0,348.0,1801.0,284.0,22.5,25.05681040383299,3,2.0823529411764707,17.0
Stone Smartt,TE,NYJ,1.7363793045232732,13.951437808653427,24.224987879289337,-70.392112283773,246.0,65.0,324.0,1698.0,259.0,4.6,26.910335386721425,3,1.0875,8.0
Hassan Haskins,RB,LAC,3.630893349011439,11.221599721198892,40.74443179296967,-70.55570775313114,247.0,77.0,409.0,1711.0,332.0,33.6,25.765913757700204,3,0.8,10.0
Ameer Abdullah,RB,IND,3.364676740677201,12.091724727892423,40.68474494661099,-70.61539459948982,248.0,78.0,298.0,1224.0,220.0,,32.219028062970565,10,2.3,13.0
Brock Wright,TE,DET,1.4602430217457631,16.43436007070037,23.998159610097424,-70.61894055296492,249.0,66.0,295.0,1534.0,229.0,18.0,26.76249144421629,4,2.709090909090909,11.0
Kimani Vidal,RB,LAC,4.459551639193952,9.121234115234081,40.676614550063945,-70.62352499603686,250.0,79.0,348.0,1448.0,269.0,3.6,24.01095140314853,1,7.85,14.0
Luke Musgrave,TE,GB,1.959484549976177,12.216498401813109,23.938039873161447,-70.6790602899009,251.0,67.0,263.0,1354.0,196.0,34.2,24.996577686516083,2,2.066666666666667,18.0
Grant Calcaterra,TE,PHI,1.6927476064336564,14.012877421003925,23.72026471365262,-70.89683544940972,252.0,68.0,321.0,1692.0,253.0,19.0,26.74332648870637,3,1.13125,16.0
Calvin Austin III,WR,PIT,3.8242939752326564,16.185573450572466,61.89839103270992,-70.93547984945138,253.0,82.0,110.0,272.0,28.0,70.9,26.442162902121837,2,4.713333333333334,15.0
Roschon Johnson,RB,CHI,3.4292679399063544,11.749888889448837,40.293517266048774,-71.00662228005203,254.0,80.0,68.0,201.0,-12.0,67.0,24.583162217659137,2,,2.0
Will Shipley,RB,PHI,4.086847738896225,9.853430733144982,40.269471112124144,-71.03066843397667,255.0,81.0,58.0,162.0,-23.0,68.5,23.00889801505818,1,0.9375,16.0
Davis Allen,TE,LA,1.4823978292165647,15.903735871805985,23.575663532798803,-71.04143663026355,256.0,69.0,193.0,1013.0,124.0,3.0,24.57494866529774,2,2.54,20.0
