player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank
00-0031484,Chris Manhertz,TE,NYG,CHI,2025-11-09,1.01,25.0,2.0,1.0,0,-0.0875692463965452,0.4285714285714285,0.5231684981684982,23,12
00-0037311,Ko Kieft,TE,TB,NE,2025-11-09,0.98,23.0,4.0,1.0,1,0.0114114413538503,0.5,0.3117715617715617,15,28
00-0033439,Pharaoh Brown,TE,ARI,SEA,2025-11-09,0.97,25.75,2.0,1.0,0,-0.0200817692320336,0.6153846153846154,0.5669955044955045,21,5
00-0036825,Feleipe Franks,TE,ATL,IND,2025-11-09,0.96,27.5,2.0,1.0,0,0.0221513693594375,0.75,0.4211413586413586,14,22
00-0040363,Keleki Latu,TE,BUF,MIA,2025-11-09,0.96,21.0,4.0,1.0,0,0.1692050266074698,0.6666666666666666,0.4848068598068598,2,14
00-0033895,Gerald Everett,TE,CHI,NYG,2025-11-09,0.95,20.5,2.0,1.0,1,0.075685334949902,0.5333333333333333,0.5668914418914419,9,6
00-0038643,Brayden Willis,TE,SF,LA,2025-11-09,0.93,27.5,4.0,1.0,1,0.1645314529215629,0.8,0.3858641358641358,3,26
00-0039050,Payne Durham,TE,TB,NE,2025-11-09,0.93,23.0,2.0,1.0,1,0.0114114413538503,0.1666666666666666,0.3117715617715617,15,28
00-0034798,Durham Smythe,TE,CHI,NYG,2025-11-09,0.84,20.5,2.0,0.5,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6
00-0033576,Eric Saubert,TE,SEA,ARI,2025-11-09,0.75,18.75,3.0,1.0,1,-0.0089089855616453,0.5333333333333333,0.5245171495171495,19,11
00-0037475,Stone Smartt,TE,NYJ,CLE,2025-11-09,0.74,19.5,2.0,1.0,1,-0.2392364677490492,0.2857142857142857,0.4395812520812521,28,19
00-0039305,Jack Westover,TE,NE,TB,2025-11-09,0.53,25.5,2.0,1.0,0,0.1569497663344893,0.2222222222222222,0.4147435897435897,5,23
00-0038710,Blake Whiteheart,TE,CLE,NYJ,2025-11-09,0.52,18.0,2.0,1.0,0,-0.2035625371766095,0.6,0.5391483516483516,26,9
00-0037031,Nikola Kalinic,TE,CHI,NYG,2025-11-09,0.39,20.5,4.0,1.0,1,0.075685334949902,0.6,0.5668914418914419,9,6
00-0039075,Puka Nacua,WR,LA,SF,2025-11-09,19.23,22.0,1.0,1.0,0,0.2548577506652165,0.4,0.5377747252747253,1,10
00-0036963,Amon-Ra St. Brown,WR,DET,WAS,2025-11-09,15.91,20.5,1.0,1.0,0,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4
00-0034960,Jakobi Meyers,WR,JAX,HOU,2025-11-09,15.17,18.0,2.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,17
00-0031381,Davante Adams,WR,LA,SF,2025-11-09,13.64,22.0,2.0,1.0,0,0.2548577506652165,0.25,0.5377747252747253,1,10
00-0039064,Zay Flowers,WR,BAL,MIN,2025-11-09,13.38,22.0,1.0,1.0,0,-0.0035963003912532,0.6,0.4665334665334665,17,15
00-0037240,Jameson Williams,WR,DET,WAS,2025-11-09,13.33,20.5,2.0,1.0,0,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4
00-0037740,Garrett Wilson,WR,NYJ,CLE,2025-11-09,12.74,19.5,1.0,0.5,1,-0.2392364677490492,0.6,0.4395812520812521,28,19
00-0034348,Courtland Sutton,WR,DEN,LV,2025-11-06,12.51,16.5,1.0,1.0,1,0.1174218214754575,0.4,0.4614968364968364,8,16
00-0035640,DK Metcalf,WR,PIT,LAC,2025-11-09,12.28,24.25,1.0,1.0,0,0.069888843890464,0.4615384615384615,0.5423326673326674,10,8
00-0036322,Justin Jefferson,WR,MIN,BAL,2025-11-09,12.23,26.5,1.0,1.0,1,-0.0559571697535418,0.5333333333333333,0.3954170829170829,22,25
00-0038117,Wan'Dale Robinson,WR,NYG,CHI,2025-11-09,12.18,25.0,2.0,1.0,0,-0.0875692463965452,0.4285714285714285,0.5231684981684982,23,12
00-0036613,Jaylen Waddle,WR,MIA,BUF,2025-11-09,12.05,29.5,1.0,1.0,1,-0.0064661809473301,0.2857142857142857,0.3139985014985015,18,27
00-0037238,Drake London,WR,ATL,IND,2025-11-09,11.57,27.5,1.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,14,22
00-0035676,A.J. Brown,WR,PHI,GB,2025-11-10,11.07,23.5,1.0,1.0,0,0.0590580013814779,0.2857142857142857,0.4583749583749584,13,18
00-0038543,Jaxon Smith-Njigba,WR,SEA,ARI,2025-11-09,10.97,18.75,1.0,1.0,1,-0.0089089855616453,0.5333333333333333,0.5245171495171495,19,11
00-0037239,Chris Olave,WR,NO,CAR,2025-11-09,10.86,22.0,1.0,1.0,0,-0.0114811011743694,0.2142857142857142,0.4249292374292374,20,21
00-0039337,Malik Nabers,WR,NYG,CHI,2025-11-09,10.76,25.0,1.0,1.0,0,-0.0875692463965452,0.0,0.5231684981684982,23,12
00-0031408,Mike Evans,WR,TB,NE,2025-11-09,10.6,23.0,1.0,1.0,1,0.0114114413538503,0.4,0.3117715617715617,15,28
00-0038124,Christian Watson,WR,GB,PHI,2025-11-10,10.37,22.0,1.0,1.0,1,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1
00-0036912,DeVonta Smith,WR,PHI,GB,2025-11-10,10.2,23.5,2.0,1.0,0,0.0590580013814779,0.7333333333333333,0.4583749583749584,13,18
00-0034827,DJ Moore,WR,CHI,NYG,2025-11-09,9.89,20.5,1.0,1.0,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6
00-0038559,Michael Wilson,WR,ARI,SEA,2025-11-09,9.8,25.75,2.0,1.0,0,-0.0200817692320336,0.3333333333333333,0.5669955044955045,21,5
00-0036554,Nico Collins,WR,HOU,JAX,2025-11-09,9.76,19.5,1.0,1.0,1,0.0063511369932493,0.1428571428571428,0.4002247752247752,16,24
00-0036261,Brandon Aiyuk,WR,SF,LA,2025-11-09,9.57,27.5,9.0,1.0,1,0.1645314529215629,0.6,0.3858641358641358,3,26
00-0038977,Tank Dell,WR,HOU,JAX,2025-11-09,9.52,19.5,3.0,1.0,1,0.0063511369932493,0.4615384615384615,0.4002247752247752,16,24
00-0039849,Marvin Harrison Jr.,WR,ARI,SEA,2025-11-09,8.88,25.75,1.0,1.0,0,-0.0200817692320336,0.3571428571428571,0.5669955044955045,21,5
00-0033040,Tyreek Hill,WR,MIA,BUF,2025-11-09,8.87,29.5,2.0,1.0,1,-0.0064661809473301,1.0,0.3139985014985015,18,27
00-0038563,Tre Tucker,WR,LV,DEN,2025-11-06,8.85,26.0,1.0,1.0,0,-0.2095284627489942,0.1333333333333333,0.681984681984682,27,2
00-0035719,Deebo Samuel Sr.,WR,WAS,DET,2025-11-09,8.77,29.0,2.0,1.0,1,-0.1204819871553674,0.4,0.4870546120546121,25,13
00-0031588,Stefon Diggs,WR,NE,TB,2025-11-09,8.56,25.5,2.0,1.0,0,0.1569497663344893,0.2,0.4147435897435897,5,23
00-0036252,Michael Pittman,WR,IND,ATL,2025-11-09,8.56,21.0,2.0,1.0,1,-0.1099062493798814,0.7333333333333333,0.6739094239094239,24,3
00-0036259,Jauan Jennings,WR,SF,LA,2025-11-09,8.41,27.5,2.0,1.0,1,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,26
00-0039890,Adonai Mitchell,WR,NYJ,CLE,2025-11-09,8.28,19.5,2.0,1.0,1,-0.2392364677490492,0.8,0.4395812520812521,28,19
00-0039855,Jalen McMillan,WR,TB,NE,2025-11-09,8.16,23.0,3.0,1.0,1,0.0114114413538503,0.4,0.3117715617715617,15,28
