player_id,player_display_name,position,breakout_prob,breakout_type
00-0036842,Kene Nwangwu,RB,0.011992555,none
00-0036637,Noah Gray,TE,0.011942448,none
00-0036924,Michael Carter,RB,0.011882399,none
00-0039391,Kimani Vidal,RB,0.011574603,none
00-0036415,Van Jefferson,WR,0.0115398485,none
00-0034775,Christian Kirk,WR,0.011433663,none
00-0028118,Tyrod Taylor,QB,0.011421014,none
00-0037304,Connor Heyward,TE,0.011201334,none
00-0039373,Audric Estimé,RB,0.011183862,none
00-0037085,Tyler Badie,RB,0.010932743,none
00-0035243,Miles Sanders,RB,0.010656834,none
00-0038809,Ben Sims,TE,0.010459379,none
00-0035249,Josh Oliver,TE,0.010356098,none
00-0035628,D'Ernest Johnson,RB,0.010324888,none
00-0036972,Mac Jones,QB,0.010012025,none
00-0034272,Marquez Valdes-Scantling,WR,0.009945538,none
00-0037539,Lucas Krull,TE,0.009906413,none
00-0039912,Ben Sinnott,TE,0.009772694,none
00-0036244,Colby Parkinson,TE,0.009744806,none
00-0027973,Andy Dalton,QB,0.009661352,none
00-0037112,Jake Tonges,TE,0.009573591,none
00-0035406,Lil'Jordan Humphrey,WR,0.009482251,none
00-0039144,Luke Musgrave,TE,0.00933216,none
00-0037258,Dameon Pierce,RB,0.00917801,none
00-0035662,Marquise Brown,WR,0.00906222,none
00-0039648,David Martin-Robinson,TE,0.0086120255,none
00-0036741,Jack Stoll,TE,0.00831408,none
00-0037617,Hassan Haskins,RB,0.00810308,none
00-0037120,Tyler Goodson,RB,0.008074493,none
00-0037525,Jordan Mason,RB,0.007827812,none
00-0038454,Keaton Mitchell,RB,0.0077508893,none
00-0033923,Kareem Hunt,RB,0.00770768,none
00-0037741,Jahan Dotson,WR,0.007675395,none
00-0032385,Sterling Shepard,WR,0.007625149,none
00-0036332,Josiah Deguara,TE,0.007400824,none
00-0036427,Tyler Johnson,WR,0.0070631467,none
00-0036630,Tylan Wallace,WR,0.0066577992,none
00-0035140,Mecole Hardman,WR,0.0065750233,none
00-0039917,Michael Penix Jr.,QB,0.0065576946,none
00-0036876,Kylen Granson,TE,0.0064344495,none
00-0033357,Taysom Hill,TE,0.006393968,none
00-0035993,Tyler Huntley,QB,0.0063076424,none
00-0037086,Grant Calcaterra,TE,0.0062493295,none
00-0037276,Ty Chandler,RB,0.0061888597,none
00-0033591,Noah Brown,WR,0.0060715973,none
00-0036590,Quintin Morris,TE,0.0060541267,none
00-0034613,Tanner Hudson,TE,0.0060468633,none
00-0026300,Josh Johnson,QB,0.006009808,none
00-0033307,Kendrick Bourne,WR,0.005980455,none
00-0033854,Dare Ogunbowale,RB,0.0059564537,none
00-0033949,Joshua Dobbs,QB,0.0055523543,none
00-0034365,Ian Thomas,TE,0.0054526017,none
00-0039062,Jonathan Mingo,WR,0.0054473733,none
00-0039407,Dylan Laube,RB,0.005161797,none
00-0034798,Durham Smythe,TE,0.005093706,none
00-0039359,Cade Stover,TE,0.00506062,none
00-0037291,Jalen Nailor,WR,0.004934421,none
00-0039880,Malik Washington,WR,0.004831606,none
00-0039796,Rasheen Ali,RB,0.0048086937,none
00-0035594,Travis Homer,RB,0.0047607366,none
00-0036906,Khalil Herbert,RB,0.004751949,none
00-0038720,Julian Hill,TE,0.0047247377,none
00-0033555,Mack Hollins,WR,0.0046635466,none
00-0036825,Feleipe Franks,TE,0.004420602,none
00-0039074,Davis Allen,TE,0.0043861936,none
00-0033282,Curtis Samuel,WR,0.0043597445,none
00-0034959,Andrew Beck,RB,0.004346092,none
00-0038582,Clayton Tune,QB,0.004208618,none
00-0036040,Juwan Johnson,TE,0.004181362,bounce_back
00-0036984,Trey Sermon,RB,0.004084493,none
00-0039631,Cam Grandy,TE,0.004082494,none
00-0037594,Julius Chestnut,RB,0.0040739183,none
00-0033217,Mo Alie-Cox,TE,0.0040606237,none
00-0035500,Greg Dortch,WR,0.0040068473,none
00-0035535,Darius Slayton,WR,0.003942301,none
00-0037292,Andrew Ogletree,TE,0.0039040924,none
00-0038115,Daniel Bellinger,TE,0.003692611,none
00-0039890,Adonai Mitchell,WR,0.0034702057,none
00-0039376,Spencer Rattler,QB,0.003462125,none
00-0038710,Blake Whiteheart,TE,0.0034404506,none
00-0037348,Tanner Conner,TE,0.003314818,none
00-0037742,Treylon Burks,WR,0.0032879952,none
00-0034386,Justin Watson,WR,0.003164163,none
00-0035631,Drew Sample,TE,0.0030782057,none
00-0033857,JuJu Smith-Schuster,WR,0.0030639078,none
00-0036945,Justin Fields,QB,0.0029042375,none
00-0039623,Mason Tipton,WR,0.0027738449,none
00-0036727,Adam Prentice,RB,0.0027631512,none
00-0035100,Jake Browning,QB,0.002522133,none
00-0038416,Tyson Bagent,QB,0.0024287065,none
00-0038640,Jalen Brooks,WR,0.0022880058,none
00-0039299,George Holani,RB,0.0022479156,none
00-0035298,Scott Miller,WR,0.0021662598,none
00-0032268,Marcus Mariota,QB,0.0021169279,none
00-0033319,Nick Mullens,QB,0.0021012803,none
00-0029604,Kirk Cousins,QB,0.0020890883,none
00-0039050,Payne Durham,TE,0.0020622371,none
00-0038104,Tyquan Thornton,WR,0.002014234,none
00-0037475,Stone Smartt,TE,0.0019572768,none
00-0031484,Chris Manhertz,TE,0.0019355041,none
00-0037252,Greg Dulcich,TE,0.0019119122,none
00-0032464,Kalif Raymond,WR,0.0018190866,none
00-0037745,Velus Jones Jr.,RB,0.0018181026,none
00-0037654,Tucker Fisk,TE,0.001777019,none
00-0033891,Zay Jones,WR,0.0017295303,none
00-0038090,Skyy Moore,WR,0.0016892939,none
00-0039410,Ryan Flournoy,WR,0.0016242369,none
00-0034418,Cedrick Wilson Jr.,WR,0.0016206554,none
00-0036628,John Bates,TE,0.0016157413,none
00-0032211,Tyler Lockett,WR,0.001600028,none
00-0029263,Russell Wilson,QB,0.0015956265,none
00-0038359,Xavier Smith,WR,0.0015847123,none
00-0032775,Demarcus Robinson,WR,0.0015589924,none
00-0038496,Xavier Gipson,WR,0.0015561463,none
00-0035291,Trayveon Williams,RB,0.0015536537,none
00-0038576,Charlie Jones,WR,0.0014942125,none
00-0034860,Dante Pettis,WR,0.0014833799,none
00-0037231,Kevin Austin Jr.,WR,0.001427905,none
00-0036232,Harrison Bryant,TE,0.0013790992,none
00-0039920,Malachi Corley,WR,0.001299409,none
00-0034928,Steven Sims,WR,0.0012947824,none
00-0034771,Mason Rudolph,QB,0.0012912841,none
00-0033943,Josh Reynolds,WR,0.0012770807,none
00-0026158,Joe Flacco,QB,0.0012765421,none
00-0039355,Luke McCaffrey,WR,0.0011476262,none
00-0039751,Jordan Whittington,WR,0.0010801943,none
00-0036425,DeeJay Dallas,RB,0.0010750357,none
00-0037801,KaVontae Turpin,WR,0.0010658076,none
00-0036646,Simi Fehoko,WR,0.0010196451,none
00-0034419,Braxton Berrios,WR,0.0010190008,none
00-0036165,Isaiah Hodgins,WR,0.0010017944,none
00-0038573,Derius Davis,WR,0.0009918937,none
00-0038465,Malik Heath,WR,0.0009778622,none
00-0039792,Devontez Walker,WR,0.00096313254,none
00-0037132,Britain Covey,WR,0.0009394224,none
00-0036887,Luke Farrell,TE,0.0009014644,none
00-0035289,Gardner Minshew,QB,0.00089509226,none
00-0034073,Ross Dwelley,TE,0.00085947366,none
00-0036497,Tim Jones,WR,0.00083393924,none
00-0038938,Jalin Hyatt,WR,0.00082112406,none
00-0034487,Trent Sherfield,WR,0.0008149528,none
00-0036620,Dee Eskridge,WR,0.00080596923,none
00-0033119,Jacoby Brissett,QB,0.00075112167,none
00-0036429,Charlie Woerner,TE,0.00068418734,none
00-0034854,KhaDarel Hodge,WR,0.00067339104,none
00-0039816,Anthony Gould,WR,0.0006417784,none
00-0033439,Pharaoh Brown,TE,0.0006083174,none
00-0038519,Nikko Remigio,WR,0.00059987797,none
