week,position,slp_proj,name,norm_name
9,QB,19.64,Caleb Williams,caleb williams
11,QB,19.63,Tua Tagovailoa,tua tagovailoa
1,QB,19.63,Trevor Lawrence,trevor lawrence
10,QB,19.6,J.J. McCarthy,jj mccarthy
10,QB,19.55,Matthew Stafford,matthew stafford
11,QB,19.54,Matthew Stafford,matthew stafford
3,QB,19.54,Caleb Williams,caleb williams
15,QB,19.52,Jacoby Brissett,jacoby brissett
6,QB,19.52,Justin Fields,justin fields
5,RB,19.51,De'Von Achane,devon achane
18,QB,19.49,Bo Nix,bo nix
6,RB,19.48,Christian McCaffrey,christian mccaffrey
6,RB,19.47,Jonathan Taylor,jonathan taylor
1,QB,19.47,Joe Flacco,joe flacco
15,QB,19.45,C.J. Stroud,cj stroud
2,QB,19.42,Trevor Lawrence,trevor lawrence
14,QB,19.42,Jayden Daniels,jayden daniels
10,QB,19.41,Sam Darnold,sam darnold
1,QB,19.41,Sam Darnold,sam darnold
15,QB,19.4,Justin Herbert,justin herbert
14,QB,19.38,Tyler Shough,tyler shough
2,QB,19.35,Russell Wilson,russell wilson
3,QB,19.35,Aaron Rodgers,aaron rodgers
3,QB,19.35,Sam Darnold,sam darnold
6,QB,19.34,Daniel Jones,daniel jones
8,QB,19.34,Jaxson Dart,jaxson dart
6,QB,19.33,Bo Nix,bo nix
7,QB,19.32,Daniel Jones,daniel jones
15,RB,19.3,Jahmyr Gibbs,jahmyr gibbs
11,QB,19.29,Jacoby Brissett,jacoby brissett
7,QB,19.28,Jordan Love,jordan love
9,QB,19.26,Jacoby Brissett,jacoby brissett
2,QB,19.25,Tua Tagovailoa,tua tagovailoa
9,QB,19.23,Aaron Rodgers,aaron rodgers
1,QB,19.2,Drake Maye,drake maye
16,QB,19.2,Marcus Mariota,marcus mariota
17,QB,19.18,Bo Nix,bo nix
6,QB,19.17,Trevor Lawrence,trevor lawrence
14,QB,19.16,Jacoby Brissett,jacoby brissett
15,QB,19.15,Tyler Shough,tyler shough
6,QB,19.15,Geno Smith,geno smith
14,QB,19.14,Tyrod Taylor,tyrod taylor
16,QB,19.13,Bryce Young,bryce young
14,QB,19.13,Sam Darnold,sam darnold
9,QB,19.13,Geno Smith,geno smith
9,QB,19.09,Trevor Lawrence,trevor lawrence
13,QB,19.07,Jordan Love,jordan love
9,WR,19.07,Jaxon Smith-Njigba,jaxon smithnjigba
18,QB,19.06,Bryce Young,bryce young
11,QB,19.05,Sam Darnold,sam darnold
16,RB,19.04,Christian McCaffrey,christian mccaffrey
15,QB,19.04,Jared Goff,jared goff
7,RB,19.03,Jonathan Taylor,jonathan taylor
5,QB,19.03,Tua Tagovailoa,tua tagovailoa
3,QB,19.02,Jake Browning,jake browning
1,QB,19.02,Geno Smith,geno smith
17,QB,18.99,Jared Goff,jared goff
7,RB,18.99,Bijan Robinson,bijan robinson
3,QB,18.98,Trevor Lawrence,trevor lawrence
11,RB,18.95,Josh Jacobs,josh jacobs
14,QB,18.94,J.J. McCarthy,jj mccarthy
3,QB,18.94,Joe Flacco,joe flacco
12,QB,18.93,Tyler Shough,tyler shough
2,QB,18.93,Drake Maye,drake maye
2,QB,18.91,Geno Smith,geno smith
17,RB,18.9,James Cook,james cook
3,QB,18.89,Russell Wilson,russell wilson
11,RB,18.89,Bijan Robinson,bijan robinson
9,QB,18.88,Matthew Stafford,matthew stafford
3,RB,18.88,De'Von Achane,devon achane
12,QB,18.87,Sam Darnold,sam darnold
5,QB,18.86,Bo Nix,bo nix
1,QB,18.83,J.J. McCarthy,jj mccarthy
18,RB,18.83,Bijan Robinson,bijan robinson
18,RB,18.83,Christian McCaffrey,christian mccaffrey
11,QB,18.81,Trevor Lawrence,trevor lawrence
12,RB,18.79,Bijan Robinson,bijan robinson
18,QB,18.79,Tanner McKee,tanner mckee
7,QB,18.78,Aaron Rodgers,aaron rodgers
10,QB,18.78,Geno Smith,geno smith
15,QB,18.75,Bo Nix,bo nix
5,QB,18.74,Trevor Lawrence,trevor lawrence
3,QB,18.73,C.J. Stroud,cj stroud
6,RB,18.73,De'Von Achane,devon achane
