player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0038542,Bijan Robinson,RB,ATL,NO,2025-11-23,17.75,21.5,1.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,14,23,,,67.99,34.75,,,,
00-0039139,Jahmyr Gibbs,RB,DET,NYG,2025-11-23,17.48,18.25,1.0,1.0,1,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4,,,76.45,44.78,,,,
00-0038597,Chase Brown,RB,CIN,NE,2025-11-23,15.66,29.0,1.0,1.0,1,0.0448989351680796,0.2,0.5255577755577756,13,12,,,64.53,21.26,,,,
00-0033280,Christian McCaffrey,RB,SF,CAR,2025-11-24,15.16,20.5,1.0,1.0,1,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,27,,,54.05,29.26,,,,
00-0036973,Travis Etienne,RB,JAX,ARI,2025-11-23,14.72,22.5,1.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,19,,,61.98,24.29,,,,
00-0033553,James Conner,RB,ARI,JAX,2025-11-23,13.57,25.0,5.0,1.0,1,-0.0200817692320336,0.0,0.5669955044955045,20,5,,,59.85,11.44,,,,
00-0040122,Ashton Jeanty,RB,LV,CLE,2025-11-23,13.08,16.25,1.0,1.0,1,-0.2095284627489942,0.1333333333333333,0.681984681984682,27,2,,,58.43,26.23,,,,
00-0035700,Josh Jacobs,RB,GB,MIN,2025-11-23,12.84,17.5,1.0,0.5,1,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1,,,62.81,12.33,,,,
00-0036997,Javonte Williams,RB,DAL,PHI,2025-11-23,12.56,25.25,1.0,1.0,1,0.0876025690281826,0.7142857142857143,0.5569222444222444,8,7,,,67.72,12.92,,,,
00-0035261,Tony Pollard,RB,TEN,SEA,2025-11-23,12.48,27.0,1.0,1.0,1,-0.0600036058434601,0.3333333333333333,0.5018106893106893,22,15,,,76.35,9.21,,,,
00-0037840,Kyren Williams,RB,LA,TB,2025-11-23,12.39,21.25,1.0,1.0,1,0.2548577506652165,0.4,0.5377747252747253,1,11,,,57.13,10.03,,,,
00-0036223,Jonathan Taylor,RB,IND,KC,2025-11-23,11.86,27.0,1.0,1.0,0,-0.1099062493798814,0.7333333333333333,0.6739094239094239,24,3,,,72.33,15.21,,,,
00-0036919,Kenneth Gainwell,RB,PIT,CHI,2025-11-23,11.82,24.75,2.0,1.0,0,0.069888843890464,0.2,0.5423326673326674,10,9,,,47.53,28.64,,,,
00-0038134,Kenneth Walker III,RB,SEA,TEN,2025-11-23,11.49,14.5,1.0,0.5,0,-0.0089089855616453,0.5333333333333333,0.5245171495171495,18,13,,,64.17,9.22,,,,
00-0039405,Jawhar Jordan,RB,HOU,BUF,2025-11-20,11.16,24.5,2.0,1.0,1,0.0063511369932493,0.7333333333333333,0.4002247752247752,16,25,,,51.36,12.4,,,,
00-0036139,Rico Dowdle,RB,CAR,SF,2025-11-24,10.92,28.0,1.0,1.0,0,0.0619172570125864,0.8,0.5463286713286714,11,8,,,59.77,20.84,,,,
00-0034844,Saquon Barkley,RB,PHI,DAL,2025-11-23,10.75,22.25,1.0,1.0,0,0.0590580013814779,0.2857142857142857,0.4583749583749584,12,20,,,64.99,17.31,,,,
00-0036275,D'Andre Swift,RB,CHI,PIT,2025-11-23,10.7,21.75,1.0,1.0,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6,,,60.54,10.57,,,,
00-0033897,Joe Mixon,RB,HOU,BUF,2025-11-20,10.49,24.5,6.0,1.0,1,0.0063511369932493,0.6666666666666666,0.4002247752247752,16,25,,,54.66,20.23,,,,
00-0040784,Quinshon Judkins,RB,CLE,LV,2025-11-23,10.45,19.25,1.0,1.0,0,-0.2035625371766095,0.6923076923076923,0.5391483516483516,26,10,,,53.48,10.09,,,,
00-0039738,Blake Corum,RB,LA,TB,2025-11-23,10.36,21.25,2.0,1.0,1,0.2548577506652165,0.4,0.5377747252747253,1,11,,,50.9,10.88,,,,
00-0033293,Aaron Jones,RB,MIN,GB,2025-11-23,9.94,24.0,1.0,1.0,0,-0.0559571697535418,0.1428571428571428,0.3954170829170829,21,26,,,48.8,12.6,,,,
00-0039384,Tyrone Tracy Jr.,RB,NYG,DET,2025-11-23,9.94,32.25,1.0,1.0,0,-0.0875692463965452,0.1333333333333333,0.5231684981684982,23,14,,,44.55,19.49,,,,
00-0040236,Kyle Monangai,RB,CHI,PIT,2025-11-23,9.93,21.75,2.0,1.0,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6,,,52.56,8.45,,,,
00-0036875,Rhamondre Stevenson,RB,NE,CIN,2025-11-23,9.72,21.5,1.0,0.5,0,0.1569497663344893,0.2,0.4147435897435897,5,24,,,35.26,12.69,,,,
00-0037228,Jaylen Warren,RB,PIT,CHI,2025-11-23,9.67,24.75,1.0,1.0,0,0.069888843890464,0.2,0.5423326673326674,10,9,,,46.03,11.42,,,,
00-0038120,Breece Hall,RB,NYJ,BAL,2025-11-23,9.62,29.25,1.0,1.0,0,-0.2392364677490492,0.2857142857142857,0.4395812520812521,28,21,,,53.11,12.38,,,,
00-0037509,Sincere McCormick,RB,LV,CLE,2025-11-23,9.4,16.25,2.0,1.0,1,-0.2095284627489942,0.5,0.681984681984682,27,2,,,45.69,10.78,,,,
00-0035250,Devin Singletary,RB,NYG,DET,2025-11-23,9.17,32.25,2.0,1.0,0,-0.0875692463965452,0.1333333333333333,0.5231684981684982,23,14,,,37.95,17.1,,,,
