season,team,win_total_line,price_over,price_under,book,market_source,as_of_date,source,source_url,retrieved_at,raw_team_name,point_in_time_status
2015,TB,6.0,-150,130,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Tampa Bay Buccaneers,strictly_before_week1
2015,TEN,5.5,-200,180,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Tennessee Titans,strictly_before_week1
2015,WAS,6.0,-130,110,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Washington Redskins,strictly_before_week1
2016,ARI,10.0,-170,150,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Arizona Cardinals,strictly_before_week1
2016,ATL,7.0,-130,110,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Atlanta Falcons,strictly_before_week1
2016,BAL,8.5,-110,-110,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Baltimore Ravens,strictly_before_week1
2016,BUF,8.0,130,-150,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Buffalo Bills,strictly_before_week1
2016,CAR,10.5,120,-140,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Carolina Panthers,strictly_before_week1
2016,CHI,7.5,145,-165,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Chicago Bears,strictly_before_week1
2016,CIN,9.5,100,-120,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Cincinnati Bengals,strictly_before_week1
