population,universe,panel,threshold,panel_complete_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value,perm_n,vs_model_alone_hr_a,vs_model_alone_hr_b,vs_model_alone_lift,vs_model_alone_lo,vs_model_alone_hi,vs_model_alone_n_a,vs_model_alone_n_b,vs_model_alone_boot_ok,vs_sleeper_alone_hr_a,vs_sleeper_alone_hr_b,vs_sleeper_alone_lift,vs_sleeper_alone_lo,vs_sleeper_alone_hi,vs_sleeper_alone_n_a,vs_sleeper_alone_n_b,vs_sleeper_alone_boot_ok
all_adp,B,pooled_2021_2025,5.0,1679,0.8257261410788381,0.4901715767634855,0.5269709543568465,9.999000099990002e-05,482,0.8257261410788381,0.5016181229773463,0.3241080181014918,0.2718773888266599,0.37506701737449427,482,618,10000,0.8257261410788381,0.7311827956989247,0.09454334537991338,0.03881920529839285,0.15101402621431706,482,372,10000
all_adp,B,pooled_2021_2025,7.5,1679,0.85,0.4911886842105263,0.5342105263157895,9.999000099990002e-05,380,0.85,0.5309090909090909,0.3190909090909091,0.2641735824320611,0.3728162762171155,380,550,10000,0.85,0.7592592592592593,0.09074074074074068,0.03237415511099229,0.15030844547647684,380,324,10000
all_adp,B,pooled_2021_2025,10.0,1679,0.8838028169014085,0.49300528169014085,0.5422535211267606,9.999000099990002e-05,284,0.8838028169014085,0.5707964601769911,0.31300635672441735,0.25499052812053563,0.3714564960537238,284,452,10000,0.8838028169014085,0.7704918032786885,0.11331101362272,0.04837023408489733,0.17819202430039074,284,244,10000
drafted_top180,A,pooled_2024_2025,0.0,349,0.6604938271604939,0.4843574074074074,0.5493827160493827,9.999000099990002e-05,162,0.6604938271604939,0.44642857142857145,0.21406525573192242,0.11116380636417314,0.31644060807778435,162,168,10000,0.6604938271604939,0.5827814569536424,0.07771237020685151,-0.027194658029890944,0.1866196064019213,162,151,10000
drafted_top180,A,pooled_2024_2025,5.0,349,0.85,0.48813999999999996,0.625,9.999000099990002e-05,40,0.85,0.5177304964539007,0.3322695035460993,0.1923038321167883,0.46661181625915754,40,141,10000,0.85,0.696969696969697,0.15303030303030296,-0.004009537706720712,0.3112272727272726,40,66,10000
drafted_top180,A,pooled_2024_2025,7.5,349,0.9310344827586207,0.49875862068965526,0.6551724137931034,9.999000099990002e-05,29,0.9310344827586207,0.5045871559633027,0.42644732679531794,0.28747665185910665,0.5520907738095236,29,109,10000,0.9310344827586207,0.75,0.18103448275862066,0.026426095335941858,0.3333462732919253,29,48,10000
drafted_top180,A,pooled_2024_2025,10.0,349,1.0,0.4916933333333333,0.7333333333333333,9.999000099990002e-05,15,1.0,0.52,0.48,0.3666549295774648,0.590168872210152,15,75,10000,1.0,0.7307692307692307,0.2692307692307693,0.1071428571428571,0.44999999999999996,15,26,10000
drafted_top180,A,pooled_2023_2025,0.0,523,0.6721991701244814,0.4831124481327801,0.5352697095435685,9.999000099990002e-05,241,0.6721991701244814,0.44841269841269843,0.22378647171178295,0.1417413391534255,0.3074978286723223,241,252,10000,0.6721991701244814,0.573394495412844,0.09880467471163734,0.011328272523547766,0.18512513185553126,241,218,10000
drafted_top180,A,pooled_2023_2025,5.0,523,0.864406779661017,0.4845576271186441,0.5932203389830508,9.999000099990002e-05,59,0.864406779661017,0.5497630331753555,0.3146437464856615,0.1987810099408038,0.42030208790153206,59,211,10000,0.864406779661017,0.6705882352941176,0.19381854436689938,0.05632538099846526,0.3258289422326306,59,85,10000
drafted_top180,A,pooled_2023_2025,7.5,523,0.925,0.4939700000000001,0.625,9.999000099990002e-05,40,0.925,0.5497076023391813,0.3752923976608188,0.2586985822076184,0.48102474501885983,40,171,10000,0.925,0.7419354838709677,0.1830645161290323,0.043759094747372156,0.31689243679163037,40,62,10000
