player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0040218,Jimmy Horn,WR,CAR,ATL,2026,2,0.8706261615371624,00-0040218,12523,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,5.0,4.0,1.04,none,,,,,,,4.17173306123485,0.6737461576489844,,,25.0,22.5,1.0
00-0040782,Isaiah Bond,WR,CLE,TB,2026,2,0.8525675339884269,00-0040782,12503,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,4.0,4.0,1.82,none,,,,,,,8.041222647923538,0.6124475881137067,,,29.0,16.0,1.0
00-0040590,Konata Mumpfield,WR,LA,NYG,2026,2,0.8427572886180632,00-0040590,12718,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,5.0,5.0,1.82,none,,,,,,,8.79242318316977,1.0154396248542104,,,4.0,27.75,1.0
00-0038621,DeMario Douglas,WR,NE,PIT,2026,2,0.6543354705196593,00-0038621,9501,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,2.0,2.0,6.65,none,,,,,,,1.1212379072052203,0.4677283590590932,,,1.0,23.75,1.0
00-0039062,Jonathan Mingo,WR,DAL,WAS,2026,2,0.6432394800396318,00-0039062,10225,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,5.0,5.0,0.46,none,,,,,,,3.225757997325728,0.2952271994454511,,,12.0,27.0,1.0
sleeper:13320,Zachariah Branch,WR,ATL,CAR,2026,2,0.6350973495407756,,13320,synthetic_sleeper,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,3.0,3.0,2.61,none,,,,,,,6.433318023391019,0.721986924767482,,,19.0,21.0,1.0
sleeper:13533,Barion Brown,WR,NO,BAL,2026,2,0.6249428078326419,,13533,synthetic_sleeper,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,4.0,4.0,2.51,none,,,,,,,6.5038311474317805,1.0401886629979937,,,8.0,19.25,1.0
00-0038090,Skyy Moore,WR,GB,NYJ,2026,2,0.6093774172644122,00-0038090,8168,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,4.0,4.0,0.94,none,,,,,,,1.8639499602514786,0.16459633738287247,,,24.0,24.25,1.0
00-0038104,Tyquan Thornton,WR,KC,IND,2026,2,0.566200004953853,00-0038104,8188,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,3.0,3.0,5.12,none,,,,,,,8.288156870449788,0.5334036346011242,,,32.0,27.0,1.0
sleeper:13394,Josh Cameron,WR,JAX,DEN,2026,2,0.5497247381966904,,13394,synthetic_sleeper,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,6.0,5.0,1.19,none,,,,,,,1.4070614701581103,0.011125049263126928,,,3.0,21.0,1.0
