player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj
00-0031408,Mike Evans,WR,SF,LA,2026,1,8.002362840721219,00-0031408,2216,sleeper_gsis,2026_01_SF_LA,2026-09-10 20:35:00-04:00,1.0,1.0,10.82
00-0033921,Chris Godwin,WR,TB,CIN,2026,1,7.967163060521729,00-0033921,4037,sleeper_gsis,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,2.0,2.0,8.87
00-0038559,Michael Wilson,WR,ARI,LAC,2026,1,7.795290538752507,00-0038559,10232,historical_crosswalk,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,2.0,2.0,9.36
00-0036407,Jerry Jeudy,WR,CLE,JAX,2026,1,7.5898748303201335,00-0036407,6783,historical_crosswalk,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,1.0,1.0,6.1
00-0037238,Drake London,WR,ATL,PIT,2026,1,7.53085713090132,00-0037238,8112,historical_crosswalk,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,1.0,1.0,13.19
00-0035659,Terry McLaurin,WR,WAS,PHI,2026,1,7.383758458284565,00-0035659,5927,sleeper_gsis,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,1.0,1.0,11.26
00-0037740,Garrett Wilson,WR,NYJ,TEN,2026,1,7.327067631851591,00-0037740,8146,historical_crosswalk,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,1.0,1.0,11.15
00-0034348,Courtland Sutton,WR,DEN,KC,2026,1,7.089717035749209,00-0034348,5045,sleeper_gsis,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,2.0,2.0,8.82
00-0036358,CeeDee Lamb,WR,DAL,NYG,2026,1,7.084434058009724,00-0036358,6786,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,1.0,1.0,14.11
00-0038117,Wan'Dale Robinson,WR,TEN,NYJ,2026,1,7.051250871007198,00-0038117,8126,historical_crosswalk,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,2.0,2.0,7.89
00-0039064,Zay Flowers,WR,BAL,IND,2026,1,7.035053695641989,00-0039064,9997,historical_crosswalk,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,1.0,1.0,12.86
00-0034827,DJ Moore,WR,BUF,HOU,2026,1,6.732816581836705,00-0034827,4983,sleeper_gsis,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,1.0,1.0,10.02
00-0036613,Jaylen Waddle,WR,DEN,KC,2026,1,6.693183434351064,00-0036613,7526,historical_crosswalk,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,1.0,1.0,12.2
00-0039893,Brian Thomas,WR,JAX,CLE,2026,1,6.54200120555493,00-0039893,11631,historical_crosswalk,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,2.0,2.0,8.79
00-0036410,Tee Higgins,WR,CIN,TB,2026,1,6.48119820297891,00-0036410,6801,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,2.0,2.0,13.32
00-0038994,Jordan Addison,WR,MIN,GB,2026,1,6.429870475283567,00-0038994,9756,historical_crosswalk,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,2.0,2.0,9.48
00-0034960,Jakobi Meyers,WR,JAX,CLE,2026,1,6.3524357843297565,00-0034960,5947,sleeper_gsis,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,3.0,3.0,8.5
00-0040735,Luther Burden,WR,CHI,CAR,2026,1,6.299576616734822,00-0040735,12519,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,2.0,2.0,11.14
00-0038563,Tre Tucker,WR,LV,MIA,2026,1,6.154856935752019,00-0038563,10213,historical_crosswalk,2026_01_MIA_LV,2026-09-13 16:25:00-04:00,1.0,1.0,8.0
00-0031588,Stefon Diggs,WR,WAS,PHI,2026,1,6.12623574707652,00-0031588,2449,sleeper_gsis,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,2.0,2.0,9.16
00-0034837,Calvin Ridley,WR,TEN,NYJ,2026,1,6.1011214001655425,00-0034837,4981,sleeper_gsis,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,3.0,3.0,5.6
00-0031381,Davante Adams,WR,LA,SF,2026,1,5.996740204037205,00-0031381,2133,sleeper_gsis,2026_01_SF_LA,2026-09-10 20:35:00-04:00,2.0,2.0,10.35
00-0039849,Marvin Harrison,WR,ARI,LAC,2026,1,5.942793819363798,00-0039849,11628,historical_crosswalk,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,1.0,1.0,9.02
00-0038997,Josh Downs,WR,IND,BAL,2026,1,5.881412257894842,00-0038997,9500,historical_crosswalk,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,2.0,2.0,10.17
00-0039919,Rome Odunze,WR,CHI,CAR,2026,1,5.820103480205479,00-0039919,11620,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,1.0,1.0,9.69
00-0035640,DK Metcalf,WR,PIT,ATL,2026,1,5.7032610858984985,00-0035640,5846,sleeper_gsis,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,1.0,1.0,10.11
00-0037247,George Pickens,WR,DAL,NYG,2026,1,5.510990713422611,00-0037247,8137,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,2.0,2.0,13.92
00-0036259,Jauan Jennings,WR,MIN,GB,2026,1,5.432487664228393,00-0036259,7049,historical_crosswalk,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,3.0,3.0,6.75
00-0036252,Michael Pittman,WR,PIT,ATL,2026,1,5.385369406036958,00-0036252,6819,historical_crosswalk,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,2.0,2.0,8.67
00-0037261,Khalil Shakir,WR,BUF,HOU,2026,1,5.381299515404552,00-0037261,8134,historical_crosswalk,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,2.0,2.0,9.11
00-0033555,Mack Hollins,WR,NE,SEA,2026,1,5.3549194756992184,00-0033555,4177,sleeper_gsis,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,4.0,4.0,2.95
