player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score,actual_half_ppr,projection_error,absolute_error
00-0032951,Laquon Treadwell,WR,IND,HOU,2026,3,0.934272051995884,00-0032951,3155,sleeper_gsis,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,4.0,3.0,2.38,none,,,,,,,1.097216753219534,0.0163403974252106,,,22.0,20.5,1.0,,,
00-0040131,Kyle Williams,WR,NE,JAX,2026,3,0.9243605694029656,00-0040131,12547,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,4.0,4.0,2.69,none,,,,,,,9.882949175670628,0.9702842091015864,,,1.0,21.25,1.0,,,
sleeper:13296,Caleb Douglas,WR,MIA,KC,2026,3,0.7265360526330561,,13296,synthetic_sleeper,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,2.0,2.0,5.9,Questionable,,,,,,,8.261840000042927,1.081225801804694,,,26.0,17.25,0.5,,,
00-0038104,Tyquan Thornton,WR,KC,MIA,2026,3,0.6910534657941128,00-0038104,8188,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,3.0,3.0,5.95,none,,,,,,,7.687055425716704,0.4851513210276879,,,32.0,28.75,1.0,,,
sleeper:13298,KC Concepcion,WR,CLE,CAR,2026,3,0.6837030839214794,,13298,synthetic_sleeper,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,2.0,2.0,7.35,none,,,,,,,3.263209796332598,0.2679193605044805,,,29.0,19.5,1.0,,,
00-0038621,DeMario Douglas,WR,NE,JAX,2026,3,0.6538977543097712,00-0038621,9501,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,3.0,3.0,5.93,none,,,,,,,1.9440190503237555,0.2892540568004849,,,1.0,21.25,1.0,,,
sleeper:13320,Zachariah Branch,WR,ATL,GB,2026,3,0.6226579089820885,,13320,synthetic_sleeper,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,4.0,4.0,2.75,none,,,,,,,6.163625997963417,0.54025469576049,,,19.0,19.0,1.0,,,
sleeper:13533,Barion Brown,WR,NO,LV,2026,3,0.6134906519434493,,13533,synthetic_sleeper,2026_03_LV_NO,2026-09-27 16:25:00-04:00,4.0,4.0,1.56,none,,,,,,,7.207752671419266,1.2407640535078932,,,8.0,23.5,1.0,,,
00-0038090,Skyy Moore,WR,GB,ATL,2026,3,0.5986921910707096,00-0038090,8168,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,4.0,3.0,3.76,none,,,,,,,1.8459132848645692,0.2695628851095304,,,24.0,25.5,1.0,4.6,4.00130780892929,4.00130780892929
00-0039062,Jonathan Mingo,WR,DAL,BAL,2026,3,0.572469346216808,00-0039062,10225,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,5.0,5.0,0.35,none,,,,,,,4.598414512283105,0.3968127583472985,,,12.0,24.75,1.0,,,
