"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Nico Collins","WR","HOU",6,191,14.3,0.109,175,217,64,69.8,61.6,27,24,24,5,"2",27,14.9,45.4,8,4
"Puka Nacua","WR","LAR",8,191,14,0.105,172,212,63.9,67.6,57.5,28,25,29,6,"2",25,16.2,42.4,4,2
"Kenneth Walker III","RB","SEA",8,180,14,4.76,151,192,63.8,66.9,39.1,29,27,40,19,"6",25,40.2,22.3,14,3
"Brian Thomas Jr.","WR","JAC",8,191,21.1,7.33,163,225,63.8,58.6,69.6,30,34,20,7,"2",23,18,39.6,49,1
"Brock Bowers","TE","LVR",8,151,5.99,4,142,159,63.3,67.4,54.2,31,26,31,1,"1",23,27.9,32.9,1,1
"George Kittle","TE","SF",14,147,12.5,2.45,132,168,59.3,56.8,62.7,32,36,22,2,"1",32,39.2,24.2,31,8
"TreVeyon Henderson","RB","NE",14,175,18.4,1.86,156,206,59.1,71.8,52.8,33,22,33,20,"6",23,47.6,22.6,37,0
"D'Andre Swift","RB","CHI",5,173,20.8,7.57,145,211,57.2,61.2,58.1,34,31,28,21,"6",27,58.2,15.8,42,5
"Trey McBride","TE","ARI",8,145,6.23,21.8,135,152,56.8,60.3,47.1,35,32,36,3,"2",26,36,28.5,3,3
"Amon-Ra St. Brown","WR","DET",8,184,14,7.62,168,202,56.4,63.5,47.5,36,28,35,8,"3",26,14.2,47.3,5,4
"Joe Burrow","QB","CIN",10,323,15.1,19.7,301,345,52.2,41.7,46.8,37,49,37,5,"4",29,29.3,24.5,3,5
"Tony Pollard","RB","TEN",10,165,15.6,0.808,135,186,49.6,50.7,32.7,38,42,42,22,"6",29,65.1,15.4,23,6
"David Montgomery","RB","DET",8,165,11.9,5.33,147,177,48.8,62.7,24.1,40,30,52,23,"6",29,61.3,13.3,8,6
"Drake London","WR","ATL",5,176,20.2,1.18,159,220,48.8,54.3,64.7,39,39,21,9,"3",24,23.1,37.8,48,3
"A.J. Brown","WR","PHI",9,175,13.5,6.47,159,197,47.6,53.9,42.3,41,40,38,10,"3",29,23.1,36.2,3,6
"Aaron Jones","RB","MIN",6,159,10.7,3.71,139,173,43.5,55.1,19.4,42,38,60,24,"7",31,68.1,13.7,1,8
"Tyreek Hill","WR","MIA",12,168,8.93,2.04,157,187,41.2,52.1,31.7,43,41,45,11,"3",32,36.4,28.1,14,9
"RJ Harvey","RB","DEN",12,156,11.2,2.16,139,175,39.8,55.1,22,44,37,55,25,"7",25,62.8,15.1,18,0
"Mike Evans","WR","TB",9,166,13,1,155,189,39.1,50,34.1,45,43,41,12,"4",32,38.6,23.8,11,11
"Tee Higgins","WR","CIN",10,165,16.4,0.155,137,186,38.1,31.9,30.6,46,56,46,13,"4",27,32.4,27.6,33,5
"Ladd McConkey","WR","LAC",12,165,17.8,1.85,150,194,38,44.8,39.5,47,46,39,14,"4",24,30.2,29.6,36,1
"Tyrone Tracy","RB","NYG",14,153,15.5,1.94,129,172,37.6,45.2,19.1,48,45,61,26,"7",26,83.2,8.3,25,1
"Terry McLaurin","WR","WAS",12,163,12.7,2.39,149,187,36.1,44,32.3,49,47,43,15,"4",30,39.7,22.5,27,6
"Isiah Pacheco","RB","KC",10,152,21.6,9.1,113,173,35.7,28.7,19.8,50,61,58,27,"8",27,64.3,14.4,45,3
"Sam LaPorta","TE","DET",8,123,7.75,7.83,112,134,35,36.6,29,51,50,47,4,"3",25,57.1,11.4,9,2
"Davante Adams","WR","LAR",8,161,16.5,5.01,140,182,33.8,35,27.1,52,52,50,16,"4",33,41.4,23.6,41,11
"Patrick Mahomes","QB","KC",10,303,12.6,9.24,284,320,32.5,24.7,21,53,64,56,6,"5",30,47.3,16.5,14,8
"Jaxon Smith-Njigba","WR","SEA",8,156,14.8,0.451,139,184,28.7,34.3,28.6,54,53,48,17,"4",24,40.2,24.1,38,2
"Marvin Harrison Jr.","WR","ARI",8,156,11.1,0.415,137,174,28.3,32.3,19.1,55,55,62,18,"4",23,43.9,19.8,22,1
"DK Metcalf","WR","PIT",5,155,5.93,2.3,147,166,27.9,42.2,10.8,56,48,83,19,"4",28,50.3,16.8,1,6
"Mark Andrews","TE","BAL",7,115,7.78,9.47,107,125,27.2,32.4,19.5,57,54,59,5,"4",30,74.5,7.39,17,7
"Jaylen Warren","RB","PIT",5,142,25.9,5.92,115,185,26.6,31.4,31.8,58,58,44,28,"8",27,92.6,6.69,62,3
"Jameson Williams","WR","DET",8,153,11.4,1.15,134,172,25.6,29.5,16.9,59,60,66,20,"4",25,61.8,11.1,26,3
"Courtland Sutton","WR","DEN",12,152,11.3,2.53,140,172,24.4,35.1,16.8,60,51,67,21,"5",30,56.5,17.6,19,7
"Kyler Murray","QB","ARI",8,294,17.3,4.49,271,321,23.3,12.5,22.4,61,80,54,7,"5",28,84.8,7.11,31,6
"Zay Flowers","WR","BAL",7,149,10.3,0.0642,127,158,21.9,22.2,3.21,62,67,109,22,"5",25,66.9,10,12,2
"Calvin Ridley","WR","TEN",10,149,13.1,2.14,132,172,21.8,27.4,17.2,63,62,65,23,"5",31,68.2,12.9,30,7
"Kaleb Johnson","RB","PIT",5,137,17.7,5.61,111,166,20.6,27.2,13,64,63,74,29,"8",22,82.3,8.06,55,0
"D.J. Moore","WR","CHI",5,147,11.2,0.125,136,169,19.7,31.5,14.2,65,57,72,24,"5",29,56,14.6,25,7
"Garrett Wilson","WR","NYJ",9,147,9.77,3.15,135,166,19.6,29.8,11.1,66,59,81,25,"5",25,48,19.9,7,3
"Brian Branch","DB","DET",8,124,24.9,8.47,104,150,19,16.9,22.9,67,69,53,1,"1",24,NA,6.48,33,2
"Baker Mayfield","QB","TB",9,289,15.6,0.785,267,308,18.8,8.36,9.37,68,94,90,8,"5",31,57.5,10.9,36,7
"Bo Nix","QB","DEN",12,289,15.8,6.11,263,313,18,4.11,14.4,69,106,71,9,"5",26,67.6,9.31,22,1
"T.J. Hockenson","TE","MIN",6,105,9.24,4.13,91.2,118,17.7,16.2,12.3,70,71,77,6,"5",29,71.3,8.39,26,6
"Aidan Hutchinson","DL","DET",8,84.2,10.6,0.744,75.2,95.1,16.6,16.9,11,71,68,82,1,"1",25,NA,18,3,3
"Aidan Hutchinson","DL","DET",8,84.2,10.6,0.744,75.2,95.1,16.6,16.9,11,71,68,82,1,"1",25,NA,18,3,3
"Tetairoa McMillan","WR","CAR",14,144,13.4,2.44,121,165,16.4,15.8,9.63,72,72,88,26,"5",23,66.4,13.6,51,0
"Maxx Crosby","DL","LVR",8,83.4,13,6.72,73.6,97.2,15.8,15.3,13.1,73,73,73,2,"1",28,96.2,17.2,13,6
"Javonte Williams","RB","DAL",10,131,27.8,7.18,100,172,15,16.4,18.3,74,70,64,30,"9",26,116,6.29,72,4
"DeVonta Smith","WR","PHI",9,141,13.2,1.51,129,165,14,24.2,10.1,75,65,87,27,"5",27,61.6,12.5,23,4
"Travis Kelce","TE","KC",10,101,10.5,1.64,86.1,118,13.6,11,12.5,76,84,76,7,"5",36,67,12,29,12
"Zack Baun","LB","PHI",9,130,38.1,6.38,101,170,12.8,10,15.3,77,87,69,1,"1",29,NA,14.7,57,5
"George Pickens","WR","DAL",10,140,8.42,0.331,129,154,12.5,24.1,-0.983,78,66,135,28,"5",25,67.6,11.6,10,3
"Xavier Worthy","WR","KC",10,139,15.6,0.158,114,159,12.1,8.96,4.5,79,88,102,29,"5",23,56.5,13,53,1
"Xavier Worthy","WR","KC",10,139,15.6,0.158,114,159,12.1,8.96,4.5,79,88,102,29,"5",23,56.5,13,53,1
"Jerry Jeudy","WR","CLE",9,139,14.5,2,119,166,12,14.6,11.3,80,74,80,30,"6",27,84.2,8.33,45,5
"Brock Purdy","QB","SF",14,283,10.4,3.23,266,300,11.9,6.87,1.84,82,98,116,10,"6",26,89,5.85,67,3
"David Njoku","TE","CLE",9,99.7,6.68,0.261,87.4,105,11.9,12.3,0,81,81,130,8,"5",30,90.5,5.98,23,8
"Tyler Warren","TE","IND",11,99.4,12.6,3.21,80.4,124,11.7,5.4,18.6,84,102,63,9,"5",24,98.4,7.77,60,0
"Brandon Aubrey","K","DAL",10,158,15,7.69,136,171,11.7,0,15.5,83,130,68,1,"1",31,109,4.17,13,2
"Budda Baker","DB","ARI",8,116,29.6,1.87,96.2,147,10.6,8.71,20,85,92,57,2,"1",30,NA,9.65,50,8
"Deebo Samuel","WR","WAS",12,137,16.3,1.77,119,167,9.98,14.1,12,86,75,78,31,"6",30,90.1,7.9,59,6
"Andrew Van Ginkel","DL","MIN",6,76.7,16.8,4.13,66.1,94.7,9.09,7.78,10.5,87,95,85,3,"1",31,NA,9.77,45,6
"Andrew Van Ginkel","DL","MIN",6,76.7,16.8,4.13,66.1,94.7,9.09,7.78,10.5,87,95,85,3,"1",31,NA,9.77,87,6
"Kyle Hamilton","DB","BAL",7,114,16.4,2.52,101,131,8.71,13.7,3.77,88,77,108,3,"1",25,NA,14.8,10,3
"Justin Fields","QB","NYJ",9,279,10.5,0.887,267,294,8.67,7.7,-4.6,89,96,165,11,"6",27,106,4.56,72,4
"Tucker Kraft","TE","GB",5,96.2,12,5.43,74.2,115,8.46,-0.852,10.2,90,134,86,10,"6",25,106,3.96,43,2
"Travis Hunter","WR","JAC",8,135,18.6,3.43,115,170,8.21,10.5,14.9,91,86,70,32,"6",23,77.3,8.89,73,0
"Travis Hunter","WR","JAC",8,135,18.6,3.43,115,170,8.21,10.5,14.9,91,86,70,32,"6",23,77.3,8.89,99,0
"Austin Ekeler","RB","WAS",12,124,17.8,2.33,96.1,155,7.86,12.1,1.44,92,82,120,31,"9",31,109,6.94,63,NA
"Justin Herbert","QB","LAC",12,278,13.2,7.78,261,299,7.78,2.07,0,93,118,130,12,"6",28,111,5.5,39,5
"Zaire Franklin","LB","IND",11,123,36.4,1.5,100,162,6.38,8.73,7.62,94,91,94,2,"1",30,NA,17.1,18,7
"Jessie Bates","DB","ATL",5,111,13.7,2.63,101,126,6.19,13.1,-1.66,95,78,143,4,"1",29,NA,13.7,7,7
"J.K. Dobbins","RB","DEN",12,121,18.9,2.96,95.2,155,5.53,11.3,2.15,96,83,114,32,"9",27,102,6.36,59,5
"T.J. Watt","DL","PIT",5,72.6,11.4,1.16,62.4,84.1,4.95,4.08,0,97,107,130,4,"1",31,NA,16.2,12,8
"T.J. Watt","DL","PIT",5,72.6,11.4,1.16,62.4,84.1,4.95,4.08,0,97,107,130,4,"1",31,NA,16.2,58,8
"Alex Singleton","LB","DEN",12,122,55.2,1.24,86.1,181,4.88,-5.41,26.2,98,173,51,3,"1",32,NA,10.4,90,10
"Rome Odunze","WR","CHI",5,132,14,2.57,114,151,4.77,8.88,-3.47,99,89,158,33,"6",24,87.1,7.12,44,1
"Chase McLaughlin","K","TB",9,150,8.91,2.12,133,160,4,-3.11,3.98,100,148,106,2,"1",30,139,1.74,26,6
"Trey Hendrickson","DL","CIN",10,71.4,10.4,0.969,61.3,81.3,3.79,3.01,-2.8,101,112,152,5,"2",31,NA,7.34,9,8
"Robert Spillane","LB","NE",14,121,35.8,0.743,97.2,159,3.63,5.76,4.12,102,101,105,4,"1",30,NA,9.48,34,7
"Reed Blankenship","DB","PHI",9,109,17.9,0.441,94.1,127,3.57,6.62,0,103,99,130,5,"1",27,NA,6.7,17,3
"Julian Love","DB","SEA",8,108,12.7,1.19,100,122,3.13,12.6,-5.49,104,79,172,6,"1",28,NA,7.15,5,6
"Kyle Pitts","TE","ATL",5,90.8,4.9,1.78,83.9,97.4,3.04,8.85,-7.85,105,90,190,11,"6",25,135,4.35,11,4
"Roquan Smith","LB","BAL",7,120,44.7,1.14,91.5,168,2.89,-0.0158,12.9,106,131,75,5,"1",29,106,29.7,56,7
"Jonathan Greenard","DL","MIN",6,70.4,11.7,0.627,60.1,82.2,2.82,1.77,-1.9,107,120,144,6,"2",29,NA,7.1,14,5
"Jonathan Greenard","DL","MIN",6,70.4,11.7,0.627,60.1,82.2,2.82,1.77,-1.9,107,120,144,6,"2",29,NA,7.1,50,5
"Rhamondre Stevenson","RB","NE",14,118,22,2.24,87.8,144,2.56,3.85,-9.5,108,109,205,33,"9",28,116,4.29,56,4
"Jaylen Waddle","WR","MIA",12,129,14.3,1.53,105,148,2.2,0,-7.33,109,130,185,34,"6",27,79.7,11,42,4
"Nick Bosa","DL","SF",14,69.8,15.6,1.6,58.3,86.3,2.2,0,2.2,110,130,112,7,"2",28,NA,12.1,27,6
"Kerby Joseph","DB","DET",8,107,7.88,0.285,98.4,112,1.93,10.9,-14.9,111,85,254,7,"1",25,NA,11.9,3,3
"Jake Bates","K","DET",8,148,3.87,0.288,145,156,1.88,8.59,0.199,112,93,129,3,"1",27,130,2.25,10,2
"Kaden Elliss","LB","ATL",5,119,37.7,0.0253,96.1,159,1.75,4.65,4.33,113,105,103,6,"1",31,NA,16.9,44,6
"Fred Warner","LB","SF",14,119,32.3,0.48,98.7,153,1.72,7.27,-1.42,114,97,140,7,"1",29,109,16.2,13,7
"Kevin Byard","DB","CHI",5,107,27.6,0.61,83.5,135,1.65,-3.95,7.83,115,156,93,8,"1",32,NA,9.22,52,9
"Kaimi Fairbairn","K","HOU",6,148,7.17,0.429,139,158,1.59,3.23,2.16,116,110,113,4,"1",32,149,1.52,29,9
"Evan Engram","TE","DEN",12,89,10.9,1.26,75,107,1.26,0,1.62,117,130,119,12,"6",31,96.9,6.65,51,8
"Daiyan Henley","LB","LAC",12,118,38.6,0.689,94.4,159,1.24,2.9,4.75,118,113,100,8,"1",26,NA,6.89,62,2
"Matt Gay","K","WAS",12,147,7.18,0.122,139,160,1.16,2.69,4.33,119,114,104,5,"1",32,161,1.5,58,6
"Cameron Dicker","K","LAC",12,147,9.45,0.062,129,158,1.04,-6.84,2.36,120,180,111,6,"1",26,127,2.48,1,3
"Antoine Winfield","DB","TB",9,106,21.4,1.04,88.4,128,1.04,0.909,0.938,121,126,126,9,"1",27,NA,8.59,22,5
"Broncos","DST","DEN",12,96.9,8.95,0.856,87.3,113,1.01,0.576,6.32,122,127,97,1,"1",NA,105,3.64,10,NA
"Jake Elliott","K","PHI",9,147,3.6,0.978,140,151,0.978,4,-5,123,108,168,7,"1",31,149,1.84,16,8
"Jakobi Meyers","WR","LVR",8,128,11.7,0.674,110,150,0.674,4.86,-5.39,124,103,171,35,"6",29,99,6,16,6
"Micah Parsons","DL","GB",5,68.2,14.1,0.435,56.3,82.8,0.597,-2,-1.33,125,141,138,8,"2",27,NA,20.4,26,4
"Micah Parsons","DL","GB",5,68.2,14.1,0.435,56.3,82.8,0.597,-2,-1.33,125,141,138,8,"2",27,NA,20.4,66,4
"Foyesade Oluokun","LB","JAC",8,117,35.3,0.555,92.6,155,0.555,1.09,0.354,126,124,128,9,"1",30,NA,24.4,31,7
"Zach Charbonnet","RB","SEA",8,116,16.9,0.318,97.9,143,0.318,14,-10.3,127,76,214,34,"9",25,110,5.85,38,2
"DeForest Buckner","DL","IND",11,67.8,26.2,0.162,45.6,94.9,0.162,-12.7,10.8,128,228,84,9,"2",32,NA,4.37,88,9
"Texans","DST","HOU",6,96,7.92,0.151,85.6,108,0.151,-1.14,1.12,129,136,124,2,"1",NA,134,1.72,16,NA
"Caleb Williams","QB","CHI",5,271,16.1,5.07,259,306,0,0,7.16,130,130,96,13,"6",24,108,4.76,83,1
"Travis Etienne","RB","JAC",8,116,21.9,6.62,84,143,0,0,-10.5,130,130,216,35,"10",27,107,7.37,49,4
"Matthew Golden","WR","GB",5,127,17.5,1.2,98,157,0,-6.75,1.63,130,179,118,36,"6",22,95.7,8.06,64,0
"Dallas Goedert","TE","PHI",9,87.7,10.9,0.331,65.5,100,0,-9.58,-5.18,130,204,169,13,"6",31,133,2.72,40,7
"Harrison Butker","K","KC",10,146,4.9,0.406,139,154,0,3.15,-2.17,130,111,146,8,"1",30,149,1.88,19,8
"Ravens","DST","BAL",7,95.9,6.31,1.99,89.2,107,0,2.41,0,130,117,130,3,"2",NA,124,1.85,3,NA
"Nik Bonitto","DL","DEN",12,67.6,8.22,0.403,60,75.7,0,1.71,-8.41,130,121,195,10,"2",26,NA,7.08,6,3
"Nik Bonitto","DL","DEN",12,67.6,8.22,0.403,60,75.7,0,1.71,-8.41,130,121,195,10,"2",26,NA,7.08,55,3
"Ernest Jones","LB","SEA",8,117,39,2.86,91.5,159,0,0,3.92,130,130,107,10,"1",26,NA,10.1,48,4
"Ernest Jones","LB","SEA",8,117,39,2.86,91.5,159,0,0,3.92,130,130,107,10,"1",26,NA,10.1,48,4
"Nick Cross","DB","IND",11,105,29.9,1.34,82.4,137,0,-5.08,9.38,130,166,89,10,"1",24,NA,8.66,71,3
"Colston Loveland","TE","CHI",5,87.4,18.8,2.27,52.1,114,-0.331,-23,9.01,131,331,91,14,"6",22,124,4.39,91,0
"Jeffery Simmons","DL","TEN",10,67.2,23,0.0714,51.2,91.7,-0.403,-7.07,7.57,132,182,95,11,"2",28,NA,6.91,79,6
"Chris Boswell","K","PIT",5,146,4.21,2.05,142,152,-0.406,5.96,-3.63,133,100,159,9,"1",35,141,1.63,65,11
"Bradley Chubb","DL","MIA",12,67.1,9.75,0.0721,59.4,77.3,-0.474,1.05,-6.78,134,125,180,12,"2",30,NA,6.14,44,7
"Bradley Chubb","DL","MIA",12,67.1,9.75,0.0721,59.4,77.3,-0.474,1.05,-6.78,134,125,180,12,"2",30,NA,6.14,41,7
"Brian Burns","DL","NYG",14,67.1,16.8,0.19,57.1,85.1,-0.546,-1.26,0.979,135,137,125,13,"2",28,NA,8.42,40,6
"Brian Burns","DL","NYG",14,67.1,16.8,0.19,57.1,85.1,-0.546,-1.26,0.979,135,137,125,13,"2",28,NA,8.42,92,6
"Myles Garrett","DL","CLE",9,66.9,7.17,0.951,60.2,73.9,-0.736,1.89,-10.2,136,119,211,14,"2",30,103,17.4,1,8
"Chris Olave","WR","NO",11,126,16.2,0.339,103,156,-1.2,-1.96,1.25,137,139,121,37,"6",26,89.8,7.19,52,3
"DeShon Elliott","DB","PIT",5,104,33,1.75,79.4,139,-1.34,-8.09,11.4,138,190,79,11,"1",29,NA,9.46,79,7
"Ricky Pearsall","WR","SF",14,126,20,0.467,94.1,157,-1.54,-10.7,1.8,139,213,117,38,"6",25,88.5,8.59,75,1
"Danielle Hunter","DL","HOU",6,65.9,11.7,0.681,54,76.7,-1.69,-4.27,-7.41,140,160,186,15,"2",31,NA,9.05,21,10
"Danielle Hunter","DL","HOU",6,65.9,11.7,0.681,54,76.7,-1.69,-4.27,-7.41,140,160,186,15,"2",31,NA,9.05,76,10
"Eagles","DST","PHI",9,93.9,7.94,3.27,79.3,102,-1.99,-7.43,-4.02,141,186,163,4,"3",NA,113,2.09,13,NA
"Jauan Jennings","WR","SF",14,125,12.4,5.07,105,146,-2,-0.0439,-8.93,142,132,201,39,"7",29,110,4.85,32,5
"Alex Highsmith","DL","PIT",5,65.2,14.3,0.52,54.2,80.2,-2.37,-4.1,-3.87,143,158,160,16,"2",28,NA,6.79,30,5
"Alex Highsmith","DL","PIT",5,65.2,14.3,0.52,54.2,80.2,-2.37,-4.1,-3.87,143,158,160,16,"2",28,NA,6.79,67,5
"Evan McPherson","K","CIN",10,144,8.64,0.596,133,158,-2.46,-2.98,2.57,144,147,110,10,"1",26,165,1.62,42,4
"Dalton Kincaid","TE","BUF",7,85.1,4.08,0.214,79.9,90.4,-2.6,4.81,-14.8,145,104,253,15,"6",26,134,2.68,6,2
"Hunter Henry","TE","NE",14,84.9,12.6,0.756,60.3,98,-2.81,-14.7,-7.18,146,249,184,16,"6",31,149,2.25,71,9
"Jamien Sherwood","LB","NYJ",9,114,38,1.39,89.9,155,-2.86,-1.55,0,147,138,130,11,"1",26,NA,10.4,39,4
"Anfernee Jennings","DL","NE",14,64.7,16.3,0.375,53.3,75.7,-2.89,-4.98,-8.4,148,164,194,17,"2",29,NA,NA,97,5
"Wil Lutz","K","DEN",12,143,4.94,0.621,139,153,-3.05,2.62,-3.11,149,116,155,11,"1",32,155,1.58,32,9
"Jordan Battle","DB","CIN",10,102,21.6,0.189,86.4,125,-3.09,-1.06,-2.32,150,135,148,12,"1",25,NA,5.45,45,2
"Leonard Williams","DL","SEA",8,64.3,17.9,0.633,49,82.6,-3.26,-9.33,-1.48,151,201,141,18,"2",32,NA,6.24,63,10
"Trevon Moehrig","DB","CAR",14,102,21.8,0.381,83.4,124,-3.28,-4.06,-3.11,152,157,156,13,"1",27,NA,6.74,36,4
"Zach Ertz","TE","WAS",12,84.1,10.9,2.09,71.4,104,-3.57,-3.64,-0.884,153,153,134,17,"7",35,145,2.43,63,12
"Jeremy Chinn","DB","LVR",8,101,25.3,0.0189,84.2,128,-3.66,-3.28,1.14,154,151,123,14,"1",28,NA,6.58,38,5
"Tyler Loop","K","BAL",7,142,4.21,0.966,134,145,-3.67,-2.49,-11.1,155,145,220,12,"1",24,164,1.95,68,0
"Derwin James","DB","LAC",12,101,17.9,1.11,89.2,120,-3.68,1.66,-6.84,156,122,181,15,"1",29,NA,12.4,12,7
"Gregory Rousseau","DL","BUF",7,63.7,15.9,0.0327,50.2,80.2,-3.9,-8.06,-3.94,157,189,161,19,"2",26,NA,9.14,34,4
"Will Anderson","DL","HOU",6,63.7,11.1,0.0709,53.3,74.5,-3.93,-5,-9.59,158,165,206,20,"2",24,NA,9.36,8,2
"Harold Landry","DL","NE",14,63.6,13.7,0.353,54.1,78.2,-4,-4.18,-5.93,159,159,174,21,"2",30,NA,4.22,28,7
"Harold Landry","DL","NE",14,63.6,13.7,0.353,54.1,78.2,-4,-4.18,-5.93,159,159,174,21,"2",30,NA,4.22,69,7
"Jordyn Brooks","LB","MIA",12,113,38.9,2,86.3,154,-4.25,-5.15,-0.486,160,167,132,12,"1",28,NA,7.78,51,5
"Derrick Brown","DL","CAR",14,63.3,21.7,1.25,44.1,85.3,-4.35,-14.2,1.23,161,240,122,22,"2",28,NA,NA,83,5
"Younghoe Koo","K","ATL",5,141,9.08,1.06,133,156,-4.64,-3.21,0,162,150,130,13,"2",31,162,1.39,45,8
"Brandon Jones","DB","DEN",12,100,20.3,0.836,80.6,120,-4.8,-6.88,-7.69,163,181,188,16,"2",28,NA,7.46,21,5
"Jared Goff","QB","DET",8,266,19.2,1.75,247,299,-5.07,-11.7,0.46,164,222,127,14,"7",31,101,6.15,75,9
"Vikings","DST","MIN",6,90.6,4.01,0.0797,86.8,98.3,-5.25,0,-8.25,165,130,192,5,"3",NA,138,1.51,1,NA
"Rams","DST","LAR",8,90.5,7.4,0.879,81.4,100,-5.33,-5.4,-6.19,166,172,176,6,"4",NA,162,0.767,23,NA
"Jaelan Phillips","DL","MIA",12,62,14.9,0.349,50.1,77.5,-5.6,-8.25,-6.57,167,191,179,23,"2",27,NA,6.34,71,4
"Jaelan Phillips","DL","MIA",12,62,14.9,0.349,50.1,77.5,-5.6,-8.25,-6.57,167,191,179,23,"2",27,NA,6.34,93,4
"Grant Delpit","DB","CLE",9,99.4,22.3,0.247,85.1,123,-5.63,-2.36,-4.01,168,144,162,17,"2",27,NA,6.89,29,5
"Jake Ferguson","TE","DAL",10,82.1,5.87,1.85,75.4,93.9,-5.66,0.408,-11.3,169,128,221,18,"7",27,132,2.72,14,3
"Brandon McManus","K","GB",5,140,10.4,1.75,125,154,-5.7,-11.2,-1.34,170,217,139,14,"2",34,161,1.34,87,11
"Jaquan Brisker","DB","CHI",5,99.2,31.8,0.0758,74.5,133,-5.88,-13,5.33,171,230,99,18,"2",27,NA,6.79,69,3
"Cameron Heyward","DL","PIT",5,61.7,25.2,0.254,46.1,88.7,-5.95,-12.2,4.56,172,225,101,24,"2",37,NA,4.44,91,14
"Camryn Bynum","DB","IND",11,99.1,18.5,0.997,87.5,119,-5.95,0,-8.35,173,130,193,19,"2",27,NA,NA,31,4
"Packers","DST","GB",5,89.6,11.3,1.01,70.8,102,-6.21,-16,-4.84,175,258,167,7,"5",NA,147,1.51,74,NA
