player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
00-0032104,Ameer Abdullah,RB,JAX,DEN,2026,2,1.5414011950918778,00-0032104,2359,sleeper_gsis,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,5.0,4.0,0.22,none
00-0039796,Rasheen Ali,RB,BAL,NO,2026,2,1.3953138249759436,00-0039796,11570,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,3.0,3.0,0.2,none
sleeper:13424,Seth McGowan,RB,IND,KC,2026,2,1.325277633432381,,13424,synthetic_sleeper,2026_02_IND_KC,2026-09-20 20:20:00-04:00,3.0,3.0,2.19,none
00-0029892,Kyle Juszczyk,RB,SF,MIA,2026,2,1.2746350725742417,00-0029892,1379,sleeper_gsis,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,4.0,4.0,1.47,none
00-0039344,Jonathon Brooks,RB,CAR,ATL,2026,2,1.2376796292755898,00-0039344,11583,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,2.0,2.0,5.84,none
00-0038738,Hunter Luepke,RB,DAL,WAS,2026,2,1.2078771716821737,00-0038738,11510,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,2.0,2.0,1.48,none
00-0039875,Ray Davis,RB,BUF,DET,2026,2,1.207096698799001,00-0039875,11575,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,3.0,3.0,3.51,none
00-0038555,Tank Bigsby,RB,PHI,TEN,2026,2,1.1691700600214745,00-0038555,9225,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,2.0,2.0,3.26,none
00-0039794,Braelon Allen,RB,NYJ,GB,2026,2,1.156530136368807,00-0039794,11576,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,2.0,2.0,4.82,none
00-0034975,Justice Hill,RB,BAL,NO,2026,2,1.0971893284738596,00-0034975,5995,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,2.0,2.0,4.51,none
00-0036265,AJ Dillon,RB,CAR,ATL,2026,2,1.044557512266485,00-0036265,6828,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,3.0,3.0,0.41,none
00-0040556,Corey Kiner,RB,NE,PIT,2026,2,0.9150288658502561,00-0040556,12491,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,4.0,4.0,0.55,none
00-0040142,Kaleb Johnson,RB,GB,NYJ,2026,2,0.8171274473577862,00-0040142,12504,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,5.0,3.0,0.85,none
00-0039299,George Holani,RB,SEA,ARI,2026,2,0.7684182652535954,00-0039299,12048,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,3.0,3.0,7.55,none
00-0038685,Chris Brooks,RB,GB,NYJ,2026,2,0.76074900461256,00-0038685,11370,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,2.0,2.0,7.16,none
00-0040198,Ollie Gordon,RB,MIA,SF,2026,2,0.66406577995892,00-0040198,12495,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,3.0,3.0,2.31,none
00-0035125,Alec Ingold,RB,LAC,LV,2026,2,0.5950095140073173,00-0035125,6109,sleeper_gsis,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,4.0,4.0,0.54,none
sleeper:13286,Jadarian Price,RB,SEA,ARI,2026,2,0.576283111719167,,13286,synthetic_sleeper,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,11.08,none
sleeper:13337,Emmett Johnson,RB,KC,IND,2026,2,0.5755634430204649,,13337,synthetic_sleeper,2026_02_IND_KC,2026-09-20 20:20:00-04:00,2.0,2.0,3.33,none
