market,population,universe,panel,threshold,panel_complete_n,split,split_value,n,hits,misses,ties,hit_rate,wilson_lo,wilson_hi,n_ex_ties,hit_rate_ex_ties,mean_actual_gap,median_actual_gap,spearman_consensus_vs_actual_gap,median_adp_overall,too_small_n_lt_10
sleeper_adp,all_adp,A,season_2022,0.0,259,group,veteran,124,88,29,7,0.7096774193548387,0.6244416488936401,0.7823121575763984,117,0.7521367521367521,3.0,1.0,0.6326563345754368,172.25,False
sleeper_adp,all_adp,A,season_2022,5.0,259,all,all,63,49,9,5,0.7777777777777778,0.6608771888656633,0.8627499224738635,58,0.8448275862068966,5.428571428571429,5.0,0.6777532157970397,174.5,False
sleeper_adp,all_adp,A,season_2022,5.0,259,direction,buy,42,34,6,2,0.8095238095238095,0.6669922598996131,0.9001799171835226,40,0.85,15.047619047619047,14.0,0.3363025066356986,229.45,False
sleeper_adp,all_adp,A,season_2022,5.0,259,direction,fade,21,15,3,3,0.7142857142857143,0.5004361928391441,0.8618613704787788,18,0.8333333333333334,-13.80952380952381,-11.0,-0.0062173107733275,74.4,False
sleeper_adp,all_adp,A,season_2022,5.0,259,position,QB,9,8,1,0,0.8888888888888888,0.5650002944233439,0.9801091123614551,9,0.8888888888888888,10.11111111111111,12.0,0.8025210084033615,528.9,True
sleeper_adp,all_adp,A,season_2022,5.0,259,position,RB,18,12,5,1,0.6666666666666666,0.437494672959451,0.837212252491663,17,0.7058823529411765,3.0,1.0,0.4660169336609193,143.05,False
sleeper_adp,all_adp,A,season_2022,5.0,259,position,TE,6,5,0,1,0.8333333333333334,0.4364971778135298,0.9699466302516936,5,1.0,5.666666666666667,8.5,0.4285714285714286,478.15,True
sleeper_adp,all_adp,A,season_2022,5.0,259,position,WR,30,24,3,3,0.8,0.6269430358685175,0.9049489282271012,27,0.8888888888888888,5.433333333333334,7.5,0.8296511502292135,114.7,False
sleeper_adp,all_adp,A,season_2022,5.0,259,season,2022,63,49,9,5,0.7777777777777778,0.6608771888656633,0.8627499224738635,58,0.8448275862068966,5.428571428571429,5.0,0.6777532157970397,174.5,False
sleeper_adp,all_adp,A,season_2022,5.0,259,group,rookie,6,5,0,1,0.8333333333333334,0.4364971778135298,0.9699466302516936,5,1.0,-1.0,1.0,0.898645105261295,157.15,True
sleeper_adp,all_adp,A,season_2022,5.0,259,group,veteran,57,44,9,4,0.7719298245614035,0.6479398895432649,0.8615810950103779,53,0.8301886792452831,6.105263157894737,5.0,0.6606215414489738,174.5,False
sleeper_adp,all_adp,A,season_2022,7.5,259,all,all,41,32,6,3,0.7804878048780488,0.6329499401177383,0.8799682522178243,38,0.8421052631578947,6.780487804878049,5.0,0.6908304557506978,178.5,False
sleeper_adp,all_adp,A,season_2022,7.5,259,direction,buy,26,22,4,0,0.8461538461538461,0.6646880067178652,0.9384996627642164,26,0.8461538461538461,17.653846153846153,17.0,0.2778497670338104,232.55,False
sleeper_adp,all_adp,A,season_2022,7.5,259,direction,fade,15,10,2,3,0.6666666666666666,0.4171354773851977,0.8482367556028526,12,0.8333333333333334,-12.066666666666666,-7.0,0.3791869178307361,73.2,False
sleeper_adp,all_adp,A,season_2022,7.5,259,position,QB,7,6,1,0,0.8571428571428571,0.4868721707256811,0.9743203756552564,7,0.8571428571428571,10.428571428571429,12.0,0.8636363636363636,528.9,True
sleeper_adp,all_adp,A,season_2022,7.5,259,position,RB,12,8,3,1,0.6666666666666666,0.3906220888727995,0.8618799089087867,11,0.7272727272727273,6.75,6.0,0.2120260478220658,150.2,False
sleeper_adp,all_adp,A,season_2022,7.5,259,position,TE,4,3,0,1,0.75,0.3006418425824018,0.9544127391902996,3,1.0,8.0,8.5,0.3999999999999999,636.0,True
sleeper_adp,all_adp,A,season_2022,7.5,259,position,WR,18,15,2,1,0.8333333333333334,0.6077796189608428,0.9416342319413856,17,0.8823529411764706,5.111111111111111,3.0,0.9110656371029284,102.8,False
sleeper_adp,all_adp,A,season_2022,7.5,259,season,2022,41,32,6,3,0.7804878048780488,0.6329499401177383,0.8799682522178243,38,0.8421052631578947,6.780487804878049,5.0,0.6908304557506978,178.5,False
sleeper_adp,all_adp,A,season_2022,7.5,259,group,rookie,4,3,0,1,0.75,0.3006418425824018,0.9544127391902996,3,1.0,-10.0,-14.0,1.0,155.0,True
sleeper_adp,all_adp,A,season_2022,7.5,259,group,veteran,37,29,6,2,0.7837837837837838,0.6280485160803084,0.8861348800661442,35,0.8285714285714286,8.594594594594595,11.0,0.6445698833099712,178.5,False
sleeper_adp,all_adp,A,season_2022,10.0,259,all,all,27,22,3,2,0.8148148148148148,0.6330131638145156,0.9181929285702346,25,0.88,7.074074074074074,12.0,0.7023053715004363,118.1,False
sleeper_adp,all_adp,A,season_2022,10.0,259,direction,buy,18,15,3,0,0.8333333333333334,0.6077796189608428,0.9416342319413856,18,0.8333333333333334,18.22222222222222,17.5,0.3792092038350995,232.55,False
sleeper_adp,all_adp,A,season_2022,10.0,259,direction,fade,9,7,0,2,0.7777777777777778,0.4525889691069888,0.9367748928821532,7,1.0,-15.22222222222222,-9.0,0.1021359824472293,73.2,True
sleeper_adp,all_adp,A,season_2022,10.0,259,position,QB,5,5,0,0,1.0,0.5655175352168251,1.0,5,1.0,11.8,12.0,0.8999999999999998,658.0,True
sleeper_adp,all_adp,A,season_2022,10.0,259,position,RB,11,7,3,1,0.6363636363636364,0.3538011745078488,0.8483352890463243,10,0.7,5.2727272727272725,0.0,0.3318289473469218,111.6,False
