population,universe,panel,threshold,panel_complete_n,vs_model_alone_hr_agree,vs_model_alone_hr_no_agree,vs_model_alone_lift,vs_model_alone_ci_lo,vs_model_alone_ci_hi,vs_model_alone_n_agree,vs_model_alone_n_no_agree,vs_model_alone_boot_usable,vs_model_alone_ci_crosses_zero,vs_sleeper_alone_hr_agree,vs_sleeper_alone_hr_no_agree,vs_sleeper_alone_lift,vs_sleeper_alone_ci_lo,vs_sleeper_alone_ci_hi,vs_sleeper_alone_n_agree,vs_sleeper_alone_n_no_agree,vs_sleeper_alone_boot_usable,vs_sleeper_alone_ci_crosses_zero,perm_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value
drafted_top180,A,pooled_2023_2025,0.0,523,0.6721991701244814,0.44841269841269843,0.22378647171178295,0.13875250780640128,0.3069078196293875,241,252,10000,False,0.6721991701244814,0.573394495412844,0.09880467471163734,0.009522735966132177,0.18439910653180436,241,218,10000,False,241,0.6721991701244814,0.4829709543568465,0.5352697095435685,9.999000099990002e-05
drafted_top180,A,pooled_2023_2025,5.0,523,0.864406779661017,0.5497630331753555,0.3146437464856615,0.19958479600056628,0.41904876373626376,59,211,10000,False,0.864406779661017,0.6705882352941176,0.19381854436689938,0.0600238469824058,0.32398420479302825,59,85,10000,False,59,0.864406779661017,0.48560338983050844,0.5932203389830508,9.999000099990002e-05
drafted_top180,A,pooled_2023_2025,7.5,523,0.925,0.5497076023391813,0.3752923976608188,0.2599468753018449,0.482362388834326,40,171,10000,False,0.925,0.7419354838709677,0.1830645161290323,0.0478306684516743,0.3188505464289739,40,62,10000,False,40,0.925,0.49532249999999994,0.625,9.999000099990002e-05
drafted_top180,A,pooled_2023_2025,10.0,523,1.0,0.5819672131147541,0.4180327868852459,0.33333333333333337,0.5043478260869565,19,122,10000,False,1.0,0.7837837837837838,0.21621621621621623,0.0888888888888889,0.3571428571428571,19,37,10000,False,19,1.0,0.487678947368421,0.6842105263157895,9.999000099990002e-05
drafted_top180,A,pooled_2021_2025,0.0,867,0.7219512195121951,0.4387254901960784,0.28322572931611667,0.21938094112826428,0.3468460987025738,410,408,10000,False,0.7219512195121951,0.5949720670391061,0.126979152473089,0.05987972289194377,0.1932868809049167,410,358,10000,False,410,0.7219512195121951,0.4855248780487805,0.5245121951219495,9.999000099990002e-05
drafted_top180,A,pooled_2021_2025,5.0,867,0.8380952380952381,0.556497175141243,0.28159806295399514,0.1910827150005446,0.3665126530863074,105,354,10000,False,0.8380952380952381,0.7701863354037267,0.0679089026915114,-0.028466614816626483,0.16114167980209582,105,161,10000,True,105,0.8380952380952381,0.48347904761904764,0.5619047619047619,9.999000099990002e-05
drafted_top180,A,pooled_2021_2025,7.5,867,0.8857142857142857,0.5508771929824562,0.3348370927318295,0.23804747506735488,0.42553238947076405,70,285,10000,False,0.8857142857142857,0.8125,0.07321428571428568,-0.031013186588523825,0.16924328716359874,70,128,10000,True,70,0.8857142857142857,0.48893428571428565,0.5857142857142857,9.999000099990002e-05
drafted_top180,A,pooled_2021_2025,10.0,867,0.8918918918918919,0.5863874345549738,0.3055044573369181,0.1762279452734033,0.42098086124401907,37,191,10000,False,0.8918918918918919,0.8571428571428571,0.03474903474903479,-0.09751187193865798,0.15561244557955087,37,77,10000,True,37,0.8918918918918919,0.4884405405405406,0.6216216216216216,9.999000099990002e-05
drafted_top180,B,pooled_2024_2025,0.0,349,0.6583850931677019,0.44970414201183434,0.20868095115586754,0.10420150735443093,0.3108988770346881,161,169,10000,False,0.6583850931677019,0.5827814569536424,0.07560363621405952,-0.03438397193645364,0.18219331596778482,161,151,10000,True,161,0.6583850931677019,0.4847465838509317,0.546583850931677,9.999000099990002e-05
drafted_top180,B,pooled_2024_2025,5.0,349,0.8717948717948718,0.5140845070422535,0.3577103647526183,0.21638592261238362,0.4871804062126643,39,142,10000,False,0.8717948717948718,0.676923076923077,0.19487179487179485,0.03332543027748507,0.34964306537440026,39,65,10000,False,39,0.8717948717948718,0.490248717948718,0.6153846153846154,9.999000099990002e-05
drafted_top180,B,pooled_2024_2025,7.5,349,0.9285714285714286,0.509090909090909,0.41948051948051956,0.2777731939860653,0.5445544554455446,28,110,10000,False,0.9285714285714286,0.75,0.1785714285714286,0.020586954226281574,0.32945448934263694,28,48,10000,False,28,0.9285714285714286,0.5031607142857143,0.6428571428571429,9.999000099990002e-05
