Pos,Player,Team,Year,Side
FB,Mike Karney,NOR,2006,offense
WR,Chad Johnson,CIN,2006,offense
WR,Marvin Harrison,IND,2006,offense
WR,Torry Holt,STL,2006,offense
WR,Donald Driver,GNB,2006,offense
WR,Andre Johnson,HOU,2006,offense
TE,Antonio Gates,SDG,2006,offense
TE,Alge Crumpler,ATL,2006,offense
TE,Tony Gonzalez,KAN,2006,offense
T,Walter Jones,SEA,2006,offense
T,Jammal Brown,NOR,2006,offense
T,Jonathan Ogden,BAL,2006,offense
T,Willie Anderson,CIN,2006,offense
G,Steve Hutchinson,MIN,2006,offense
G,Shawn Andrews,PHI,2006,offense
G,Alan Faneca,PIT,2006,offense
G,Will Shields,KAN,2006,offense
C,Olin Kreutz,CHI,2006,offense
C,Jeff Saturday,IND,2006,offense
DE,Jason Taylor,MIA,2006,defense
DE,Julius Peppers,CAR,2006,defense
DE,Aaron Kampman,GNB,2006,defense
DE,Aaron Schobel,BUF,2006,defense
DT,Kevin Williams,MIN,2006,defense
DT,Jamal Williams,SDG,2006,defense
DT,Richard Seymour,NWE,2006,defense
DT,Tommie Harris,CHI,2006,defense
DT,John Henderson,JAX,2006,defense
OLB,Shawne Merriman,SDG,2006,defense
OLB,Adalius Thomas,BAL,2006,defense
OLB,Lance Briggs,CHI,2006,defense
OLB,DeMarcus Ware,DAL,2006,defense
ILB,Al Wilson,DEN,2006,defense
ILB,Bart Scott,BAL,2006,defense
MLB,Brian Urlacher,CHI,2006,defense
MLB,Zach Thomas,MIA,2006,defense
CB,Champ Bailey,DEN,2006,defense
CB,Rashean Mathis,JAX,2006,defense
CB,Lito Sheppard,PHI,2006,defense
CB,Al Harris,GNB,2006,defense
CB,Ronde Barber,TAM,2006,defense
CB,Nnamdi Asomugha,OAK,2006,defense
S,Ed Reed,BAL,2006,defense
S,Adrian Wilson,ARI,2006,defense
S,Brian Dawkins,PHI,2006,defense
S,Kerry Rhodes,NYJ,2006,defense
QB,Tom Brady,NWE,2007,offense
QB,Brett Favre,GNB,2007,offense
RB,LaDainian Tomlinson,SDG,2007,offense
RB,Brian Westbrook,PHI,2007,offense
RB,Adrian Peterson,MIN,2007,offense
RB,Willie Parker,PIT,2007,offense
RB,Fred Taylor,JAX,2007,offense
FB,Lorenzo Neal,SDG,2007,offense
FB,Tony Richardson,MIN,2007,offense
WR,Randy Moss,NWE,2007,offense
WR,Terrell Owens,DAL,2007,offense
WR,Braylon Edwards,CLE,2007,offense
WR,Reggie Wayne,IND,2007,offense
WR,Larry Fitzgerald,ARI,2007,offense
WR,Wes Welker,NWE,2007,offense
TE,Jason Witten,DAL,2007,offense
TE,Antonio Gates,SDG,2007,offense
TE,Tony Gonzalez,KAN,2007,offense
T,Walter Jones,SEA,2007,offense
T,Matt Light,NWE,2007,offense
T,Jason Peters,BUF,2007,offense
T,Flozell Adams,DAL,2007,offense
G,Steve Hutchinson,MIN,2007,offense
