game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_02_HOU_OAK,OAK00,2014-09-14T20:25:00,72493,Metro Oakland International  Airport,70.0,15.0,0.0,61.0,meteostat
2014_02_CHI_SF,SFO01,2014-09-15T00:30:00,KSJC0,San Jose / Santa Clara Trailer Village,79.0,10.3,0.0,35.0,meteostat
2014_03_SD_BUF,BUF00,2014-09-21T17:00:00,72528,Buffalo Airport,73.0,25.3,0.0,71.0,meteostat
2014_03_TEN_CIN,CIN00,2014-09-21T17:00:00,KLUK0,Cincinnati / Columbia,78.1,17.2,0.0,50.0,meteostat
2014_03_BAL_CLE,CLE00,2014-09-21T17:00:00,KBKL0,Brookville / Old Chinatown,70.0,21.9,0.0,66.0,meteostat
2014_03_IND_JAX,JAX00,2014-09-21T17:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,84.0,5.8,0.0,46.0,meteostat
2014_03_OAK_NE,BOS00,2014-09-21T17:00:00,KOWD0,Norwood,79.0,11.4,,67.0,meteostat
2014_03_HOU_NYG,NYC01,2014-09-21T17:00:00,KTEB0,Teterboro,71.1,0.0,0.0,84.0,meteostat
2014_03_WAS_PHI,PHI00,2014-09-21T17:00:00,72408,Philadelphia International Airport,73.9,0.0,0.0,76.0,meteostat
2014_03_KC_MIA,MIA00,2014-09-21T20:25:00,KHWO0,Hollywood / Pembroke Pines,87.1,7.0,0.0,61.0,meteostat
2014_03_DEN_SEA,SEA00,2014-09-21T20:25:00,KBFI0,Seattle / South Park,80.1,4.7,0.0,41.0,meteostat
2014_03_PIT_CAR,CAR00,2014-09-22T00:30:00,72314,Charlotte/Douglas International Airport,75.9,4.7,0.0,69.0,meteostat
2014_03_CHI_NYJ,NYC01,2014-09-23T00:30:00,KTEB0,Teterboro,60.1,8.1,0.0,47.0,meteostat
2014_04_NYG_WAS,WAS00,2014-09-26T00:25:00,KCGS0,College Park / Lakeland,64.4,4.7,,88.0,meteostat
2014_04_CAR_BAL,BAL00,2014-09-28T17:00:00,KDMH0,Baltimore,79.0,,0.0,47.0,meteostat
2014_04_GB_CHI,CHI98,2014-09-28T17:00:00,72534,Chicago Midway Airport,79.0,5.8,0.0,48.0,meteostat
2014_04_TEN_IND,IND00,2014-09-28T17:00:00,72438,Indianapolis International  Airport,80.1,4.7,0.0,38.0,meteostat
2014_04_DET_NYJ,NYC01,2014-09-28T17:00:00,KTEB0,Teterboro,82.0,5.8,0.0,44.0,meteostat
2014_04_MIA_OAK,LON00,2014-09-28T17:00:00,03672,Northolt,71.4,3.4,,61.0,meteostat
2014_04_TB_PIT,PIT00,2014-09-28T17:00:00,72520,Greater Pittsburgh International,71.1,4.7,0.0,59.0,meteostat
2014_04_JAX_SD,SDG00,2014-09-28T20:05:00,72290,San Diego International Airport,72.0,9.2,0.0,57.0,meteostat
2014_04_ATL_MIN,MIN98,2014-09-28T20:25:00,KSTP0,Saint Paul,81.0,10.3,0.0,41.0,meteostat
2014_04_PHI_SF,SFO01,2014-09-28T20:25:00,KSJC0,San Jose / Santa Clara Trailer Village,72.0,0.0,0.0,51.0,meteostat
2014_04_NE_KC,KAN00,2014-09-30T00:30:00,KMKC0,Kansas City / Harlem,80.1,7.0,0.0,47.0,meteostat
