pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_TE,college_te,Talent_TE,score,rank_te,N_career,weight_covered,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec,z_deep_explosive,neff_deep_explosive,r_deep_explosive
101486,00-0039359,Cade Stover,HST,2,True,0.8998739420133262,-0.3446334979453187,0.8021575971607097,-0.22980982625813134,59.8,72,263.0,0.83,-1.0042,191.9,0.3745,-0.6102,191.9,0.3151,-0.4234,34.8,0.0616,,,,-0.1558,6.2,0.155,-1.0464,34.8,0.1837,,,,-0.2778,25.5,0.4621,-0.6004,0.6,0.0204
144717,00-0039356,Ja'Tavion Sanders,CAR,2,True,0.9488641589257794,-0.30389029528017936,0.9378786334181236,-0.24039139669135773,59.4,73,543.0,0.83,-1.0521,401.7,0.5562,-0.6117,401.7,0.4906,-0.1153,56.7,0.0967,,,,-0.1435,5.2,0.1334,-0.4979,56.7,0.2684,,,,0.6084,47.2,0.6142,0.3844,2.2,0.077
157122,00-0040736,Mason Taylor,NYJ,1,True,0.9234476111799532,-0.2854432941783915,0.1290985919296886,-0.2537091225308502,58.9,74,353.0,1.0,-0.4386,353.0,0.5241,-0.4831,353.0,0.4584,-0.2759,62.0,0.1049,-0.4671,62.0,0.1463,0.9848,14.0,0.2929,-0.8707,62.0,0.2865,-1.2173,44.0,0.3404,-1.1031,44.0,0.5977,0.1789,2.0,0.0705
11929,00-0033576,Eric Saubert,SF,9,False,1.0,-0.2637634549229243,,-0.2637634549229243,58.6,75,152.0,0.83,-1.1289,83.6,0.2069,-1.0696,83.6,0.167,-0.3397,7.7,0.0143,,,,-0.1996,1.1,0.0315,0.9459,7.7,0.0475,,,,-0.2712,6.1,0.1696,-1.6576,0.6,0.0204
12078,00-0033217,Mo Alie-Cox,IND,9,False,1.0,-0.26142352288909676,,-0.26142352288909676,58.6,75,419.0,0.83,-0.5059,244.7,0.433,-0.4479,244.7,0.3698,-0.3005,36.9,0.0652,,,,-0.4522,7.5,0.1809,-0.5072,36.9,0.1929,,,,-0.4783,23.5,0.4427,-1.1154,1.7,0.0607
129787,00-0039847,Theo Johnson,NYG,2,True,0.964497797075538,-0.2814197844183317,0.2084073993673914,-0.2640298403416532,58.5,77,795.0,1.0,-0.3698,629.9,0.6628,-0.232,629.9,0.6016,-0.3958,95.7,0.1531,-1.0771,72.0,0.166,0.3656,23.4,0.4091,-1.6076,95.7,0.3825,-1.2404,45.0,0.3455,-0.3269,61.0,0.673,0.8344,8.7,0.247
109795,00-0036422,Adam Trautman,DEN,6,False,1.0,-0.30773549078676465,,-0.30773549078676465,57.0,78,775.0,0.83,-0.8253,448.6,0.5833,-0.9232,448.6,0.5181,0.1589,47.1,0.0818,,,,-0.939,3.9,0.1038,0.463,47.1,0.2338,,,,0.5256,34.4,0.537,-0.7129,0.9,0.0333
40630,00-0036876,Kylen Granson,IND,5,False,1.0,-0.3094025972499755,0.4470209399560333,-0.3094025972499755,56.9,79,533.0,1.0,-0.584,221.4,0.4085,-0.4113,221.4,0.3467,-0.9649,30.7,0.0549,0.3204,14.2,0.0378,-0.9518,5.7,0.1436,-0.9814,30.7,0.1659,-0.7954,9.1,0.0962,-1.3655,16.8,0.3616,-0.1815,5.4,0.1705
42257,00-0036429,Charlie Woerner,ATL,6,False,1.0,-0.34280103242594534,-0.5348743156014119,-0.34280103242594534,55.7,80,230.0,0.77,-1.5387,157.5,0.3294,-1.9596,157.5,0.274,-0.6614,8.9,0.0166,,,,1.8065,1.0,0.0287,1.2518,8.9,0.0545,,,,2.4286,8.9,0.2312,,,
60997,00-0037086,Grant Calcaterra,PHI,4,False,1.0,-0.3471389156290413,0.1969661265991076,-0.3471389156290413,55.5,81,434.0,0.83,-0.7175,292.7,0.4773,-0.8175,292.7,0.4123,0.4135,28.5,0.0511,,,,-0.1585,4.2,0.1105,-0.2077,28.5,0.1558,,,,-1.2354,22.8,0.4344,0.1822,2.7,0.0913
12206,00-0033246,Johnny Mundt,JAX,9,False,1.0,-0.36462754960147853,-0.1271089791336828,-0.36462754960147853,54.9,82,454.0,0.83,-0.8012,282.9,0.4688,-0.6502,282.9,0.4041,-0.0646,39.4,0.0692,,,,-1.0124,5.3,0.1358,-1.9287,39.4,0.2031,,,,0.3195,25.7,0.4645,-0.2243,2.5,0.0853
84029,00-0037805,Jeremy Ruckert,NYJ,4,False,1.0,-0.37093182459288826,-0.1167197273719313,-0.37093182459288826,54.7,83,492.0,0.83,-0.7916,320.8,0.5003,-0.7298,320.8,0.4348,-0.4576,49.2,0.0851,,,,0.1806,5.6,0.1412,-0.7325,49.2,0.2416,,,,-0.8292,37.7,0.5603,1.0744,0.3,0.0113
88685,00-0038720,Julian Hill,MIA,3,True,0.9344262295081968,-0.3966292891100219,,-0.3966292891100219,53.8,84,417.0,0.77,-1.1985,261.0,0.4488,-0.8967,261.0,0.3849,-0.6069,31.3,0.0559,,,,-0.7938,1.7,0.0466,-0.086,31.3,0.1686,,,,0.4026,23.4,0.4415,,,
42353,00-0036887,Luke Farrell,SF,5,False,1.0,-0.40821341262430405,-0.3632669955917004,-0.40821341262430405,53.3,85,367.0,0.83,-1.2051,242.0,0.4303,-1.1338,242.0,0.3672,-1.1841,28.9,0.0518,,,,0.34,5.0,0.1278,-0.1294,28.9,0.1576,,,,0.2635,22.5,0.432,-1.5395,0.9,0.0313
42060,00-0034970,Irv Smith Jr.,CIN,7,False,1.0,-0.4350171737055702,0.934081972063831,-0.4350171737055702,52.4,86,227.0,0.83,-1.8754,68.7,0.1764,-1.5332,68.7,0.1413,-2.8046,7.9,0.0146,,,,-0.5108,0.9,0.0262,-0.7241,7.9,0.0485,,,,-0.1629,5.4,0.1553,-1.1899,0.3,0.0113
60994,00-0036754,Brock Wright,DET,5,False,1.0,-0.43589255814879524,,-0.43589255814879524,52.3,87,458.0,0.83,-0.9398,269.8,0.457,-1.0249,269.8,0.3927,-0.5323,32.3,0.0576,,,,-2.0331,1.0,0.0287,0.1653,32.3,0.1731,,,,-0.8313,25.4,0.4615,-0.413,1.1,0.04
99697,00-0039074,Davis Allen,LA,3,True,0.9250168577208362,-0.5223157493880656,0.3515337858678241,-0.456791765355392,51.6,88,361.0,0.83,-1.0469,297.1,0.4811,-0.9445,297.1,0.416,-0.4373,41.2,0.0723,,,,-2.0172,5.7,0.1432,-0.9125,41.2,0.2108,,,,-0.3738,27.9,0.4846,-0.9494,1.0,0.0365
42275,00-0036628,John Bates,WAS,5,False,1.0,-0.4594458417701576,-0.1552176604998678,-0.4594458417701576,51.5,89,502.0,0.83,-1.1777,284.8,0.4705,-1.0186,284.8,0.4057,-0.1304,31.0,0.0553,,,,-0.5905,4.0,0.106,-0.332,31.0,0.167,,,,-0.5309,22.8,0.4349,-0.2622,1.8,0.0626
47257,00-0034798,Durham Smythe,MIA,8,False,1.0,-0.47369955095154087,-0.3460697223661039,-0.47369955095154087,51.0,90,556.0,0.83,-1.1761,198.6,0.3826,-0.9664,198.6,0.3226,-0.2476,23.0,0.0416,,,,-0.9663,4.6,0.119,-0.1995,23.0,0.1294,,,,-1.3781,16.4,0.357,-0.5251,0.9,0.0313
42058,00-0036741,Jack Stoll,PHI,5,False,1.0,-0.47895196789834477,-0.2854740897296947,-0.47895196789834477,50.8,91,151.0,0.685,-2.1734,45.7,0.1247,-2.1421,45.7,0.0987,-1.6386,2.4,0.0046,,,,,,,-2.0947,2.4,0.0154,,,,0.8286,1.5,0.0486,,,
47259,00-0035631,Drew Sample,CIN,7,False,1.0,-0.572158787151353,-0.156382449062481,-0.572158787151353,50.0,92,653.0,0.83,-1.4235,412.9,0.563,-1.5082,412.9,0.4975,-0.2834,37.3,0.0658,,,,0.0569,3.4,0.0915,0.7921,37.3,0.1944,,,,-0.3179,32.7,0.5244,-3.418,0.3,0.0113
