pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_RB,college_rb,Talent_RB,score,rank_rb,N_career,z_grades_run,neff_grades_run,r_grades_run,z_RYOE,neff_RYOE,r_RYOE,z_yco_attempt,neff_yco_attempt,r_yco_attempt,z_MTF_rush,neff_MTF_rush,r_MTF_rush,z_success_rate,neff_success_rate,r_success_rate,z_breakaway_pct,neff_breakaway_pct,r_breakaway_pct,z_EPA_rush,neff_EPA_rush,r_EPA_rush,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_YAC_reception,neff_YAC_reception,r_YAC_reception,z_drop_rate,neff_drop_rate,r_drop_rate
45953,00-0035700,Josh Jacobs,GB,7,False,1.0,0.31723278990546416,0.6219495512383714,0.31723278990546416,81.9,11,805.0,1.0605,498.9,0.299,-0.1829,498.9,0.1359,0.0999,498.9,0.5244,0.2223,498.9,0.6478,0.1723,498.9,0.4591,-0.1219,498.9,0.6786,-0.2413,498.9,0.4203,1.56,450.7,0.4592,0.6384,450.7,0.3744,0.6281,84.9,0.5001,0.5278,69.6,0.518,0.6072,84.9,0.7164
45719,00-0035685,David Montgomery,DET,7,False,1.0,0.3053547772429501,1.0852250133460584,0.3053547772429501,81.3,12,608.0,0.3083,341.6,0.226,0.3157,341.6,0.0972,0.2203,341.6,0.4302,0.2528,341.6,0.5574,0.9401,341.6,0.3676,-0.1531,341.6,0.5912,0.6138,341.6,0.3318,1.1742,321.1,0.3769,0.7259,321.1,0.299,0.614,55.1,0.3937,0.4275,50.5,0.4378,0.6838,55.1,0.6212
144970,00-0039361,Bucky Irving,TB,2,True,0.9418154576101885,0.2627373167085547,0.9648731346326954,0.30359076796996687,81.2,13,397.0,0.2628,296.2,0.202,-0.689,296.2,0.0854,-0.1419,296.2,0.3956,0.3817,296.2,0.522,-0.2028,296.2,0.3351,-0.0558,296.2,0.5563,-0.5216,296.2,0.3009,1.1839,321.3,0.377,1.2598,321.3,0.2991,0.9117,61.6,0.4205,1.616,57.0,0.4678,0.2237,61.6,0.647
11763,00-0033280,Christian McCaffrey,SF,9,False,1.0,0.2705224141152112,1.0410723126264312,0.2705224141152112,79.5,14,718.0,-0.4243,464.6,0.2843,-0.8075,437.1,0.1211,-0.2914,464.6,0.5066,-0.4765,464.6,0.6314,0.1111,464.6,0.4415,-0.1932,464.6,0.6629,-0.0085,464.6,0.4031,2.0509,775.9,0.5937,1.6731,775.9,0.5075,1.0475,176.9,0.6757,-0.6273,147.3,0.6944,0.4231,176.9,0.8403
45769,00-0035537,Ty Johnson,BUF,7,False,1.0,0.24492195485781074,0.2740420030975233,0.24492195485781074,78.1,15,156.0,-0.0572,97.2,0.0767,,,,-0.6308,97.2,0.1768,-0.6519,97.2,0.2637,1.8441,97.2,0.1419,-0.2943,97.2,0.2914,0.9996,97.2,0.1237,0.4234,358.2,0.4029,0.6624,358.2,0.3223,1.7297,50.0,0.3705,1.4604,38.5,0.3728,0.1644,50.0,0.5979
83666,00-0037248,James Cook,BUF,4,False,1.0,0.24081807726966312,0.4089709608520754,0.24081807726966312,77.9,16,881.0,0.995,573.6,0.329,1.2483,573.6,0.1531,0.0008,573.6,0.559,-0.1393,573.6,0.6789,0.8011,573.6,0.4939,0.2949,573.6,0.7083,0.7075,573.6,0.4546,-0.1807,542.7,0.5055,0.3657,542.7,0.4188,0.7611,87.0,0.506,0.1412,73.6,0.5319,-0.248,87.0,0.7212
123826,00-0038454,Keaton Mitchell,BLT,3,True,0.8120967741935483,0.14119227981212015,0.6626593929838902,0.23917763252907376,77.8,17,106.0,-1.0771,73.2,0.0589,,,,1.3764,73.2,0.1393,0.1184,73.2,0.2126,-0.3223,73.2,0.1108,2.3274,73.2,0.2366,1.6218,73.2,0.0962,-0.0431,63.4,0.1067,0.9306,63.4,0.0777,-1.1915,15.0,0.1504,1.0115,11.7,0.1532,-0.2436,15.0,0.3089
97195,00-0039032,Tyjae Spears,TEN,3,True,0.9125703564727955,0.1570385551656653,0.9047257740610458,0.22240858218353537,77.0,18,256.0,-0.3721,148.4,0.1126,-0.4506,30.3,0.0094,-0.2143,148.4,0.247,0.473,148.4,0.3537,-0.4856,148.4,0.2016,0.0913,148.4,0.3859,0.1618,148.4,0.1774,1.4491,398.5,0.4288,0.5662,398.5,0.3461,-0.0257,88.4,0.5101,0.1178,77.2,0.5438,0.5024,88.4,0.7245
101072,00-0039875,Ray Davis,BUF,2,True,0.8788981288981288,0.18094308943406234,0.5329857961965276,0.22357611993076426,77.0,18,178.0,-0.2783,124.0,0.0958,-0.2873,66.0,0.0204,-0.149,124.0,0.2151,0.4386,124.0,0.3137,0.1665,124.0,0.1742,-0.266,124.0,0.3442,0.6089,124.0,0.1527,0.1644,156.6,0.2278,0.959,156.6,0.1722,1.7678,24.9,0.2268,1.3643,21.4,0.2478,0.1752,24.9,0.4255
147476,00-0039373,Audric Estime,NO,2,True,0.8326149425287356,0.09831894234169693,0.8342959329550115,0.22151049321303481,76.9,20,122.0,-0.1878,87.8,0.0698,,,,0.3047,87.8,0.1625,0.2109,87.8,0.2445,0.3205,87.8,0.13,-0.9564,87.8,0.2709,0.8706,87.8,0.1132,0.535,120.0,0.1844,0.021,120.0,0.1375,0.9262,15.8,0.1565,0.2624,14.8,0.1854,0.9195,15.8,0.319
