gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0038041,Jake Ferguson,TE,86.900000,82.000000,91.800000,0.642800,2,0.000000,,,,,,,,,,6.140300,0.302600,,,,,1.822300,0.826000,,,,,,,,,,
00-0039065,Sam LaPorta,TE,86.700000,81.400000,91.900000,0.613600,3,0.000000,,,,,,,,,,4.079200,0.268900,,,,,2.355100,0.799200,,,,,,,,,,
00-0037838,Isaiah Likely,TE,85.400000,79.300000,91.500000,0.538500,4,0.000000,,,,,,,,,,5.328900,0.195700,,,,,2.411500,0.723000,,,,,,,,,,
00-0037744,Trey McBride,TE,85.000000,80.700000,89.300000,0.706000,5,0.000000,,,,,,,,,,3.216400,0.389100,,,,,1.801500,0.876600,,,,,,,,,,
00-0038129,Cade Otton,TE,80.700000,75.500000,85.800000,0.625200,6,0.000000,,,,,,,,,,0.879900,0.279000,,,,,1.906400,0.811600,,,,,,,,,,
00-0034351,Dallas Goedert,TE,80.500000,76.100000,84.900000,0.694100,7,0.000000,,,,,,,,,,3.771200,0.371600,,,,,1.036300,0.867700,,,,,,,,,,
00-0033288,George Kittle,TE,78.800000,74.600000,83.000000,0.716600,8,0.000000,,,,,,,,,,1.498900,0.408800,,,,,1.250800,0.882400,,,,,,,,,,
00-0035229,T.J. Hockenson,TE,77.600000,73.200000,81.900000,0.694600,9,0.000000,,,,,,,,,,3.656400,0.371800,,,,,0.617300,0.868400,,,,,,,,,,
00-0033885,David Njoku,TE,76.400000,71.600000,81.200000,0.659000,10,0.000000,,,,,,,,,,2.436300,0.324500,,,,,0.821300,0.839100,,,,,,,,,,
00-0034753,Mark Andrews,TE,74.100000,69.700000,78.500000,0.695600,11,0.000000,,,,,,,,,,-0.855900,0.379000,,,,,1.136400,0.866100,,,,,,,,,,
